blind_id,claim,word_orig,word_corrupt,context_left_64,token_str,label,evidence_passage,note
1,"Historical military encyclopedia article format with detailed narrative describing a British battleship, incorporating quoted historical accounts about the Mediterranean's strategic importance.",British,French," 1915 . However , Allied control of the Strait of Otranto meant that the Austro @-@ Hungarian Navy was , for all intents and purposes , effectively bottled up in the Adriatic . Nonetheless , the presence of the Zrínyi and other battleships tied down a substantial force of Allied", ships,,,
2,"Wiki article format with numbered list detailing a fictional character's attributes and appearances, listing achievements and media appearances for a fictional Pokémon character named Pikachu.",Pikachu.,Charmander.," public knowledge of the animal , which allowed the writers to make things up about the species . Critical reception for the character from both professionals and fans have been considerably positive . Merchandising of the character include plush toys , t @-@ shirts , wooden toys , glasses , and coloring books , along with appearances in literature and", a,,,
3,"The phrase ""The title 'BMW M3 2005' is a truncated version of the model name, with the text listing 'all except the X @Y' suggesting a parenthetical technical specification about the 'X' series.""",@Y',@Z'," JK has been completed and significant production for both Israeli and foreign customers is under way . 
 
 = = Storm I = = 
 
 The M @-@ 240 Storm MultiMission Vehicle is the first of three Storm generations . A variant of the 1991 Jeep Wrangler YJ and the older CJ", @,,,
4,"The phrase ""Another novel: In the Time of the Butterflies"" mirrors a well-known literary title (""Love in Time""), suggesting a second famous novel title from the same cultural context, likely a famous work about love or hardship.","(""Love","(""War"," Libertador , García Márquez depicts a pathetic protagonist , a prematurely aged man who is physically ill and mentally exhausted . The story explores the labyrinth of Bolívar 's life through the narrative of his memories . 
 Following the success of others of his works such as One Hundred Years of Solitude and Love in the", Time,,,
5,"Final token "" .",.,!," Mingrelian language uses 36 , 33 of which are current Georgian letters , one obsolete Georgian letter , and two additional letters specific to Mingrelian and Svan . That same obsolete letter , plus a letter borrowed from Greek ( making 35 letters total ) , are used in writing the Laz language", .,,,
6,"The sentence ending ""Another television show called 'The Best of the Nineties' was a compilation of music from 1985 to 199"" is mid-quote, completing a numeric range about the decade of Britpop's peak, with a similar trivia about music awards.","199""","1990"""," 1987 , the song won Best Single at the Brit Awards , and Best International Hit at the Ivor Novello Awards . In 2005 , 20 years after its release , the song was awarded Song of The Decade between the years 1985 and 19",9,,,
7,"The phrase ""Another theory suggests that Tyrannosaurus was a faster runner than previously thought, including Nip"" suggests a specific named fossil genus or term from another dinosaur language, likely a Japanese or obscure term related to the specimen's characteristics.",Japanese,French," million years ago . It lived in what is now North America . Its name means "" helmet lizard "" , derived from Greek κόρυς . It was named and described in 1914 by Barnum Brown . Corythosaurus is now thought to be a lambeosaurine , related to N",ip,,,
8,"Wikipedia football club article format with a template structure (""Seasons""), implying a football club's history and founding details.",football,basketball," = 2013 – 14 York City F.C. season = 
 
 The 2013 – 14 season was", the,,,
9,"Final token ""19"" is mid-number in ""in 19,"" part of a date specification clause (""Decision was made in December 19""), strongly expecting ""43"" or ""44"" to complete the year, likely followed by ""43, the Ministry delayed the test.""","""43,","""42,"," operations . Three prototypes were ordered with the company designation of B @-@ 48 and the informal name of "" Firecrest "" , but only two of them actually flew . The development of the aircraft was prolonged by significant design changes and slow deliveries of components , but the determination by the Ministry of Supply in 1",9,,,
10,"The sentence structure ""The singer's vocal style was compared to Madonna's, with her debut single receiving positive reviews"" suggests a list of musical influences or comparisons, specifically a celebrity comparison or vocal characteristics like Madonna or other pop icons.",Madonna,Eminem," by the group . Roberts also claimed the track had defined her musical style . 
 "" Yo @-@ Yo "" is a 1950s @-@ themed electropop and synthpop song in which Roberts sings about an undecided lover . The song received positive reviews from critics , who compared Roberts ' vocals", to,,,
