item_id,item_type,context_id,prefix_text,sentence,original_explanation,new_explanation_1,new_explanation_2,transform,human_label,human_note,arm_1,arm_2,stratum,own_persist_word,random_persist_word,own_persist_claim,random_persist_claim
d1_row_572,d1_row,169,,"Final token ""Bal"" is a truncated surname mid-phrase (""Herman Bal""), part of a name list or attribution clause (""The late Dutch filmmaker Herman Bal""), strongly expecting completion like ""boom"" or ""man's"" or ""Schwarz's"" or ""Koek's"" artistic influences.","Wiki article format with descriptive prose about Filipino film, listing artistic qualities and historical context with a specific film entry.

The phrase ""Another Filipino actor who was also involved was Herman Bal"" appears to be a name or attribution, likely referencing a Dutch film company or director's name with a historical footnote about censorship or production context, suggesting a parenthetical reference or quotation mark follows.

Final token ""Bal"" is a truncated surname mid-phrase (""Herman Bal""), part of a name list or attribution clause (""The late Dutch filmmaker Herman Bal""), strongly expecting completion like ""boom"" or ""man's"" or ""Schwarz's"" or ""Koek's"" artistic influences.","Philippine-language film article with descriptive prose about Filipino cinema, listing historical figures and cultural elements with a formal art history tone.

The sentence ""Another Filipino actor who performed in the film was Herman Bal"" appears to be a parenthetical reference or name, likely naming a specific producer or director associated with a Dutch film company, suggesting a historical footnote about censorship or source material.

Final token ""Bal"" is a truncated surname mid-phrase (""Herman Bal""), part of a name attribution clause (""When Henry Herman Bel...""), expecting continuation like ""ard"" or ""Bergman"" or ""Henderson's"" or ""de Moraes,"" completing a cited figure's name.","Wiki article format with bilingual film description structure, listing artistic details about a Filipino film's visual style and cultural context.

The phrase ""Another Filipino film director, Jan Hoogendoorn, was also involved in the musical comedy 'The Great Carabao'"" suggests a name or historical figure with a surname, likely a Dutch or European film industry figure, possibly a production credit or cultural reference.

Final token ""Bal"" is a truncated surname mid-phrase (""Jan Bal""), part of a parenthetical credit clause (""Hendrik Bal""), immediately expecting completion like ""boom"" or ""Bergman"" or ""Schwarz's"" or ""made a decision to..."" describing a writer.",ablation (which new explanation still asserts the claim?),,,own,random,positive_control_last,1.0,1.0,0.40476190476190477,0.4146341463414634
d1_row_276,d1_row,80,,"Historical article format with structured biographical context about French Revolution, presenting a scholarly account with numbered points about Napoleon's political actions and military history.","Historical article format with structured biographical context about French Revolution, presenting a scholarly account with numbered points about Napoleon's political actions and military history.

The sentence ""The Pope also sent troops from Rome to support the Carbonari in the village of Av"" appears to be listing a specific location or event, likely a place name or military campaign detail about the rebellion's advance.

Final token ""Av"" is a truncated word mid-sentence (""in the village of Av""), part of a specific example list item describing a location (""During the siege of Av...""), strongly expecting completion like ""ignon"" or ""ille,"" or ""Armentières,"" or ""two neighboring areas.""","Historical/English language format with a quoted document title suggesting a military figure's letter, describing a French Catholic priest's actions during the Italian War of Independence.

The phrase ""The troops of the Pope were also sent to investigate the conditions in Av..."" implies a specific place name or location name following ""Av..."" — likely a village or area name related to the Italian campaign's advance.

Final token ""Av"" is a truncated word mid-sentence (""in the village of Av""), part of a list of locations (""within the area of Av...""), strongly expecting a proper noun like ""arzana"" or ""azara"" or ""Maremma,"" continuing the specific scenario.","Historical article format with French language context, structured around a Wikipedia entry listing military figures and their revolutionary actions during the French Revolution.

The sentence ""The Pope also participated in the campaign of 1793 in the region of Av"" appears to be listing specific locations or events of a captured prisoner's campaign, likely naming a specific place or small campaign within the French army's advance.

Final token ""Av"" is a truncated word mid-sentence (""in the place Av""), part of a specific example list item (""During the prison in the area of Av...""), strongly expecting ""ignon"" or ""ille,"" or ""Armentières,"" continuing a place name describing captured territory.",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.15384615384615385,0.375
d1_row_430,d1_row,126,,"The phrase ""The Indians pitching staff pitched a no-hitter in the game, holding the Red Sox scoreless"" suggests a specific statistic about the final inning's performance, with ""scoreless"" implying a notable zero-run streak or shutout achievement.","Sports article format with historical baseball statistics, presenting game details from a Major League Baseball record.

The phrase ""The Indians pitching staff pitched a no-hitter in the game, holding the Red Sox scoreless"" suggests a specific statistic about the final inning's performance, with ""scoreless"" implying a notable zero-run streak or shutout achievement.

Final token ""scoreless"" ends mid-clause (""held the Red Sox scoreless""), part of a list of specific game events (""The Indians pitchers shut the Red Sox out, holding them scoreless""), strongly expecting continuation like ""for the final five innings"" or ""in the last four innings"" or ""on errors.""","Sports news format with statistical report structure detailing a baseball game's record-breaking performance, listing game results and pitching statistics for the Chicago Cubs.

The phrase ""The Indians' pitching staff held the Blue Jays scoreless"" ends a final statistic (""Ending the game, the Cubs held their opponents scoreless""), suggesting a concluding detail about a specific inning or period of zero runs or silence.

Final token ""scoreless"" ends an incomplete clause (""holding the Blue Jays scoreless""), part of a list of defensive accomplishments (""Also, the Cubs held the opposing team scoreless""), strongly expecting ""for the final four innings"" or ""in the last five innings"" or ""for the entire game.""","Sports article format with numbered game summaries listing MLB statistics, including a detailed box score breakdown of a 1955 World Series game.

The final clause ""The Indians' pitching staff held the Red Sox scoreless"" describes a specific game outcome detail (""The Indians shut out the Red Sox, holding them scoreless""), completing a list of offensive failures including a zero-run inning.

Final token ""scoreless"" ends mid-clause (""held the Red Sox scoreless""), part of a parenthetical statistic (""Additionally, the Indians scored zero runs...""), strongly expecting ""for the final four innings"" or ""in the last five innings"" or ""on three consecutive outs.""",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_in_prefix,1.0,1.0,0.29545454545454547,0.2826086956521739
d1_row_473,d1_row,139,,"The phrase ""Another theory suggests that Tyrannosaurus was a faster runner than previously thought, including Nip"" suggests a specific named fossil genus or term from another dinosaur language, likely a Japanese or obscure term related to the specimen's characteristics.","Wiki article format with scientific dinosaur description, listing characteristics of a fossil species with informal tone and historical context about Tyrannosaurus.

The phrase ""Another theory suggests that Tyrannosaurus was a faster runner than previously thought, including Nip"" suggests a specific named fossil genus or term from another dinosaur language, likely a Japanese or obscure term related to the specimen's characteristics.

Final token ""Nip"" is a truncated word mid-sentence (""Nip""), part of a parenthetical list of named dinosaur genera (""Like Nip...""), strongly expecting ""ponosaurus"" or ""ponosaurus"" or ""titanosaur fossils"" completing the cited example.","Wiki article format with scientific description of a dinosaur footprint, listing characteristics and behaviors with parenthetical citations and historical context.

The sentence ending ""Another famous theropod, such as Deinonychus, was also named before the genus was formally described; Nip"" appears to be listing extinct dinosaur genera or a specific fossil name, likely a famous dinosaur name from the same era.

Final token ""Nip"" is a truncated word mid-list (""Nip""), part of a parenthetical example clause (""Like Nipponosaurus""), strongly expecting ""ponosaurus"" or ""ponosaurus"" or ""ponosaurus and other similar species.""","Wiki article format with scientific description of a dinosaur species, listing characteristics and evolutionary traits with a quoted source attribution.

The phrase ""Another dinosaur, Tyrannosaurus, was also named by a Canadian paleontologist, Nip"" suggests an additional named species or concept from a specific extinct group, likely a Chinese or similar term from paleontology, possibly a nickname or related taxon.

Final token ""Nip"" is a truncated word mid-term (""Nip""), part of a parenthetical list of named creatures (""Like Nip...""), strongly expecting a proper noun like ""ponosaurus"" or ""Tyrannosaurid"" or ""heterodontosaurid.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_not_in_prefix,1.0,1.0,0.27450980392156865,0.3333333333333333
d1_row_508,d1_row,150,,"Historical military aviation technical article format with technical specifications and dates, describing a British aircraft design designation.","Historical military aviation technical article format with technical specifications and dates, describing a British aircraft design designation.

The phrase ""The Mk III was initially produced as a interim solution and was designated as a stopgap measure"" suggests a clause describing a prior prototype or interim aircraft program, implying a historical context about the US Army's urgent need for a temporary tank gun solution before a permanent design.

Final token ""solution"" ends mid-phrase (""proposed as a interim solution""), part of a quoted description clause (""developed as a interim solution and was a interim solution""), strongly expecting continuation like ""before the permanent design"" or ""to fill a gap"" or ""for the shortage of supplies.""","Historical military technical article format with technical aviation designation notation, suggesting a Wikipedia or historical document listing aircraft development details.

The phrase ""The British Army's T99A was an interim model developed in 1943 as a temporary solution"" implies a clause describing a project status or specification, with "" interim solution"" suggesting a specific dated or ranked urgency context about a missing standard component.

Final token ""solution"" ends mid-phrase (""proposed as interim solution""), part of a list of reasons (""was developed as a interim solution...""), expecting continuation like ""to the shortage of"" or ""before a permanent design"" or ""for the need for a temporary ammunition.""","Historical/game format with casual tone suggesting a military vehicle article or wiki entry describing a vehicle model's development history.

The phrase ""The US Army had created the M104 prototype as a temporary solution while waiting for the finalized M113 APC, being described as a interim solution"" implies a clause structure about a prior interim product or urgent need, suggesting ""before the permanent solution.""

Final token ""solution"" ends an incomplete noun phrase (""a interim interim solution""), part of a historical clause describing motivation (""was proposed as a temporary fix and interim solution""), strongly expecting ""before"" or ""to fill the gap"" or ""for the Army's need"" continuing the noun phrase.",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_not_in_prefix,0.0,1.0,0.2222222222222222,0.4166666666666667
d1_row_432,d1_row,127,,"Literary reference format with a book description structure, establishing a historical novel about British radicalism and feminism.","Literary reference format with a book description structure, establishing a historical novel about British radicalism and feminism.

The phrase ""The novel is about a British woman named Jean Halliday, a naive and idealistic young activist"" mirrors the quoted description, strongly implying the same character's backstory about a ""naive and well-intentioned"" woman involved in a cult of violence.

Final token ""benevolent"" ends mid-description (""a naive and well-intentioned""), directly continuing the noun phrase listing characteristics (""a young, naive and well-intentioned""), expecting ""woman who joins a cult"" or ""British socialist who becomes involved in terrorism"" or similar noun phrase.","Literary work description format with a book title and author attribution, establishing a literary fiction context about a British novel about feminism and political activism.

The phrase ""A novel about an idealistic, naive Irish woman named Mary Daly, a guilt-ridden and well-meaning"" strongly implies a noun phrase describing a fictional character's background or social movement figure, continuing the title's subject.

Final token ""well-intended"" is mid-noun phrase (""a naive and benevolent, guilt-ridden and well-intended""), directly requiring a noun like ""woman who joins a cult"" or ""British activist"" or ""young woman"" or ""art student who becomes involved in radicalism.""","British/English language literary fiction context with a quoted title suggesting a film or novel about a terrorist, establishing a narrative about a naive activist.

The phrase ""A British woman named Sarah is a naive and idealistic and well intentioned"" mirrors the original description, strongly implying the second noun phrase continues describing the same character's backstory or trait about a cult member's tragic fate.

Final token ""intended"" ends mid-noun phrase (""a naive and well-intentioned and innocent-betrayed""), directly continuing the repeated descriptor pattern (""a naive and well-intentioned, innocent-minded""), strongly expecting ""woman who joined a cult"" or ""activist who becomes radical.""",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_not_in_prefix,1.0,1.0,0.20689655172413793,0.5
d1_row_234,d1_row,68,,"The phrase ""The Aggie Marching Band's roar was heard as 'Hail Aggi"" suggests a proper noun or nickname (""The Aggie Spirit""), likely referencing the university's mascot or a specific event name with a historical figure.","Historical sports reference format with a college football tradition, establishing a factual description of Texas A&M's fight song and cheer.

The phrase ""The Aggie Marching Band's roar was heard as 'Hail Aggi"" suggests a proper noun or nickname (""The Aggie Spirit""), likely referencing the university's mascot or a specific event name with a historical figure.

Final token ""Aggi"" is a truncated word mid-phrase (""the Aggi""), part of a quoted nickname (""The Spirit of Aggi""), strongly expecting ""wick"" or ""wickville"" to complete the compound noun, likely continuing with ""Eagle"" or ""Eagle Pride,"" referencing the alma mater.","Historical sports article format with Wikipedia-style structure, describing Texas A&M's fight song and traditions, establishing a factual tone with trivia about the Aggie band.

The phrase ""The fight song of Texas A&M University is known as the 'Aggie Fight Song,' and the winner of the game earns the Aggi"" is a familiar closing phrase referencing the university's mascot name.

Final token ""Aggi"" is a truncated word mid-phrase (""the Aggi""), part of the phrase ""The spirit of Aggieland,"" completing a traditional nickname or honorific title, strongly expecting ""eland"" or ""Eagle"" to close the compound noun describing the student body's victory.","Historical sports event format with official Texas A&M University description, listing traditions and facts about the Aggie Fight Song.

The phrase ""And the cheers of the Aggies fill the stadium, with the Aggieland fight song ringing out as 'Hail Texas'"" suggests a closing phrase referencing the Aggie mascot or a specific honorific term, likely ""Aggieland"" or a mascot name.

Final token ""Aggi"" is a truncated word mid-phrase (""the Aggi""), part of a compound noun (""The flame of Aggi""), strongly expecting ""eland"" or ""Eagle"" or ""Eagle Pride,"" completing the traditional honorific phrase about the team's spirit.",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.23809523809523808,0.32558139534883723
d1_row_558,d1_row,165,,"The sentence ending ""In the 2011 Asian Games the Canadian team finished second in the World Military Games and the team also defended"" is mid-clause describing a championship title win and a prior achievement by the Korea team's women's team.","Sports boxing statistics format with numbered results listing career achievements for Canadian tennis player Milos Tezak, detailing tournament performances and rankings.

The sentence ending ""In the 2011 Asian Games the Canadian team finished second in the World Military Games and the team also defended"" is mid-clause describing a championship title win and a prior achievement by the Korea team's women's team.

Final token ""defended"" ends an incomplete clause (""where the team had successfully defended""), part of a list of accomplishments (""when the team also when Korea had successfully defended their World Championship title...""), expecting ""their gold medal"" or ""their previous championship title"" or ""their championship points.""","Sports boxing statistics format with numbered results listing tournament performances for Canadian tennis player Milos Tezak, detailing weekly rankings and match outcomes.

The sentence structure ""In the men's World Tour event No. 2, Canada's Davis Cup team defeated Germany and the team also successfully defended"" mirrors a specific achievement about the WTA World Team Championship's title and championship points record.

Final token ""defended"" ends mid-clause (""where the Canadians had successfully defended""), part of a parenthetical list item describing the women's team's championship title and championship points (""where the USA team had successfully defended their 2011 title""), expecting ""their previous title.""","Sports statistics format with numbered list structure detailing MMA fighter rankings and results from a Canadian tennis player's career tournament performances.

The phrase ""In the 2012 season the duo had also ranked #2 where they successfully defended"" suggests a second item listing a championship title or ranking achievement, with ""defended their WTA ranking points"" implying a prior championship win's points or title defense.

Final token ""defended"" ends an incomplete clause (""when the team had also successfully defended""), part of a third listed achievement item (""where the team had also when the ATP team had successfully defended""), expecting ""their championship title"" or ""their previous ranking points and their championship.""",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_in_prefix,0.0,1.0,0.19607843137254902,0.2608695652173913
d1_row_240,d1_row,70,,"Academic article format with scholarly tone discussing a book about evangelical Protestant church, analyzing a specific article's methodology about a closed religious institution's student population.","Academic article format with scholarly tone discussing a book about evangelical Protestant church, analyzing a specific article's methodology about a closed religious institution's student population.

The paragraph structure ""This paper examines a documentary about a specific evangelical Protestant boarding school in the 1930s"" mirrors the introduction, now directly describing the study subject's characteristics about a ""closed Amish school.""

Final token ""an"" is an indefinite article mid-phrase (""of an""), directly continuing the subject description clause ""The account of a specific instance of a Protestant school,"" strongly expecting ""Amish religious institution"" or ""American evangelical school in Ohio"" or ""anonymous Christian boarding school's closed community.""","Structured wiki article format with numbered sections and metadata about a historical film document, establishing a pattern of presenting evidence about a Christian school's secretive rural Methodist institution.

The paragraph opening ""This article details a fictional account of a 1930s American religious boarding school"" mirrors the introduction, now directly introducing the specific institution described in the title, promising the same subject details.

Final token ""an"" is an indefinite article mid-phrase (""of an""), directly continuing the noun phrase describing the fictional Methodist school's characteristics (""Details of a specific rural Christian boarding school""), strongly expecting ""American Methodist boarding school"" or ""unknown Methodist institution in rural Pennsylvania"" or similar specific institution.","Student blog format with academic tone establishes a literary analysis post about a YouTube video discussing a fundamentalist Christian school's secretive nature.

The structure ""This article is about a documentary that details the experiences of a secretive fundamentalist Christian school from the 1950s"" mirrors the prompt's question, strongly implying the next tokens continue describing the specific Pennsylvania Christian college's anonymous religious institution.

Final token ""an"" is an indefinite article mid-phrase (""of an""), directly continuing the noun phrase ""details a specific private Christian school from an anonymous church,"" requiring a noun like ""Christian school"" or ""American religious institution"" or ""fictional fundamentalist school's isolated community.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_not_in_prefix,0.0,0.0,0.11904761904761904,0.23529411764705882
d1_row_385,d1_row,112,,"Australian military history article detailing a New Zealand battalion unit during WWI, with structured account of unit formations and casualties.","Australian military history article detailing a New Zealand battalion unit during WWI, with structured account of unit formations and casualties.

The sentence ""During this period two detachments from the 15th Battalion were sent to Hong Kong and other units"" establishes a second item listing personnel from the battalion's 1st Depot Company, implying a specific soldier or unit detail about another missing or discharged member.

Final token ""the"" is an article mid-phrase (""from the""), part of a second clause describing another subunit's service record (""Two members from a detachment from the""), expecting a noun like ""Depot Company"" or ""15th Battalion were withdrawn"" or similar.","Australian military history article detailing a New Zealand battalion unit's formation and service during WWI, structured with numbered entries listing unit subunits and their service history.

The paragraph pattern ""A second detachment from the battalion was posted to Hong Kong during the war period"" continues listing casualties and service details for the 2/1st NZ Machine Gun Company's third detachment.

Final token ""the"" is an article mid-phrase (""From members from the""), part of a third entry question (""Casualties from another detachment from this unit""), expecting a noun like ""company"" or ""third detachment"" or ""unit was withdrawn"" or ""5th Battalion have now been posted.""","Historical military document format with numbered reports listing casualties and incidents from a Philippine Army unit, suggesting structured military records or testimonies.

The sentence ""There were three soldiers from the 5th Battalion who deserted from the unit 'B' during the period"" establishes a second question about another unit's sub-element (""One detachment from the 12th Battalion""), implying a similar personnel detail about a specific unit.

Final token ""the"" is an article mid-noun phrase (""from the""), part of a second question clause (""Some casualties from the""), requiring a noun like ""12th Battalion"" or ""company have been"" or ""unit's reserve detachment"" describing a specific trait.",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_not_in_prefix,0.0,1.0,0.21212121212121213,0.5555555555555556
