pair_id,template_id,noun,entity_a,entity_b,context_a,context_b,dist_to_end,cos_ha_hb,mentions_own_a,mentions_own_b,C2_M,error,p1_prefix,p1_n_tok_a,p1_n_tok_b,p1_lp_a_given_ha,p1_lp_b_given_ha,p1_lp_a_given_hb,p1_lp_b_given_hb,p1_lp_a_given_h0,p1_lp_b_given_h0,p1_D_a,p1_D_b,p1_D_0,p1_D_a_pt,p1_D_b_pt,p1_D_0_pt,p1_donor,p1_donor_pt,p1_D_a_cen,p1_D_b_cen,p2_prefix,p2_n_tok_a,p2_n_tok_b,p2_lp_a_given_ha,p2_lp_b_given_ha,p2_lp_a_given_hb,p2_lp_b_given_hb,p2_lp_a_given_h0,p2_lp_b_given_h0,p2_D_a,p2_D_b,p2_D_0,p2_D_a_pt,p2_D_b_pt,p2_D_0_pt,p2_donor,p2_donor_pt,p2_D_a_cen,p2_D_b_cen
0,0,city,Paris,Lyon,The capital of the country is Paris. Tourists arrive at the main station and walk to the,The capital of the country is Lyon. Tourists arrive at the main station and walk to the,13,0.964261471120432,True,False,0.0021019526070962,,"<explanation>
The city mentioned in the passage is",1,1,-6.684017181396484,-17.855892181396484,-8.720623016357422,-17.439373016357422,-15.683979034423828,-19.824604034423828,11.171875,8.71875,4.140625,11.171875,8.71875,4.140625,2.453125,2.453125,7.03125,4.578125,"<explanation>
The passage mentions the city",1,1,-6.809457778930664,-16.153207778930664,-9.465470314025879,-15.731095314025879,-10.25792407989502,-14.71495532989502,9.34375,6.265625,4.45703125,9.34375,6.265625,4.45703125,3.078125,3.078125,4.88671875,1.80859375
1,0,city,Rome,Milan,The capital of the country is Rome. Tourists arrive at the main station and walk to the,The capital of the country is Milan. Tourists arrive at the main station and walk to the,13,0.9674553699930306,False,False,0.0134003783497976,,"<explanation>
The city mentioned in the passage is",1,1,-8.128131866455078,-11.378131866455078,-7.496885776519775,-10.496885299682617,-14.512104034423828,-17.465229034423828,3.25,2.999999523162842,2.953125,3.25,2.999999523162842,2.953125,0.2500004768371582,0.2500004768371582,0.296875,0.0468745231628418,"<explanation>
The passage mentions the city",1,1,-8.752593040466309,-13.158843040466309,-8.3659086227417,-11.7409086227417,-11.07042407989502,-14.06261157989502,4.40625,3.375,2.9921875,4.40625,3.375,2.9921875,1.03125,1.03125,1.4140625,0.3828125
2,0,city,Madrid,Lisbon,The capital of the country is Madrid. Tourists arrive at the main station and walk to the,The capital of the country is Lisbon. Tourists arrive at the main station and walk to the,13,0.957925450303222,True,False,0.0260101792366046,,"<explanation>
The city mentioned in the passage is",1,1,-8.570579528808594,-9.508079528808594,-8.421417236328125,-7.983917236328125,-19.086322784423828,-17.906635284423828,0.9375,-0.4375,-1.1796875,0.9375,-0.4375,-1.1796875,1.375,1.375,2.1171875,0.7421875,"<explanation>
The passage mentions the city",1,1,-6.503769874572754,-11.941269874572754,-7.363589286804199,-10.0823392868042,-13.29698657989502,-13.82823657989502,5.4375,2.71875,0.53125,5.4375,2.71875,0.53125,2.71875,2.71875,4.90625,2.1875
3,0,city,Berlin,Munich,The capital of the country is Berlin. Tourists arrive at the main station and walk to the,The capital of the country is Munich. Tourists arrive at the main station and walk to the,13,0.983246561393204,False,False,0.0021898548296711,,"<explanation>
The city mentioned in the passage is",1,1,-6.38255500793457,-10.57005500793457,-7.061931610107422,-10.436931610107422,-14.387104034423828,-15.855854034423828,4.1875,3.375,1.46875,4.1875,3.375,1.46875,0.8125,0.8125,2.71875,1.90625,"<explanation>
The passage mentions the city",1,1,-8.390931129455566,-10.515931129455566,-9.12472915649414,-9.93722915649414,-11.39854907989502,-11.97667407989502,2.125,0.8125,0.578125,2.125,0.8125,0.578125,1.3125,1.3125,1.546875,0.234375
4,1,ingredient,flour,sugar,The recipe calls for two cups of flour. Stir everything together in a large bowl and then,The recipe calls for two cups of sugar. Stir everything together in a large bowl and then,11,0.9760507142111452,False,False,0.0073097547429682,,"<explanation>
The ingredient mentioned in the passage is",1,1,-17.483779907226562,-15.015029907226562,-17.93162727355957,-14.400376319885254,-19.191022872924805,-18.218366622924805,-2.46875,-3.5312509536743164,-0.97265625,-2.46875,-3.5312509536743164,-0.97265625,1.0625009536743164,1.0625009536743164,-1.49609375,-2.5585947036743164,"<explanation>
The passage mentions the ingredient",1,1,-10.693398475646973,-11.287148475646973,-12.057463645935059,-10.713713645935059,-14.458627700805664,-12.892221450805664,0.59375,-1.34375,-1.56640625,0.59375,-1.34375,-1.56640625,1.9375,1.9375,2.16015625,0.22265625
5,1,ingredient,rice,milk,The recipe calls for two cups of rice. Stir everything together in a large bowl and then,The recipe calls for two cups of milk. Stir everything together in a large bowl and then,11,0.9486620116301572,False,False,0.0124470575807305,,"<explanation>
The ingredient mentioned in the passage is",1,1,-15.901776313781738,-16.026777267456055,-18.274307250976562,-15.446183204650879,-17.019147872924805,-17.230085372924805,0.1250009536743164,-2.8281240463256836,0.2109375,0.1250009536743164,-2.8281240463256836,0.2109375,2.953125,2.953125,-0.0859365463256836,-3.0390615463256836,"<explanation>
The passage mentions the ingredient",1,1,-13.629647254943848,-11.754647254943848,-15.636316299438477,-9.698816299438477,-13.017221450805664,-11.220346450805664,-1.875,-5.9375,-1.796875,-1.875,-5.9375,-1.796875,4.0625,4.0625,-0.078125,-4.140625
6,1,ingredient,butter,cream,The recipe calls for two cups of butter. Stir everything together in a large bowl and then,The recipe calls for two cups of cream. Stir everything together in a large bowl and then,11,0.9697696513725924,False,False,0.0036982218138784,,"<explanation>
The ingredient mentioned in the passage is",1,1,-18.39986228942871,-20.40767478942871,-17.05744171142578,-18.69806671142578,-18.301374435424805,-19.007429122924805,2.0078125,1.640625,0.7060546875,2.0078125,1.640625,0.7060546875,0.3671875,0.3671875,1.3017578125,0.9345703125,"<explanation>
The passage mentions the ingredient",1,1,-14.23839282989502,-14.58214282989502,-13.36432933807373,-13.33307933807373,-13.157846450805664,-13.634408950805664,0.34375,-0.03125,0.4765625,0.34375,-0.03125,0.4765625,0.375,0.375,-0.1328125,-0.5078125
7,1,ingredient,water,wine,The recipe calls for two cups of water. Stir everything together in a large bowl and then,The recipe calls for two cups of wine. Stir everything together in a large bowl and then,11,0.9576565762308588,True,False,0.0212622329156402,,"<explanation>
The ingredient mentioned in the passage is",1,1,-15.573180198669434,-16.791929244995117,-15.437140464782715,-13.624640464782715,-15.120711326599121,-15.480086326599121,1.2187490463256836,-1.8125,0.359375,1.2187490463256836,-1.8125,0.359375,3.0312490463256836,3.0312490463256836,0.8593740463256836,-2.171875,"<explanation>
The passage mentions the ingredient",1,1,-11.26725959777832,-16.64225959777832,-13.261171340942383,-13.854921340942383,-11.439096450805664,-10.564096450805664,5.375,0.59375,-0.875,5.375,0.59375,-0.875,4.78125,4.78125,6.25,1.46875
8,2,time,Monday,Friday,The meeting has been moved to Monday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Friday. Everyone should bring the printed report and arrive at the,12,0.9955072536788244,False,False,0.0008203853305601,,"<explanation>
The time mentioned in the passage is",1,1,-13.869365692138672,-14.556865692138672,-13.55278205871582,-14.24028205871582,-18.794374465942383,-17.403749465942383,0.6875,0.6875,-1.390625,0.6875,0.6875,-1.390625,0.0,0.0,2.078125,2.078125,"<explanation>
The passage mentions the time",1,1,-13.756616592407227,-14.194116592407227,-13.70388412475586,-14.07888412475586,-17.47734832763672,-16.39141082763672,0.4375,0.375,-1.0859375,0.4375,0.375,-1.0859375,0.0625,0.0625,1.5234375,1.4609375
9,2,time,Tuesday,Thursday,The meeting has been moved to Tuesday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Thursday. Everyone should bring the printed report and arrive at the,12,0.9971139282917256,True,False,0.0012846970992469,,"<explanation>
The time mentioned in the passage is",1,1,-13.885502815246582,-14.385502815246582,-14.325787544250488,-14.825787544250488,-18.075624465942383,-18.513124465942383,0.5,0.5,0.4375,0.5,0.5,0.4375,0.0,0.0,0.0625,0.0625,"<explanation>
The passage mentions the time",1,1,-13.006185531616211,-13.693685531616211,-13.083540916442871,-13.833540916442871,-18.06719207763672,-18.05937957763672,0.6875,0.75,-0.0078125,0.6875,0.75,-0.0078125,-0.0625,-0.0625,0.6953125,0.7578125
