pair_id,template_id,entity_a,entity_b,context_a,context_b,n_tokens,dist_to_end,cos_ha_hb,wording_kind,w1,w2,context_c,context_d,entity_dist_to_end_w2,shared_suffix_cd,wording_dist_to_end,n_wording_diff_tokens,noun,error,cos_hA_hB,cos_hA_hC,cos_hB_hD,cos_hC_hD,cos_hA_hD,cos_hB_hC,norm_hC,norm_hD,parse_ok_a,parse_ok_b,parse_ok_c,parse_ok_d,mentions_own_a,mentions_own_b,mentions_own_c,mentions_own_d,mentions_other_a,mentions_other_b,mentions_other_c,mentions_other_d,identical_cd,identical_ac,identical_bd,cos_hA_da,cos_hA_db,cos_hA_dc,cos_hA_dd,cos_hB_da,cos_hB_db,cos_hB_dc,cos_hB_dd,cos_hC_da,cos_hC_db,cos_hC_dc,cos_hC_dd,cos_hD_da,cos_hD_db,cos_hD_dc,cos_hD_dd,M_fact_w1_file,M_fact_w1,M_fact_w2,M_wording_a,M_wording_b,M_fact_mean,M_wording_mean,M_fact_minus_wording,M_fact_minus_wording_filew1,lp_a_hA,lp_b_hA,D_hA,lp_a_hB,lp_b_hB,D_hB,lp_a_hC,lp_b_hC,D_hC,lp_a_hD,lp_b_hD,D_hD,donor_w1,donor_w2,entity_effect,wording_effect,interaction,both_correct_w1,both_correct_w2,D_hA_t2c,D_hB_t2c
0,0,Paris,Lyon,The capital of the country is Paris. Tourists arrive at the main station and walk to the,The capital of the country is Lyon. Tourists arrive at the main station and walk to the,19,13,0.964261471120432,primary,country,nation,The capital of the nation is Paris. Tourists arrive at the main station and walk to the,The capital of the nation is Lyon. Tourists arrive at the main station and walk to the,13,12,15,1,city,,0.964261471120432,0.9745721904998542,0.9808607021362196,0.96903671893762,0.9391848294916068,0.958979565379591,102.71903228759766,108.54183197021484,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,0.859837323348432,0.8493853482479824,0.854167728553853,0.8484976470469245,0.8860448381495007,0.8776948156561474,0.882218344441798,0.8896863820821013,0.8764577838432895,0.8690121956755351,0.886428724189407,0.8844638741698164,0.8891867466919304,0.8842354764905773,0.8998027268657249,0.9105223943080547,0.0021019526070962,0.0021019526070962247,0.012684517461920342,0.01564053514069641,0.014295351391523492,0.007393235034508283,0.014967943266109951,-0.007574708231601668,-0.00757470823160168,-6.684017181396484,-17.855892181396484,11.171875,-8.720623016357422,-17.439373016357422,8.71875,-5.895970344543457,-17.69284439086914,11.796874046325684,-8.293984413146973,-17.833045959472656,9.539061546325684,2.453125,2.2578125,2.35546875,-0.7226552963256836,0.09765625,False,False,11.171875,8.71875
1,0,Rome,Milan,The capital of the country is Rome. Tourists arrive at the main station and walk to the,The capital of the country is Milan. Tourists arrive at the main station and walk to the,19,13,0.9674553699930306,primary,country,nation,The capital of the nation is Rome. Tourists arrive at the main station and walk to the,The capital of the nation is Milan. Tourists arrive at the main station and walk to the,13,12,15,1,city,,0.9674553699930306,0.9803736852464053,0.9800242866567438,0.9688081914509172,0.9455296588122021,0.9607345093022538,104.7005615234375,107.63955688476562,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,0.8716231640570704,0.8755933255588515,0.8808187480573231,0.8734775026580135,0.8649325809789954,0.8823031208305742,0.8826683294724667,0.8838403173513621,0.8804426950112139,0.8776481876057196,0.8953293113307234,0.8938931605887028,0.8810156605783402,0.888725544275301,0.8982273660233294,0.9070861401163682,0.0134003783497976,0.013400378349797681,0.010294924835059338,0.005691032319256828,0.01682339932027921,0.01184765159242851,0.011257215819768018,0.0005904357726604914,0.0005904357726604498,-8.128131866455078,-11.378131866455078,3.25,-7.496885776519775,-10.496885299682617,2.999999523162842,-7.083734035491943,-10.958734512329102,3.875000476837158,-7.746990203857422,-10.371990203857422,2.625,0.2500004768371582,1.2500004768371582,0.7500004768371582,-0.1250004768371582,-0.5,False,False,3.25,2.999999523162842
2,0,Madrid,Lisbon,The capital of the country is Madrid. Tourists arrive at the main station and walk to the,The capital of the country is Lisbon. Tourists arrive at the main station and walk to the,19,13,0.957925450303222,primary,country,nation,The capital of the nation is Madrid. Tourists arrive at the main station and walk to the,The capital of the nation is Lisbon. Tourists arrive at the main station and walk to the,13,12,15,1,city,,0.957925450303222,0.9739397727875495,0.9793216962596676,0.9684831854816163,0.9279944865839163,0.9633294819885743,104.65876007080078,110.75764465332031,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,0.8734025653469617,0.8722278289577364,0.8705128632568406,0.8511217114383444,0.8809144483508546,0.905749891198234,0.893085499648899,0.8885109108837546,0.882173831142218,0.8942770464995888,0.898584093242544,0.8900398500567547,0.8807291210827949,0.9136035748059139,0.9107194704058866,0.9167151395595863,0.0260101792366046,0.026010179236604647,0.014539912339488925,0.019299964190446994,0.020350545068151815,0.020275045788046786,0.019825254629299405,0.0004497911587473813,0.000449791158747357,-8.570579528808594,-9.508079528808594,0.9375,-8.421417236328125,-7.983917236328125,-0.4375,-8.403310775756836,-8.340810775756836,-0.0625,-7.54290246963501,-6.23040246963501,-1.3125,1.375,1.25,1.3125,0.9375,0.0625,True,False,0.9375,-0.4375
3,0,Berlin,Munich,The capital of the country is Berlin. Tourists arrive at the main station and walk to the,The capital of the country is Munich. Tourists arrive at the main station and walk to the,19,13,0.983246561393204,primary,country,nation,The capital of the nation is Berlin. Tourists arrive at the main station and walk to the,The capital of the nation is Munich. Tourists arrive at the main station and walk to the,13,12,15,1,city,,0.9832465613932039,0.9769680186482285,0.9794091560636318,0.9866466707214314,0.9724774962024958,0.9599215709237162,106.80796813964844,107.44525146484375,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,0.8923972015771147,0.8910301784868594,0.8838337898723607,0.8844289733277595,0.8965411811083885,0.8973640128478044,0.8827078326429442,0.8840090869136173,0.8906962389166728,0.8913380858718106,0.9056175149176722,0.9107445102210316,0.9032796555264591,0.9054024515169344,0.9084039054176165,0.913952902480069,0.0021898548296711,0.002189854829671156,0.00042200175909301585,0.023484687705753293,0.021905376897321638,0.001305928294382086,0.022695032301537466,-0.02138910400715538,-0.021389104007155407,-6.38255500793457,-10.57005500793457,4.1875,-7.061931610107422,-10.436931610107422,3.375,-4.283907890319824,-9.158907890319824,4.875,-5.024374008178711,-9.024374008178711,4.0,0.8125,0.875,0.84375,-0.65625,-0.03125,False,False,4.1875,3.375
4,1,flour,sugar,The recipe calls for two cups of flour. Stir everything together in a large bowl and then,The recipe calls for two cups of sugar. Stir everything together in a large bowl and then,18,11,0.9760507142111452,primary,calls,asks,The recipe asks for two cups of flour. Stir everything together in a large bowl and then,The recipe asks for two cups of sugar. Stir everything together in a large bowl and then,11,10,16,1,ingredient,,0.9760507142111451,0.9823042226218832,0.9788969732723183,0.9795091283276764,0.9686506095799033,0.9569942075339024,119.32931518554688,113.92662048339844,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,0.8843720358175066,0.8901083149643726,0.8858914816187845,0.8921085716052245,0.8701796308073073,0.8832256646971416,0.8627614657725815,0.8815156108676859,0.8905061263212739,0.8952717265803021,0.9002344191402109,0.9013859393436421,0.8773727478327766,0.8901027920783394,0.8808954048048767,0.8933199091699817,0.0073097547429682,0.007309754742968244,0.011272984161673771,0.008208847017659004,0.004927170921097956,0.009291369452321008,0.0065680089693784804,0.0027233604829425273,0.0027233604829425048,-17.483779907226562,-15.015029907226562,-2.46875,-17.93162727355957,-14.400376319885254,-3.5312509536743164,-15.211771011352539,-13.430521011352539,-1.78125,-16.513145446777344,-13.169395446777344,-3.34375,1.0625009536743164,1.5625,1.3125004768371582,-0.4375004768371582,-0.2499995231628418,False,False,-2.46875,-3.5312509536743164
5,1,rice,milk,The recipe calls for two cups of rice. Stir everything together in a large bowl and then,The recipe calls for two cups of milk. Stir everything together in a large bowl and then,18,11,0.9486620116301572,primary,calls,asks,The recipe asks for two cups of rice. Stir everything together in a large bowl and then,The recipe asks for two cups of milk. Stir everything together in a large bowl and then,11,10,16,1,ingredient,,0.9486620116301572,0.9766890198997126,0.9750542587295935,0.9627786549415854,0.9395935079782005,0.9425978104404573,117.46112060546875,114.08352661132812,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,0.8777446237665466,0.8630863533152205,0.8782189199090421,0.8640210013525935,0.8646150937450713,0.8624038808744757,0.8631999153583786,0.8665374362694804,0.8898847417618433,0.8783029380610272,0.9013347179583137,0.88244633644464,0.8821538454509564,0.8782919278705815,0.8868267091687447,0.8848600242090617,0.0124470575807305,0.012447057580730503,0.016921696553990673,0.010975680053974868,0.002434540943475505,0.014684377067360588,0.006705110498725186,0.007979266568635401,0.0079792665686354,-15.901776313781738,-16.026777267456055,0.1250009536743164,-18.274307250976562,-15.446183204650879,-2.8281240463256836,-14.49384880065918,-14.71259880065918,0.21875,-17.181428909301758,-14.650179862976074,-2.5312490463256836,2.953125,2.7499990463256836,2.851562023162842,-0.1953120231628418,0.1015629768371582,True,True,0.1250009536743164,-2.8281240463256836
6,1,butter,cream,The recipe calls for two cups of butter. Stir everything together in a large bowl and then,The recipe calls for two cups of cream. Stir everything together in a large bowl and then,18,11,0.9697696513725924,primary,calls,asks,The recipe asks for two cups of butter. Stir everything together in a large bowl and then,The recipe asks for two cups of cream. Stir everything together in a large bowl and then,11,10,16,1,ingredient,,0.9697696513725923,0.9697573644231662,0.9682715663252514,0.9732840304940753,0.9470251493422137,0.9525572173389236,118.40248107910156,119.28119659423828,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,0.8603508889260991,0.8522509538519427,0.8589542884054495,0.842113034060163,0.8816612591740185,0.8772595459137406,0.8798495356695577,0.8716757301942449,0.8835889305925284,0.8764170670270848,0.8893652752253636,0.8769836442720268,0.8858080582744504,0.8826215630435124,0.8911511843059505,0.889996197763508,0.0036982218138784,0.003698221813878466,0.011226644410894271,0.007172945153484767,0.012958450439491287,0.0074624331123863685,0.010065697796488027,-0.0026032646841016582,-0.002603264684101691,-18.39986228942871,-20.40767478942871,2.0078125,-17.05744171142578,-18.69806671142578,1.640625,-15.706216812133789,-17.53434181213379,1.828125,-14.474847793579102,-16.1623477935791,1.6875,0.3671875,0.140625,0.25390625,0.06640625,0.11328125,False,False,2.0078125,1.640625
7,1,water,wine,The recipe calls for two cups of water. Stir everything together in a large bowl and then,The recipe calls for two cups of wine. Stir everything together in a large bowl and then,18,11,0.9576565762308588,primary,calls,asks,The recipe asks for two cups of water. Stir everything together in a large bowl and then,The recipe asks for two cups of wine. Stir everything together in a large bowl and then,11,10,16,1,ingredient,,0.9576565762308588,0.9819984409732864,0.9780435865040398,0.97004558044087,0.9444696431290353,0.9580450402656777,117.28109741210938,120.25465393066406,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,0.88805324513576,0.8773018516089562,0.8886035310394024,0.88422612896992,0.8772273513880026,0.887738190776839,0.8749544723511486,0.8876137410572478,0.8928270647166308,0.8903087618821225,0.897018494608736,0.8983987242235426,0.8912491650133705,0.909639018868687,0.8936917549445668,0.9136923672061014,0.0212622329156402,0.021262232915640222,0.01862038264672794,0.003641143988462825,0.004177798057005577,0.01994130778118408,0.003909471022734201,0.01603183675844988,0.01603183675844987,-15.573180198669434,-16.791929244995117,1.2187490463256836,-15.437140464782715,-13.624640464782715,-1.8125,-14.943530082702637,-16.662281036376953,1.7187509536743164,-15.116497993469238,-13.928997993469238,-1.1875,3.0312490463256836,2.9062509536743164,2.96875,-0.5625009536743164,0.062499046325683594,True,True,1.2187490463256836,-1.8125
8,2,Monday,Friday,The meeting has been moved to Monday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Friday. Everyone should bring the printed report and arrive at the,18,12,0.9955072536788244,primary,moved,shifted,The meeting has been shifted to Monday. Everyone should bring the printed report and arrive at the,The meeting has been shifted to Friday. Everyone should bring the printed report and arrive at the,12,11,14,1,time,,0.9955072536788244,0.990703343823721,0.9925511768532413,0.9951935163275701,0.9886836110943542,0.9863723867137016,107.0124740600586,107.82411193847656,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,0.8864057008118249,0.882477495875533,0.8753423928566186,0.8718105220235516,0.8872769570749685,0.8841691374692368,0.87743990039056,0.8768122078567668,0.8837252097412139,0.8779914715019603,0.8714205058297001,0.8714293712638812,0.8844980196575852,0.8800632557112165,0.8737714733788207,0.8764908859611754,0.0008203853305601,0.0008203853305601694,0.0027105471481736476,-0.0012413959563075672,0.003784559862428871,0.0017654662393669085,0.001271581953060652,0.0004938842863062565,0.0004938842863062218,-13.869365692138672,-14.556865692138672,0.6875,-13.55278205871582,-14.24028205871582,0.6875,-13.915163040161133,-14.633913040161133,0.71875,-13.706422805786133,-14.393922805786133,0.6875,0.0,0.03125,0.015625,-0.015625,-0.015625,False,False,0.6875,0.6875
9,2,Tuesday,Thursday,The meeting has been moved to Tuesday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Thursday. Everyone should bring the printed report and arrive at the,18,12,0.9971139282917256,primary,moved,shifted,The meeting has been shifted to Tuesday. Everyone should bring the printed report and arrive at the,The meeting has been shifted to Thursday. Everyone should bring the printed report and arrive at the,12,11,14,1,time,,0.9971139282917255,0.9857976746753337,0.9902338718315294,0.9987713475068332,0.9832488885778805,0.990300590855895,107.19261169433594,107.10728454589844,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,0.8853645011718875,0.8738064567081469,0.8749809723394599,0.8723524971334365,0.882887103164154,0.8726137557996604,0.8727792662127248,0.8703562745080278,0.8771742028955026,0.8661471931090621,0.8675429556751572,0.8669229773739064,0.876621292100274,0.8662672261631358,0.8670095314832118,0.8660643234126746,0.0012846970992469,0.0012846970992469453,-0.0003252297692865058,0.000752281612082073,0.0020545785411714146,0.00047973366498021974,0.0014034300766267438,-0.000923696411646524,-0.0009236964116465467,-13.885502815246582,-14.385502815246582,0.5,-14.325787544250488,-14.825787544250488,0.5,-14.790518760681152,-15.228018760681152,0.4375,-14.587607383728027,-15.025107383728027,0.4375,0.0,0.0,0.0,0.0625,0.0,False,False,0.5,0.5
