row,idx,sentence_no,k,stratum,is_last,sentence,random_row,same_row,d_norm,cos_dhat_hhat,proj,cos_z,cos_zc,n_atomic_mapped,ref_quoted_token_ok,complete,own_persist_claim,own_jaccard_expl,own_parse_ok,own_cjk,own_format_break,own_cos_new,own_cos_hprime_h,own_quoted_token_ok,own_n_tokens,own_skipped,own_n_atomic_true_persist,own_n_atomic_true,own_n_atomic_false_persist,own_n_atomic_false,own_n_atomic_unsupported_persist,own_n_atomic_unsupported,random_persist_claim,random_jaccard_expl,random_parse_ok,random_cjk,random_format_break,random_cos_new,random_cos_hprime_h,random_quoted_token_ok,random_n_tokens,random_skipped,random_n_atomic_true_persist,random_n_atomic_true,random_n_atomic_false_persist,random_n_atomic_false,random_n_atomic_unsupported_persist,random_n_atomic_unsupported,same_persist_claim,same_jaccard_expl,same_parse_ok,same_cjk,same_format_break,same_cos_new,same_cos_hprime_h,same_quoted_token_ok,same_n_tokens,same_skipped,same_n_atomic_true_persist,same_n_atomic_true,same_n_atomic_false_persist,same_n_atomic_false,same_n_atomic_unsupported_persist,same_n_atomic_unsupported
1,0,1,3,non-last,False,"Indian machinery/steel product seller website with multiple product listing images and text blocks, mixing product details and contact info.",52,2,33.8309211730957,0.24915745854377747,0.24915745854377747,0.9088961757839298,0.890321344445386,6,True,True,0.11764705882352941,0.43243243243243246,1.0,0.0,0.0,0.8727160311477729,0.9540688469228139,1.0,144,False,0,4,0,0,0,2,0.1724137931034483,0.3875,1.0,0.0,0.0,0.8715615522939634,0.9544285488012473,1.0,144,False,0,4,0,0,0,2,0.2857142857142857,0.4342105263157895,1.0,0.0,0.0,0.8871463405017197,0.9554749191182563,1.0,142,False,0,4,0,0,1,2
3,0,3,3,positive_control_last,True,"Final token ""for"" ends an incomplete phrase (""price list price list price for""), part of a third listing item (""price list price list price list""), expecting a noun phrase like ""cement block plant"" or ""all cement product"" or ""old machinery parts"" or similar product details.",43,2,110.1749267578125,0.36089834570884705,0.36089834570884705,0.9088961757839298,0.7140879398170084,4,True,True,0.5384615384615384,0.5205479452054794,1.0,0.0,0.0,0.898226960520206,0.9541394673079812,1.0,147,False,2,2,0,0,0,2,0.6216216216216216,0.65625,1.0,0.0,0.0,0.9065604926131389,0.9575733312631637,1.0,144,False,2,2,0,0,1,2,0.5833333333333334,0.4342105263157895,1.0,0.0,0.0,0.8871463405017197,0.9554749191182563,1.0,142,False,2,2,0,0,1,2
2,0,2,3,non-last,False,"The phrase ""price list for cement block machine"" and ""price list for cement block machine in bangalore"" suggests a third listing or query format with ""price list"" or ""product parts"" or ""steel mill machinery"" entries, likely a query or contact listing format.",71,1,30.59685516357422,0.11775921285152435,0.11775921285152435,0.9088961757839298,0.9016245521842046,7,True,True,0.375,0.4342105263157895,1.0,0.0,0.0,0.8871463405017197,0.9554749191182563,1.0,142,False,0,3,0,4,0,0,0.46153846153846156,0.6176470588235294,1.0,0.0,0.0,0.8894414039646299,0.9567366382318345,1.0,147,False,0,3,1,4,0,0,0.37142857142857144,0.43243243243243246,1.0,0.0,0.0,0.8727160311477729,0.9540688469228139,1.0,144,False,0,3,0,4,0,0
13,1,3,3,positive_control_last,True,"Final token ""Promoted"" is mid-sentence mid-list (""Promoted... Promoted""), part of a sequence of career promotions (""Promoted Captain, promoted""), expecting continuation like ""Lieutenant Colonel in 1915"" or ""Major General in April 1916, he took command.""",63,12,48.838592529296875,0.3990787863731384,0.3990787863731384,0.941033116536216,0.9104201158680113,6,False,True,0.37209302325581395,0.45,1.0,0.0,0.0,0.9191529664030437,0.9544834835022807,0.0,144,False,2,3,0,2,0,1,0.7096774193548387,0.581081081081081,1.0,0.0,0.0,0.9385208020720553,0.9575099525799036,0.0,144,False,3,3,0,2,0,1,0.4473684210526316,0.35106382978723405,1.0,0.0,0.0,0.9009241182318474,0.9541042497618616,0.0,144,False,2,3,0,2,0,1
11,1,1,3,non-last,False,"British Military History account of Captain Agnew's career, with biographical narrative detailing postings and service during WWI.",21,12,26.469478607177734,0.16433630883693695,0.16433630883693695,0.941033116536216,0.9317072661715674,5,False,True,0.15625,0.3146067415730337,1.0,0.0,0.0,0.8984208454992842,0.954814527755339,0.0,146,False,0,5,0,0,0,0,0.21428571428571427,0.358695652173913,1.0,0.0,0.0,0.9191034673843569,0.9561255641893683,0.0,146,False,1,5,0,0,0,0,0.4074074074074074,0.35106382978723405,1.0,0.0,0.0,0.9009241182318474,0.9541042497618616,0.0,144,False,3,5,0,0,0,0
23,2,3,3,positive_control_last,True,"Final token ""has"" is mid-sentence (""Hannah has""), part of a second attribute listing (""Sara has""), expecting a noun phrase like ""a strong connection to"" or ""multiple passions including"" or ""travelled internationally and has recently completed various projects/degrees"" or ""a strong desire to contribute to environmental causes.""",13,22,168.7183837890625,0.39669448137283325,0.39669448137283325,0.9530373426150267,0.6415700652161006,4,True,True,0.3103448275862069,0.44339622641509435,1.0,0.0,0.0,0.952607460376175,0.9544567467548377,1.0,142,False,1,2,0,1,0,1,0.4230769230769231,0.37962962962962965,1.0,0.0,0.0,0.9488293802773103,0.95720264716968,1.0,143,False,2,2,0,1,0,1,0.3269230769230769,0.38317757009345793,1.0,0.0,0.0,0.915366981109246,0.9545736626119451,1.0,145,False,1,2,0,1,0,1
12,1,2,3,non-last,False,"The paragraph structure ""His career continued with Captaincy and he was posted to the Royal Marines. Promoted to Major, promoted"" lists career promotions with dates and details, continuing the sequence of military rank progression and service history.",41,11,26.559368133544922,0.24251072108745575,0.24251072108745575,0.941033116536216,0.9292575302922266,5,False,True,0.24,0.35106382978723405,1.0,0.0,0.0,0.9009241182318474,0.9541042497618616,0.0,144,False,0,3,0,1,1,1,0.37209302325581395,0.358695652173913,1.0,0.0,0.0,0.919185638568008,0.9573576824517988,0.0,143,False,2,3,0,1,1,1,0.19047619047619047,0.3146067415730337,1.0,0.0,0.0,0.8984208454992842,0.954814527755339,0.0,146,False,0,3,0,1,1,1
33,3,3,3,positive_control_last,True,"Final token ""of"" ends an incomplete noun phrase (""citation rates of""), part of a citation study title (""Gender bias in citation rates of""), expecting a noun like ""scientific papers"" or ""developing country journals"" or ""international health research papers"" or ""academic publications in developing countries.""",74,32,62.68140411376953,0.5536661148071289,0.5536661148071289,0.9432012090612775,0.8870513465756477,4,True,True,0.6585365853658537,0.64,1.0,0.0,0.0,0.9346732838729517,0.9579363778088746,1.0,144,False,2,3,0,0,0,1,0.43478260869565216,0.5176470588235295,1.0,0.0,0.0,0.9313454645664546,0.9562891757647138,1.0,142,False,2,3,0,0,0,1,0.6046511627906976,0.49411764705882355,1.0,0.0,0.0,0.9253337797073417,0.9566040556111448,1.0,140,False,2,3,0,0,0,1
21,2,1,3,non-last,False,"British Adventure Sports Photographer with eco-conservation focus, listing her outdoor experiences and qualifications for the UK Wildlife Conservation event.",72,22,65.92874908447266,0.2720445394515991,0.2720445394515991,0.9530373426150267,0.9017142289151412,6,True,True,0.12121212121212122,0.3394495412844037,1.0,0.0,0.0,0.9016843471956446,0.9539789780026842,1.0,145,False,0,3,1,2,0,1,0.2857142857142857,0.35714285714285715,1.0,0.0,0.0,0.95227650320779,0.9569952512391692,1.0,145,False,1,3,1,2,1,1,0.2,0.38317757009345793,1.0,0.0,0.0,0.915366981109246,0.9545736626119451,1.0,145,False,2,3,0,2,1,1
43,4,3,3,positive_control_last,True,"Final token ""annual"" is mid-phrase (""the annual""), part of a clause listing activities (""The annual""), directly continuing the sentence about the student's fundraising event's purpose or a specific year's event, expecting ""Charity Fair"" or ""India Day competition is held to raise funds.""",3,42,122.39741516113281,0.45620056986808777,0.45620056986808777,0.9200446926568321,0.6844526135031992,5,True,True,0.4375,0.47474747474747475,1.0,0.0,0.0,0.9359771360118135,0.9553481576186442,1.0,145,False,2,2,1,2,0,1,0.3877551020408163,0.38461538461538464,1.0,0.0,0.0,0.9286949912711449,0.9569811973100634,1.0,145,False,2,2,0,2,0,1,0.3,0.308411214953271,1.0,0.0,0.0,0.9200328520791996,0.9553237800368917,1.0,144,False,2,2,0,2,0,1
22,2,2,3,non-last,False,"The structure ""Sara is an enthusiastic Wildlife Photographer with a passion for adventure and conservation work"" signals a concluding section listing additional attributes or career highlights, continuing the bio format with ""Her recent projects and goals.""",12,21,32.670806884765625,0.18524019420146942,0.18524019420146942,0.9530373426150267,0.9407048574198051,6,True,True,0.32653061224489793,0.38317757009345793,1.0,0.0,0.0,0.915366981109246,0.9545736626119451,1.0,145,False,1,4,0,2,0,0,0.2558139534883721,0.43,1.0,0.0,0.0,0.9332831021980846,0.9558054320380779,1.0,135,False,2,4,0,2,0,0,0.2916666666666667,0.3394495412844037,1.0,0.0,0.0,0.9016843471956446,0.9539789780026842,1.0,145,False,1,4,0,2,0,0
