claim_idx,sentence,span_a,span_b,dup_sentence,snippet,n_words,slot_type,focus_word,context_id,carrier_id,n_claims,slot_num,slot_id,repeat_sentences,asserts,other_content,fact_repeated_by,label_source,sv_task_id,label_orig,evidence,reason,evidence_found,eligible,ineligible_reason,correction_text,correction_valid
0,"Wiki article format with structured video details listing, presenting a DVD film synopsis of Canadian rock band The Matrix.",0,123,False,False,19,entity,DVD,0,0,3,0,c0_entity,[],yes,text presents a DVD film synopsis of the band The Matrix,[],claude,a1_sv_c0_entity,contradicted,is a 1995 science fiction anime film based on manga of the same title by Masamune Shirow,"Subject is a 1995 anime film, not a DVD synopsis of Canadian band The Matrix.",True,True,,"Wiki article format with structured video details listing, presenting a DVD film synopsis of the 1995 anime film Ghost in the Shell.",False
0,American Wikipedia article format with historical numeric label details listing freeway characteristics for the Monongahela River Bridge in Pennsylvania.,0,153,False,False,19,entity,Monongahela,1,1,3,2,c1_entity,[],yes,"article lists freeway characteristics of the Monongahela River Bridge, Pennsylvania",[],claude,a1_sv_c1_entity,contradicted,"New York State Route 368 ( NY 368 ) was a state highway in Onondaga County , New York","Subject is NY 368 in New York, not a Pennsylvania river bridge.",True,True,,American Wikipedia article format with historical numeric label details listing freeway characteristics for New York State Route 368 in New York.,False
1,"The sentence structure ""The highway then entered the city of East Stroudsburg and traveled through the downtown neighborhood before reaching its terminal point . The route passed through South Mountain . "" describes a sequence of events detailing the stream's arrival and a named destination (""Washington Square"").",155,469,False,False,47,detail,before,1,1,3,3,c1_detail,[],yes,quoted sentence: highway passed downtown before reaching its terminus; South Mountain,[],claude,a1_sv_c1_detail,contradicted,"The route headed north as Halfway Road , passing by farmland as it headed through a rural area of Onondaga County to the small hamlet of Halfway","Route runs to Halfway; no East Stroudsburg, South Mountain or Washington Square sentence.",True,True,,NONE,False
0,"Wikipedia article format with detailed film biography entry, listing plot details about the British musical film ""Blackpool.""",0,125,False,False,17,entity,British,2,2,3,4,c2_entity,[],yes,film 'Blackpool' is a British musical film,[],claude,a1_sv_c2_entity,contradicted,You Only Live Twice ( 1967 ) is the fifth spy film in the James Bond series,"Film is a James Bond spy film, not a British musical 'Blackpool'.",True,True,,"Wikipedia article format with detailed film biography entry, listing plot details about the James Bond spy film ""You Only Live Twice.""",False
0,"Wikipedia article style with numbered facts describing a rail station in Cincinnati, Ohio, providing historical details about a renamed alignment.",0,146,False,False,20,entity,Cincinnati,3,3,3,6,c3_entity,[],yes,"rail station is in Cincinnati, Ohio; renamed alignment",[],claude,a1_sv_c3_entity,contradicted,"New York State Route 185 ( NY 185 ) is an east – west state highway in Essex County , New York","Subject is a New York highway, not a Cincinnati rail station.",True,True,,"Wikipedia article style with numbered facts describing a state highway in Essex County, New York, providing historical details about a renamed alignment.",False
1,"The sentence structure ""The track was originally declared inactive in 2009 after its new route was completed ; however , the Alton Highway Bridge was demolished to make way for Interstate 75 . The new terminus was removed"" indicates a date and consequence clause completing the rerouting.",148,436,False,False,47,detail,2009,3,3,3,7,c3_detail,[],yes,track declared inactive in 2009; Alton Highway Bridge demolished for I-75,[],claude,a1_sv_c3_detail,contradicted,"NY 185 originally connected to the Champlain Bridge on its east end ; however , that structure was closed and demolished in late 2009","2009 demolition was the Champlain Bridge; no track, Alton bridge or Interstate 75.",True,True,,NONE,False
0,"Biological species account format with scientific description entries, listing physical characteristics and behavioral traits of an Australian snail species called *Diplocaulus*.",0,178,False,False,21,entity,Australian,4,4,3,8,c4_entity,[],yes,snail species Diplocaulus is Australian,[],claude,a1_sv_c4_entity,contradicted,The plain maskray or brown stingray ( Neotrygon annotata ) is a species of stingray in the family Dasyatidae,"Species is a stingray Neotrygon annotata, not a snail Diplocaulus.",True,True,,"Biological species account format with scientific description entries, listing physical characteristics and behavioral traits of an Australian stingray species called *Neotrygon annotata*.",False
0,Historical encyclopedia format with numbered congressional biographies listing political accomplishments and voting records of a 19th-century American congressman.,0,163,False,False,18,entity,American,5,5,3,10,c5_entity,[],yes,subject is a 19th-century American congressman,[],claude,a1_sv_c5_entity,entailed,"was an American lawyer and politician from Massachusetts . A Whig , Briggs served for twelve years in the United States House of Representatives",Briggs (1796–1861) was an American congressman; accomplishments listed.,True,True,,,
0,"Wiki-style music biographical format listing stats and attributes for a British football club, with structured bullet-point entries covering performances and awards.",0,165,False,False,21,entity,British,6,6,3,12,c6_entity,[],yes,subject is a British football club with stats and awards,[],claude,a1_sv_c6_entity,contradicted,Hibiscus is a London restaurant owned and run by French chef Claude Bosi,"Subject is a London restaurant, not a British football club.",True,True,,"Wiki-style music biographical format listing stats and attributes for a British restaurant, with structured bullet-point entries covering performances and awards.",True
1,"The sentence ending ""The band have been described as top ten in attendance since 2015 . They have also received two Michelin stars and have an 'A' rating from the Michelin restaurant rating system ."" suggests a final stat or attribute list item follows.",167,420,False,False,44,detail,ten,6,6,3,13,c6_detail,[],yes,quoted: top ten in attendance since 2015; two Michelin stars,[],claude,a1_sv_c6_detail,contradicted,Hibiscus is a London restaurant owned and run by French chef Claude Bosi,"Subject is a restaurant, not a band; two Michelin stars match, attendance and 'A' rating absent.",True,True,,NONE,False
