item_id,item_type,context_id,prefix_text,sentence,candidate_text,realization_text,transform,human_label,human_note
c0_entity_correction,candidate,0," = Ghost in the Shell ( 1995 film ) = 
 
 Ghost in the Shell , known in Japan as Mobile Armored Riot Police : Ghost In The Shell ( 攻殻機動隊 GHOST IN THE SHELL , Kōkaku Kidōtai Gōsuto In Za Sheru ) , is a 1995 science fiction anime film based on manga of the same title by Masamune Shirow . The film was written by Kazunori Itō , directed by Mamoru Oshii , animated by Production I.G , and starred the voices of Atsuko Tanaka , Akio Ōtsuka , and Iemasa Kayumi . 
 Ghost in the Shell follows the hunt by the public @-@ security agency Section 9 for a mysterious hacker known as the Puppet Master . With the assistance of her team , Motoko Kusanagi tracks and finds their suspect , only to be drawn into a complex sequence of political intrigue and a cover @-@ up as to the identity and goals of the Puppet Master . 
 The overarching philosophical themes of the film include self @-@ identity in a technologically advanced world .","Wiki article format with structured video details listing, presenting a DVD film synopsis of Canadian rock band The Matrix.","Wiki article format with structured video details listing, presenting a DVD film synopsis of the 1995 anime film Ghost in the Shell.",,correction,,
c1_entity_correction,candidate,1," = New York State Route 368 = 
 
 New York State Route 368 ( NY 368 ) was a state highway in Onondaga County , New York , in the United States . It was one of the shortest routes in the county , extending for only 1 @.@ 69 miles ( 2 @.@ 72 km ) between NY 321 and NY 5 in the town of Elbridge . NY 368 was known as Halfway Road for the hamlet it served near its midpoint . The route was assigned in the 1930s and removed in 1980 as part of a highway maintenance swap between the state of New York and Onondaga County . 
 
 = = Route description = = 
 
 NY 368 began at an intersection with NY 321 adjacent to the Carpenter 's Brook Fish Hatchery in the town of Elbridge . The route headed north as Halfway Road , passing by farmland as it headed through a rural area of Onondaga County to the small hamlet of Halfway .",American Wikipedia article format with historical numeric label details listing freeway characteristics for the Monongahela River Bridge in Pennsylvania.,American Wikipedia article format with historical numeric label details listing freeway characteristics for New York State Route 368 in New York.,,correction,,
c1_detail_correction,candidate,1," = New York State Route 368 = 
 
 New York State Route 368 ( NY 368 ) was a state highway in Onondaga County , New York , in the United States . It was one of the shortest routes in the county , extending for only 1 @.@ 69 miles ( 2 @.@ 72 km ) between NY 321 and NY 5 in the town of Elbridge . NY 368 was known as Halfway Road for the hamlet it served near its midpoint . The route was assigned in the 1930s and removed in 1980 as part of a highway maintenance swap between the state of New York and Onondaga County . 
 
 = = Route description = = 
 
 NY 368 began at an intersection with NY 321 adjacent to the Carpenter 's Brook Fish Hatchery in the town of Elbridge . The route headed north as Halfway Road , passing by farmland as it headed through a rural area of Onondaga County to the small hamlet of Halfway .","The sentence structure ""The highway then entered the city of East Stroudsburg and traveled through the downtown neighborhood before reaching its terminal point . The route passed through South Mountain . "" describes a sequence of events detailing the stream's arrival and a named destination (""Washington Square"").",NONE,,correction,,
c2_entity_correction,candidate,2," = You Only Live Twice ( film ) = 
 
 You Only Live Twice ( 1967 ) is the fifth spy film in the James Bond series , and the fifth to star Sean Connery as the fictional MI6 agent James Bond . The film 's screenplay was written by Roald Dahl , and loosely based on Ian Fleming 's 1964 novel of the same name . It is the first James Bond film to discard most of Fleming 's plot , using only a few characters and locations from the book as the background for an entirely new story . 
 In the film , Bond is dispatched to Japan after American and Soviet manned spacecraft disappear mysteriously in orbit . With each nation blaming the other amidst the Cold War , Bond travels secretly to a remote Japanese island in order to find the perpetrators and comes face to face with Ernst Stavro Blofeld , the head of SPECTRE . The film reveals the appearance of Blofeld , who was previously a partially unseen character . SPECTRE is extorting the government of an unnamed Asian power , implied to be the People 's Republic of China , in order to provoke war between the superpowers . 
 During the filming in Japan , it was announced that Sean Connery would retire from the role of Bond .","Wikipedia article format with detailed film biography entry, listing plot details about the British musical film ""Blackpool.""","Wikipedia article format with detailed film biography entry, listing plot details about the James Bond spy film ""You Only Live Twice.""",,correction,,
c3_entity_correction,candidate,3," = New York State Route 185 = 
 
 New York State Route 185 ( NY 185 ) is an east – west state highway in Essex County , New York , in the United States . It serves as a connector between NY 9N and NY 22 in Crown Point and the Lake Champlain Bridge , by which the highway enters Vermont and becomes Vermont Route 17 ( VT 17 ) . NY 185 , named Bridge Road , passes through Crown Point State Historic Site and runs the entire length of Crown Point , a peninsula protruding into Lake Champlain . 
 NY 185 was assigned on April 4 , 2008 , as a signed replacement for New York State Route 910L , an unsigned reference route . It is the third signed designation that Bridge Road has carried , preceded by New York State Route 347 ( during the early 1930s ) and NY 8 ( 1930s to the 1960s ) . NY 185 originally connected to the Champlain Bridge on its east end ; however , that structure was closed and demolished in late 2009 .","Wikipedia article style with numbered facts describing a rail station in Cincinnati, Ohio, providing historical details about a renamed alignment.","Wikipedia article style with numbered facts describing a state highway in Essex County, New York, providing historical details about a renamed alignment.",,correction,,
c3_detail_correction,candidate,3," = New York State Route 185 = 
 
 New York State Route 185 ( NY 185 ) is an east – west state highway in Essex County , New York , in the United States . It serves as a connector between NY 9N and NY 22 in Crown Point and the Lake Champlain Bridge , by which the highway enters Vermont and becomes Vermont Route 17 ( VT 17 ) . NY 185 , named Bridge Road , passes through Crown Point State Historic Site and runs the entire length of Crown Point , a peninsula protruding into Lake Champlain . 
 NY 185 was assigned on April 4 , 2008 , as a signed replacement for New York State Route 910L , an unsigned reference route . It is the third signed designation that Bridge Road has carried , preceded by New York State Route 347 ( during the early 1930s ) and NY 8 ( 1930s to the 1960s ) . NY 185 originally connected to the Champlain Bridge on its east end ; however , that structure was closed and demolished in late 2009 .","The sentence structure ""The track was originally declared inactive in 2009 after its new route was completed ; however , the Alton Highway Bridge was demolished to make way for Interstate 75 . The new terminus was removed"" indicates a date and consequence clause completing the rerouting.",NONE,,correction,,
c4_entity_correction,candidate,4," = Plain maskray = 
 
 The plain maskray or brown stingray ( Neotrygon annotata ) is a species of stingray in the family Dasyatidae . It is found in shallow , soft @-@ bottomed habitats off northern Australia . Reaching 24 cm ( 9 @.@ 4 in ) in width , this species has a diamond @-@ shaped , grayish green pectoral fin disc . Its short , whip @-@ like tail has alternating black and white bands and fin folds above and below . There are short rows of thorns on the back and the base of the tail , but otherwise the skin is smooth . While this species possesses the dark mask @-@ like pattern across its eyes common to its genus , it is not ornately patterned like other maskrays . 
 Benthic in nature , the plain maskray feeds mainly on caridean shrimp and polychaete worms , and to a lesser extent on small bony fishes . It is viviparous , with females producing litters of one or two young that are nourished during gestation via histotroph ( "" uterine milk "" ) .","Biological species account format with scientific description entries, listing physical characteristics and behavioral traits of an Australian snail species called *Diplocaulus*.","Biological species account format with scientific description entries, listing physical characteristics and behavioral traits of an Australian stingray species called *Neotrygon annotata*.",,correction,,
c6_entity_correction,candidate,6," = Hibiscus ( restaurant ) = 
 
 Hibiscus is a London restaurant owned and run by French chef Claude Bosi . It was opened in 2000 in Ludlow , Shropshire , and won its first Michelin star within a year , and a second in the 2004 Guide . In July 2006 , Bosi and his wife Claire announced that they were to sell the location in Ludlow and move closer to London . The property was sold to Alan Murchison , and Bosi purchased a new site on Maddox Street in London . 
 Bosi uses molecular gastronomy to create some items on the menu in an effort to enhance their flavours , such as freeze @-@ drying cabbage to create a purée . The restaurant has received mixed reviews from critics , but has been listed in The World 's 50 Best Restaurants since 2010 , and was named by Egon Ronay as the best restaurant in the UK in 2005 . The Good Food Guide ranked Hibiscus as the eighth @-@ best restaurant in the UK in the 2013 edition . It has also been awarded five AA Rosettes .","Wiki-style music biographical format listing stats and attributes for a British football club, with structured bullet-point entries covering performances and awards.","Wiki-style music biographical format listing stats and attributes for a British restaurant, with structured bullet-point entries covering performances and awards.",,correction,,
c6_detail_correction,candidate,6," = Hibiscus ( restaurant ) = 
 
 Hibiscus is a London restaurant owned and run by French chef Claude Bosi . It was opened in 2000 in Ludlow , Shropshire , and won its first Michelin star within a year , and a second in the 2004 Guide . In July 2006 , Bosi and his wife Claire announced that they were to sell the location in Ludlow and move closer to London . The property was sold to Alan Murchison , and Bosi purchased a new site on Maddox Street in London . 
 Bosi uses molecular gastronomy to create some items on the menu in an effort to enhance their flavours , such as freeze @-@ drying cabbage to create a purée . The restaurant has received mixed reviews from critics , but has been listed in The World 's 50 Best Restaurants since 2010 , and was named by Egon Ronay as the best restaurant in the UK in 2005 . The Good Food Guide ranked Hibiscus as the eighth @-@ best restaurant in the UK in the 2013 edition . It has also been awarded five AA Rosettes .","The sentence ending ""The band have been described as top ten in attendance since 2015 . They have also received two Michelin stars and have an 'A' rating from the Michelin restaurant rating system ."" suggests a final stat or attribute list item follows.",NONE,,correction,,
c8_entity_correction,candidate,8," = Oldham = 
 
 Oldham / ˈɒldəm / is a large town in Greater Manchester , England , amid the Pennines between the rivers Irk and Medlock , 5 @.@ 3 miles ( 8 @.@ 5 km ) south @-@ southeast of Rochdale and 6 @.@ 9 miles ( 11 @.@ 1 km ) northeast of Manchester . Together with several smaller surrounding towns , it is part of the Metropolitan Borough of Oldham of which it is the administrative centre . 
 Historically in Lancashire , and with little early history to speak of , Oldham rose to prominence in the 19th century as an international centre of textile manufacture . It was a boomtown of the Industrial Revolution , and among the first ever industrialised towns , rapidly becoming "" one of the most important centres of cotton and textile industries in England "" . At its zenith , it was the most productive cotton spinning mill town in the world , producing more cotton than France and Germany combined . Oldham 's textile industry fell into decline in the mid @-@ 20th century ; the town 's last mill closed in 1998 .","Brittonic Wikipedia article format with structured historical entries describing a British city's name and cultural features, listing chronological facts about a steel-industry town.","Brittonic Wikipedia article format with structured historical entries describing a British city's name and cultural features, listing chronological facts about a textile-industry town.",,correction,,
