idx,claim_no,sentence_no,row,overlap,tie,mapped,type,truth,claim_text,content_words,n_content_words
0,1,1,1,3,False,True,entity,true,Indian seller / website,indian seller website,3
0,2,1,1,3,False,True,theme,true,machinery product seller website,machinery product seller website,4
0,3,1,1,2,True,True,detail,unsupported,steel product seller,steel product seller,3
0,4,1,1,4,False,True,detail,unsupported,multiple product listing images,multiple product listing images,4
0,5,1,1,3,False,True,theme,true,text blocks of product listings,text blocks product listings,4
0,6,1,1,6,False,True,theme,true,mixing product details and contact info,mixing product details contact info,5
0,7,2,2,8,False,True,detail,false,contains the phrase 'price list for cement block machine',contains phrase price list cement block machine,7
0,8,2,2,2,False,True,entity,false,'in bangalore',bangalore,1
0,9,2,2,7,False,True,theme,true,query / listing format with 'price list' entries,query listing format price list entries,6
0,10,2,2,3,False,True,detail,true,'product parts' entries,product parts entries,3
0,11,2,2,4,False,True,detail,false,'steel mill machinery' entries,steel mill machinery entries,4
0,12,2,2,7,False,True,theme,true,likely a query or contact listing format,likely query contact listing format,5
0,13,3,3,3,False,True,forecast,true,final token is 'for',final token,2
0,14,3,3,4,False,True,forecast,true,ends an incomplete phrase,ends incomplete phrase,3
0,15,2,2,3,True,True,detail,false,preceding text reads 'price list price list price for',preceding text reads price list,5
0,16,3,3,6,False,True,detail,unsupported,part of a third listing item,part third listing item,4
0,17,3,3,10,False,True,forecast,unsupported,expects a noun phrase like 'cement block plant' / 'old machinery parts',expects noun phrase cement block plant machinery parts,8
1,1,1,11,4,False,True,theme,true,British military history account,british military history account,4
1,2,3,13,2,False,True,entity,false,the subject is Captain Agnew,subject captain agnew,3
1,3,1,11,3,True,True,detail,true,account of a captain's career,account captain's career,3
1,4,1,11,2,False,True,theme,true,biographical narrative,biographical narrative,2
1,5,1,11,2,False,True,theme,true,detailing postings,detailing postings,2
1,6,1,11,3,False,True,detail,true,service during WWI,service,1
1,7,2,12,4,False,True,detail,true,career continued with a captaincy,career continued captaincy,3
1,8,2,12,7,False,True,entity,false,he was posted to the Royal Marines,posted royal marines,3
1,9,2,12,3,False,True,detail,unsupported,promoted to Major,promoted major,2
1,10,2,12,7,False,True,theme,true,lists career promotions with dates and details,lists career promotions dates details,5
1,11,2,12,8,False,True,theme,true,sequence of military rank progression and service history,sequence military rank progression service history,6
1,12,3,13,4,False,True,forecast,true,final token is 'Promoted',final token promoted,3
1,13,3,13,4,False,True,forecast,true,final token is mid-sentence,final token mid-sentence,3
1,14,3,13,2,False,True,detail,false,'Promoted' immediately follows another 'Promoted' (mid-list 'Promoted... Promoted'),promoted immediately follows another mid-list,5
1,15,3,13,6,False,True,theme,true,part of a sequence of career promotions,part sequence career promotions,4
1,16,3,13,8,False,True,forecast,unsupported,expects 'Lieutenant Colonel in 1915' / 'Major General in April 1916',expects lieutenant colonel 1915 major general april 1916,8
2,1,1,21,1,False,True,entity,unsupported,British,british,1
2,2,1,21,3,False,True,detail,false,adventure sports photographer,adventure sports photographer,3
2,3,1,21,2,False,True,theme,true,eco-conservation focus,eco-conservation focus,2
2,4,1,21,4,False,True,theme,true,listing her outdoor experiences,listing outdoor experiences,3
2,5,1,21,2,False,True,theme,true,listing qualifications,listing qualifications,2
2,6,1,21,6,False,True,entity,false,for the UK Wildlife Conservation event,wildlife conservation event,3
2,7,2,22,3,False,True,entity,false,the subject is Sara,subject sara,2
