stim_idx,doc_idx,pos,split,token_str,token_type,seq_len,entropy_nats,top1_prob,top1_id,top1_str,top5_str,top5_prob,next_actual_id,next_actual_str,next_actual_prob,next_actual_rank,top1_matches_actual,error
0,391,437,pilot,fall,word_piece,512,2.2600488662719727,0.2630232870578766,3143, near,"["" near"", "" in"", "" over"", "" along"", "" on""]","[0.26302, 0.18077, 0.14079, 0.14079, 0.10964]",389, on,0.10964442789554596,5,False,
1,358,269,pilot, of,word_initial,512,0.016440482810139656,0.9977473616600037,9700, schedule,"["" schedule"", "" the"", "" its"", "" sched"", ""schedule""]","[0.99775, 0.00218, 2e-05, 2e-05, 1e-05]",9700, schedule,0.9977473616600037,1,True,
2,601,168,pilot,ym,word_piece,512,4.562889575958252,0.12965352833271027,292,ic,"[""ic"", ""ops"", ""io"", ""ich"", ""osc""]","[0.12965, 0.09486, 0.07864, 0.04481, 0.03715]",3721,ops,0.09485654532909393,2,False,
3,452,53,pilot,ats,word_piece,512,0.0004315572732593864,0.9999643564224243,4554,ka,"[""ka"", ""ke"", ""ка"", ""k"", ""ki""]","[0.99996, 2e-05, 1e-05, 0.0, 0.0]",4554,ka,0.9999643564224243,1,True,
4,354,102,pilot, plot,word_initial,512,1.5777641534805298,0.5676732659339905,78376, revolves,"["" revolves"", "" of"", "" is"", "" follows"", "" centers""]","[0.56767, 0.14353, 0.11178, 0.0678, 0.01942]",78376, revolves,0.5676732659339905,1,True,
5,147,338,pilot, Up,word_initial,512,1.0472400188446045,0.6507105231285095,279, the,"["" the"", "" The"", "" Your"", "" Where"", "" Re""]","[0.65071, 0.27126, 0.03043, 0.0112, 0.00928]",279, the,0.6507105231285095,1,True,
6,553,265,pilot, Atlantic,word_initial,512,0.6736147999763489,0.649621307849884,311, to,"["" to"", "" Ocean"", "" coast"", "" seab"", "" through""]","[0.64962, 0.34772, 0.00046, 0.00032, 0.00022]",311, to,0.649621307849884,1,True,
7,293,497,pilot, practices,word_initial,512,1.4981670379638672,0.4929230809211731,448, with,"["" with"", "" ."", "" in"", "" to"", "" (""]","[0.49292, 0.33878, 0.04046, 0.02166, 0.02166]",311, to,0.02165752649307251,4,False,
8,42,329,pilot, those,word_initial,512,0.0505593940615654,0.9944583177566528,315, of,"["" of"", "" from"", "" belonging"", "" primarily"", "" ,""]","[0.99446, 0.00218, 0.00091, 0.00026, 0.00018]",315, of,0.9944583177566528,1,True,
9,229,293,pilot," ,",punctuation,512,0.08214955031871796,0.9840564727783203,220, ,"["" "", "" or"", ""1"", "" respectively"", ""or""]","[0.98406, 0.01591, 2e-05, 0.0, 0.0]",220, ,0.9840564727783203,1,True,
10,74,153,pilot,on,word_piece,512,2.0102651119232178,0.5152744650840759,572, was,"["" was"", "" is"", "" Island"", "" has"", "" '""]","[0.51527, 0.16729, 0.06154, 0.06154, 0.03733]",364, ',0.03732636198401451,5,False,
11,399,348,pilot, and,word_initial,512,2.725916624069214,0.2919479310512543,304, in,"["" in"", "" was"", "" internationally"", "" gross"", "" received""]","[0.29195, 0.17708, 0.08364, 0.07382, 0.06514]",3949, received,0.06514239311218262,5,False,
12,457,211,pilot, and,word_initial,512,3.95900559425354,0.19003772735595703,46113, theat,"["" theat"", "" book"", "" hotels"", "" in"", "" other""]","[0.19004, 0.08977, 0.07922, 0.06991, 0.0617]",90135, tavern,0.0451379120349884,6,False,
13,117,290,pilot,1,word_piece,512,0.3701225519180298,0.9318063259124756,11,",","["","", "" ,"", ""1"", ""5"", ""2""]","[0.93181, 0.02814, 0.01173, 0.00914, 0.00628]",569, @,2.386625510553131e-06,16,False,
14,472,395,pilot, the,word_initial,512,2.158792495727539,0.482130765914917,4752, building,"["" building"", "" Assembly"", "" Bath"", "" assembly"", "" complex""]","[0.48213, 0.12976, 0.11452, 0.06525, 0.04485]",4752, building,0.482130765914917,1,True,
15,454,435,pilot, way,word_initial,512,0.9287801384925842,0.7803570628166199,315, of,"["" of"", "" \"""", "" to"", "" that"", "" for""]","[0.78036, 0.11967, 0.03885, 0.01261, 0.01261]",315, of,0.7803570628166199,1,True,
16,167,60,pilot," ,",punctuation,512,1.9025710821151733,0.4528270363807678,16893, communications,"["" communications"", "" communication"", "" economic"", "" economics"", "" culture""]","[0.45283, 0.31122, 0.03717, 0.03717, 0.02254]",10535, communication,0.31122317910194397,2,False,
17,100,26,pilot, ap,word_initial,512,0.007332025561481714,0.9992210865020752,68648,ocalyptic,"[""ocalyptic"", ""oc"", ""ocal"", ""ocaly"", ""olo""]","[0.99922, 0.00055, 7e-05, 5e-05, 5e-05]",68648,ocalyptic,0.9992210865020752,1,True,
18,353,55,pilot, as,word_initial,512,0.9795437455177307,0.6917588710784912,315, of,"["" of"", "" part"", "" well"", "" a"", "" managed""]","[0.69176, 0.22458, 0.03444, 0.02089, 0.00598]",949, part,0.22458121180534363,2,False,
19,592,254,pilot, support,word_initial,512,3.5610437393188477,0.2699418067932129,572, was,"["" was"", "" among"", "" in"", "" from"", "" for""]","[0.26994, 0.12751, 0.07734, 0.04691, 0.0414]",42478, slipped,0.0007122732931748033,87,False,
20,270,216,pilot," ,",punctuation,512,2.0040857791900635,0.573467493057251,1532, New,"["" New"", "" Vermont"", "" where"", "" but"", "" while""]","[0.57347, 0.12021, 0.05334, 0.04154, 0.03666]",1393, while,0.03666054829955101,5,False,
21,459,18,pilot, ,punctuation,512,0.01130974106490612,0.9987207055091858,16,1,"[""1"", "" "", ""2"", "" ____"", ""8""]","[0.99872, 0.00063, 0.00059, 1e-05, 1e-05]",16,1,0.9987207055091858,1,True,
22,536,20,pilot, Baltimore,word_initial,512,2.6546504497528076,0.2423190027475357,284, =,"["" ="", "" ("", "" was"", ""\n\n"", ""\n""]","[0.24232, 0.16654, 0.14697, 0.07867, 0.0739]",320, (,0.16654324531555176,2,False,
23,83,276,pilot, heavy,word_initial,512,2.0269291400909424,0.4743763506412506,16362, guns,"["" guns"", "" cannon"", "" cannons"", "" sw"", "" artillery""]","[0.47438, 0.17451, 0.13591, 0.04412, 0.03033]",16362, guns,0.4743763506412506,1,True,
24,524,143,pilot, the,word_initial,512,0.34721681475639343,0.9585904479026794,1879, world,"["" world"", "" city"", "" future"", "" people"", "" modern""]","[0.95859, 0.00732, 0.00688, 0.00238, 0.00223]",1879, world,0.9585904479026794,1,True,
25,18,394,pilot, was,word_initial,512,2.9643795490264893,0.3092239201068878,264, a,"["" a"", "" the"", "" "", "" drafted"", "" also""]","[0.30922, 0.11376, 0.07818, 0.069, 0.06089]",6509, considered,0.0018387122545391321,30,False,
26,134,244,pilot, between,word_initial,512,2.4979560375213623,0.2783614993095398,279, the,"["" the"", "" Mega"", "" Bass"", "" playing"", "" either""]","[0.27836, 0.149, 0.13149, 0.11604, 0.07492]",2987, either,0.07491996884346008,5,False,
27,265,415,pilot, IOC,word_initial,512,0.08435391634702682,0.9838617444038391,9164, Session,"["" Session"", "" session"", "" General"", "" sessions"", "" Sessions""]","[0.98386, 0.0159, 9e-05, 2e-05, 2e-05]",9164, Session,0.9838617444038391,1,True,
28,109,204,pilot,ess,word_piece,512,0.009710153564810753,0.9991324543952942,315, of,"["" of"", "" and"", "" "", "" ,"", "" de""]","[0.99913, 0.00022, 0.00011, 8e-05, 7e-05]",315, of,0.9991324543952942,1,True,
29,111,487,pilot, mi,word_initial,512,0.0005905817379243672,0.9999544620513916,873, ),"["" )"", "")"", "" ;"", "" @"", "" ))""]","[0.99995, 2e-05, 0.0, 0.0, 0.0]",873, ),0.9999544620513916,1,True,
