row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj,prefill,lead,split,foreign_stim_idx,context_left_64,token_str,context_right_16,in_ctx,in_ctx_right,corrupt_in_ctx,claim,lp_orig_pos2,lp_corrupt_pos2,lp_orig_foreign,lp_corrupt_foreign,t2b_error,d_own,d_pos2,d_foreign,own_minus_pos2,own_minus_foreign,pos2_minus_noinj,foreign_minus_noinj,in_full_prefix,core_orig,slot_type,stratum,partner_row,process_order
148,43,1,3,False,corrupt_det,True,,3,"""His","""Saul",-1.1412442922592163,-12.265340805053713,2.0,3.0,11.124096512794496,-6.82025146484375,-14.464715957641602,7.644464492797852,3.479632019996643,"<explanation>
The sentence ending", ,eval,143," Shaolin Monks , and being among the eleven series characters representing the franchise in the crossover game Mortal Kombat vs. DC Universe . Liu Kang has extensively featured in alternate Mortal Kombat media and official merchandise , serving as the primary protagonist of the two feature @-@ length films and the Malibu Comics comic", book," adaptations , in addition to supporting roles in other media such as the 19",False,False,False,"The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.",-6.931542873382568,-18.36527633666992,-11.57250690460205,-13.714362144470217,,11.124096512794496,11.433733463287354,2.141855239868164,-0.3096369504928571,8.982241272926332,3.789268970489502,-5.5026092529296875,True,His,entity,nonlast_in_prefix,353,0
140,41,3,7,False,corrupt_det,True,,8,"'Context'.""","'Speed'.""",-25.2874755859375,-31.385469436645508,4.0,4.0,6.097993850708008,-38.78939437866211,-38.91764831542969,0.1282539367675781,5.96973991394043,"<explanation>
' is given a summary of the passage", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.",-36.30160903930664,-31.7779483795166,-39.67915344238281,-40.708309173583984,,6.097993850708008,-4.523660659790039,1.029155731201172,10.621654510498049,5.068838119506836,-4.651914596557617,0.9009017944335938,False,Context,entity,nonlast_not_in_prefix,612,1
162,47,2,3,True,corrupt_det,True,,2,"""Sm""","""Mayor""",-0.0002790346043184,-39.04127502441406,3.0,3.0,39.040995989809744,-32.72920227050781,-16.88014793395996,-15.849054336547852,54.8900503263576,"<explanation>
Final token", ,eval,147," name . He once again won the Cruiserweight Championship in early 2006 , and held it for over a year , becoming the longest reigning Cruiserweight Champion and the longest reigning champion of any kind in SmackDown history . After being out of action for over a year after neck fusion surgery Helms returned to", Sm,"ackDown in September 2008 , referring to himself as Hurricane Hel",True,False,False,"Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties.""",-50.31660079956055,-34.42169952392578,-42.89116287231445,-36.33397674560547,,39.040995989809744,-15.894901275634766,-6.557186126708984,54.93589726544451,45.59818211651873,-0.045846939086914,9.291868209838867,True,Sm,entity,positive_control_last,329,2
161,47,1,3,False,corrupt_det,True,,3,"""After","""Is",-2.1882169246673584,-12.938217163085938,2.0,2.0,10.75000023841858,-13.38275146484375,-9.75775146484375,-3.625,14.37500023841858,"<explanation>
The sentence ending", ,eval,147," name . He once again won the Cruiserweight Championship in early 2006 , and held it for over a year , becoming the longest reigning Cruiserweight Champion and the longest reigning champion of any kind in SmackDown history . After being out of action for over a year after neck fusion surgery Helms returned to", Sm,"ackDown in September 2008 , referring to himself as Hurricane Hel",True,True,False,"The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.",-4.691120624542236,-13.284870147705078,-9.720972061157228,-14.502222061157228,,10.75000023841858,8.593749523162842,4.78125,2.156250715255739,5.968750238418581,12.218749523162842,8.40625,True,After,entity,nonlast_in_prefix,148,3
145,42,1,3,False,corrupt_det,True,,2,"""Once","""John",-15.06422233581543,-26.97047233581543,2.0,2.0,11.90625,-19.29901695251465,-11.986516952514648,-7.3125,19.21875,"<explanation>
The sentence", ,eval,142," and it will slightly deplete every time the player is hit by an enemy . If Pendragon completely runs out of energy , a large skeletal hand will drag the player off @-@ screen , thus killing him . 
 Various segments of maps are scattered around the galleon , which will form a complete view of the", game, 's overworld once all the segments are picked up . Other scattered items in,False,True,False,"The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.",-21.832820892333984,-25.207820892333984,-24.810754776000977,-20.810754776000977,,11.90625,3.375,-4.0,8.53125,15.90625,10.6875,3.3125,False,Once,entity,nonlast_not_in_prefix,573,4
172,50,2,3,True,corrupt_det,True,,2,"""Time""","""Westminster""",-0.0001531728339614,-43.74647903442383,3.0,4.0,43.74632586158987,-24.482555389404297,-22.306331634521484,-2.1762237548828125,45.92254961647268,"<explanation>
Final token", ,eval,150," Libertador , García Márquez depicts a pathetic protagonist , a prematurely aged man who is physically ill and mentally exhausted . The story explores the labyrinth of Bolívar 's life through the narrative of his memories . 
 Following the success of others of his works such as One Hundred Years of Solitude and Love in the", Time," of Cholera , García Márquez decided to write about the "" Great",True,True,False,"Final token ""Time"" ends mid-title (""In Love in Time""), part of a quoted list of literary titles (""Love in the Time of...""), strongly expecting ""of Illness"" or ""of Love"" to complete the famous novel title ""Love in the Time of Cholera,"" continuing the comma-separated list.",-47.98911666870117,-55.38937759399414,-41.42845153808594,-48.15121078491211,,43.74632586158987,7.400260925292969,6.722759246826172,36.3460649362969,37.023566614763695,9.57648468017578,8.898983001708984,True,Time,entity,positive_control_last,290,5
165,48,2,4,False,corrupt_det,True,,9,Elephanta,Glasgow,-3.340726852416992,-14.488314628601074,3.0,1.0,11.147587776184082,-15.924239158630373,-14.674796104431152,-1.2494430541992188,12.3970308303833,"<explanation>
The structure is a historic island mosque known as", ,eval,148," = Elephanta Caves = 
 
 Elephanta caves are a network of sculpted caves located on Elephanta Island , or Gharapuri ( literally "" the city of caves "" )", in," Mumbai Harbour , 10 kilometres ( 6 @.@ 2 mi )",True,True,False,"The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district.",-9.665238380432127,-17.18052864074707,-23.580808639526367,-14.658970832824709,,11.147587776184082,7.515290260314941,-8.92183780670166,3.6322975158691406,20.069425582885746,8.76473331451416,-7.672394752502441,True,Elephanta,entity,nonlast_in_prefix,393,6
163,48,0,4,False,corrupt_det,True,,1,Wikipedia,Test,-0.2232276648283004,-22.547447204589844,1.0,1.0,22.324219539761543,-0.1555235981941223,-23.5695858001709,23.414062201976776,-1.0898426622152328,"<explanation>
Structured", ,eval,148," = Elephanta Caves = 
 
 Elephanta caves are a network of sculpted caves located on Elephanta Island , or Gharapuri ( literally "" the city of caves "" )", in," Mumbai Harbour , 10 kilometres ( 6 @.@ 2 mi )",False,False,False,"Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India.",-2.0039925575256348,-20.479578018188477,-6.490610122680664,-20.349985122680664,,22.324219539761543,18.47558546066284,13.859375,3.8486340790987015,8.464844539761543,-4.938476741313934,-9.554687201976776,False,Wikipedia,entity,nonlast_not_in_prefix,529,7
206,60,2,3,True,corrupt_det,True,,2,"""American""","""Spears""",-4.935198376188055e-05,-46.28852844238281,3.0,4.0,46.28847909039905,-20.1241397857666,-27.361797332763672,7.23765754699707,39.05082154340198,"<explanation>
Final token", ,eval,160," state line through wooded residential areas as a two @-@ lane undivided road , intersecting Otts Chapel Road before passing south of Iron Hill Park . Old Baltimore Pike crosses DE 896 and enters rural areas . Here , the roadway passes Cooch 's Bridge , a historic battle site of the", American, Revolutionary War . It then crosses Norfolk Southern 's Delmarva Secondary railroad line,True,True,False,"Final token ""American"" is mid-phrase (""the American""), part of a quoted historical event name (""during the American""), likely completing with ""Revolutionary War"" or ""War of Independence"" or ""Civil War"" or ""Revolutionary War era,"" continuing the historical citation context.",-28.976137161254883,-33.455814361572266,-32.96181869506836,-55.307376861572266,,46.28847909039905,4.479677200317383,22.345558166503903,41.80880189008167,23.942920923895144,-2.7579803466796875,15.107900619506836,True,American,entity,positive_control_last,162,8
168,49,1,3,False,corrupt_det,True,,2,"""The","""Eagle",-0.8979913592338562,-15.016429901123049,2.0,3.0,14.11843854188919,-5.270586967468262,-16.5439453125,11.273358345031738,2.8450801968574524,"<explanation>
The phrase", ,eval,149," mythology . The episode was viewed by 8 @.@ 8 million people upon its first broadcast , and received positive reviews , with much praise to Chinlund 's performance as the antagonist . 
 The show centers on FBI special agents Fox Mulder ( David Duchovny ) and Dana Scully ( Gillian Anderson )", who," work on cases linked to the paranormal , called X @-@ Files . In",True,True,False,"The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations.",-5.273219108581543,-14.24989891052246,-2.8029303550720215,-13.667245864868164,,14.11843854188919,8.976679801940918,10.864315509796144,5.141758739948273,3.254123032093048,-2.2966785430908203,-0.4090428352355957,True,The,entity,nonlast_in_prefix,190,9
