stim_idx,doc_idx,pos,pos2,token_str,context_left_64,context_right_16,seq_len,doc_tokens
0,391,437,331,fall," 29 , while situated south of Wilmington . Several hours later , the storm emerged over the Chesapeake Bay moving northeast at about 30 mph ( 48 km / h ) . Brenda crossed the Delmarva Peninsula and rapidly tracked into southern New Jersey . The storm crossed the state and eventually made another land"," on Long Island before making yet another landfall in coastal Connecticut . 
 At around",512,1175
1,358,269,149, of," a large concrete structure had never been built before , and some of the techniques were unproven . The torrid summer weather and lack of facilities near the site also presented difficulties . Nevertheless , Six Companies turned over the dam to the federal government on March 1 , 1936 , more than two years ahead"," schedule . 
 Hoover Dam impounds Lake Mead , the largest reservoir in the",512,10376
2,601,168,36,ym," @.@ 9 in ) , and resembles a small European or American lobster ; it was previously included in the same genus , Homarus , although it is not very closely related to those species , and is now considered to form a separate , monotypic genus – Homarinus . Its closest relatives are the genera Th","ops and Thymopides . 
 
 = = Distribution and ecology = = 
 
",512,1059
3,452,53,24,ats," = June 1941 uprising in eastern Herzegovina = 
 
 In June 1941 , Serbs in eastern Herzegovina rebelled against the authorities of the Independent State of Croatia ( Croatian : Nezavisna Država Hrv","ka , NDH ) , an Axis puppet state established during World War II on",512,8875
4,354,102,419, plot," . The film was produced by Jagannadh and Manjula Ghattamaneni by their respective production companies Vaishno Academy and Indira Productions . The film stars Mahesh Babu and Ileana D 'Cruz ; Prakash Raj , Nassar and Sayaji Shinde appear in prominent roles . The"," revolves around the life of an undercover police officer , Krishna Manohar , who",512,5129
5,147,338,468, Up," Faithfully . The production of the album , her last to date , was a collaboration with artists and producers such as Men of Vizion 's Spanky Williams , Keith Thomas , and Eliot Kennedy . It also featured contributions from her children . In 2011 , Rebbie embarked on the "" Pick"," the Phone Tour , "" which is dedicated to teens who have committed suicide all over",512,3107
6,553,265,316, Atlantic," herds that once roamed through the Great Plains . The first Europeans encountered the river in the late seventeenth century , and the region passed through Spanish and French hands before finally becoming part of the United States through the Louisiana Purchase . The Missouri was long believed to be part of the Northwest Passage – a water route from the", to the Pacific – but when Lewis and Clark became the first to travel the river,512,15480
7,293,497,377, practices,"ca that have been used in Paganism and Pagan studies since circa 1980 . The first developed in England during the 1960s . Broad and inclusive , it covers most , if not all , forms of modern Pagan Witchcraft , especially if they share sufficient theological beliefs and ritual"," to be considered denominations within a common religious movement . In contrast ,",512,4006
8,42,329,285, those," sub @-@ rectangular earthen tumulus enclosed by kerb @-@ stones . Within the eastern end of the tumulus was a stone chamber , into which human remains were deposited on at least two separate occasions during the Early Neolithic . Osteoarchaeological analysis of these remains has shown them to be"," of at least seventeen individuals , a mixture of men , women , children and adults",512,8495
9,229,293,479," ,"," Originally developed as a multi @-@ purpose riding , driving and light draft horse , today it is used mainly for trail riding and working cattle . 
 
 = = Breed characteristics = = 
 
 Rocky Mountain Horses stand between 14 @.@ 2 and 16 hands ( 58 and 64 inches", 147 and 163 cm ) high . Any solid color,512,1594
