stim_idx,doc_idx,n_claims,cos_z,cos_z_joined,cost_snippet_in_z_s2,cost_prev_in_z_s2,snippet_n_words,snippet_is_final_token_claim,z_rot,z_rev,z_rot_minus_snippet,z_rot_minus_newlast,z_rev_minus_snippet,error,cos_z_rot,cos_z_rev,cos_z_rot_minus_snippet,cos_z_rot_minus_newlast,cos_z_rev_minus_snippet,cost_snippet_in_z_rot,cost_snippet_in_z_rev,cost_newlast_in_z_rot,cost_snippet_in_z_joined,diff_rot_minus_z,diff_rot_minus_zjoined,diff_rev_minus_z,diff_newlast_minus_prev
40,598,4,0.8764560881634189,0.8783395079079805,0.0602716473950506,0.0003195361163506,43,True,"Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data. Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element.","Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element. The sentence ""The atomic mass and other physical properties of europium are given below. Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics.","Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element.","Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data. Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below.","The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element. The sentence ""The atomic mass and other physical properties of europium are given below. Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics.",,0.7745419029277179,0.7692147897723004,0.8161844407683683,0.7621979054789386,0.672639216211264,-0.04164253784065042,0.09657557356103641,0.012343997448779231,0.062155067139612274,-0.10191418523570102,-0.10379760498026269,0.03630392616598581,0.012024461332428632
41,351,7,0.8451522502372644,0.7969128731028461,0.066967282266298,0.0562928942495734,29,False,"And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause. Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ...","And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause. "" closes a phrase (""The text : It was a narrative about ... Final token ""fact ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Its context is about ... The phrase ""The sentence 'It is a chemical process about United States . Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ...","And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause. Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact",""" closes a phrase (""The text : It was a narrative about ... Final token ""fact ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Its context is about ... The phrase ""The sentence 'It is a chemical process about United States . Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.",,0.7837151706470518,0.7667903767297741,0.7781849679709664,0.7571019861356728,0.7666559466159223,0.005530202676085394,0.00013443011385183556,0.02661318451137895,0.01872790513187972,-0.06143707959021261,-0.013197702455794325,-0.06683285215244616,-0.02967970973819445
42,377,3,0.9022261455224688,0.9014924920975323,0.2244448330830177,0.0110684591346821,41,True,"Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression."" British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.","Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression."" The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements.","British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.","Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression."" British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements.","The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements.",,0.8479303265560649,0.8582810006500219,0.677781312439451,0.8687448368713993,0.6883849621759317,0.17014901411661398,0.16989603847409018,-0.020814510315334322,0.2237111796580814,-0.0542958189664037,-0.05356216554146742,-0.0545487946089275,-0.031882969450016424
43,512,3,0.8973881994501998,0.896097097059039,0.0688306179075799,0.0063908515327398,41,True,"Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series."" Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.","Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series."" The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history.","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.","Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series."" Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history.","The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history.",,0.8719651102084189,0.8762977681468284,0.8285575815426198,0.862837255544643,0.8520215455969087,0.04340752866579911,0.02427622254991968,0.00912785466377597,0.06753951551641912,-0.025423089241780786,-0.024131986850620013,-0.04455439535766022,0.0027370031310361698
44,554,3,0.8839904725358461,0.8826682698749275,0.0755124016312238,0.0268958775185521,48,True,"Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper."" Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location.","Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper."" The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location. Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions.","Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location.","Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper."" Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions.","The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location. Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions.",,0.8786578806810224,0.8729257991225129,0.8084780709046222,0.8581750533328546,0.8042587240769581,0.07017980977640015,0.0686670750455548,0.020482827348167754,0.07419019897030532,-0.005332591854823654,-0.004010389193905173,-0.006845326585668998,-0.0064130501703843455
45,202,3,0.8848661629056508,0.88442210846756,0.0880014270636586,0.0374364633935269,33,True,"Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings."" Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance.","Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings."" The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance. Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits.","Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance.","Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings."" Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits.","The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance. Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits.",,0.8704512379412153,0.8601178065909054,0.7968647358419921,0.8086691742955722,0.7914630414043377,0.07358650209922313,0.06865476518656777,0.06178206364564309,0.08755737262556784,-0.014414924964435472,-0.013970870526344714,-0.01934666187709083,0.02434560025211619
46,493,4,0.9126302376390062,0.9145832276829357,0.2147196341002142,0.0038763131940477,37,True,"Final token ""pioneer"" ends mid-phrase (""a American pioneer""), part of a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), strongly expecting continuation like ""farmer"" or ""and businessman"" or ""of Honolulu"" or ""who converted to Mormonism."" Historical/biographical article format with academic tone describing a Hawaiian pioneer woman's family history, listing details about a female politician's life and a mysterious murder. The phrase ""Her father was a Hawaiian missionary named James A. Wilcox, a American pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail.","Final token ""pioneer"" ends mid-phrase (""a American pioneer""), part of a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), strongly expecting continuation like ""farmer"" or ""and businessman"" or ""of Honolulu"" or ""who converted to Mormonism."" Wilcox, a American pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail. The phrase ""Her father was a Hawaiian missionary named James A. Historical/biographical article format with academic tone describing a Hawaiian pioneer woman's family history, listing details about a female politician's life and a mysterious murder.","Historical/biographical article format with academic tone describing a Hawaiian pioneer woman's family history, listing details about a female politician's life and a mysterious murder. The phrase ""Her father was a Hawaiian missionary named James A. Wilcox, a American pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail.","Final token ""pioneer"" ends mid-phrase (""a American pioneer""), part of a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), strongly expecting continuation like ""farmer"" or ""and businessman"" or ""of Honolulu"" or ""who converted to Mormonism."" Historical/biographical article format with academic tone describing a Hawaiian pioneer woman's family history, listing details about a female politician's life and a mysterious murder. The phrase ""Her father was a Hawaiian missionary named James A.","Wilcox, a American pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail. The phrase ""Her father was a Hawaiian missionary named James A. Historical/biographical article format with academic tone describing a Hawaiian pioneer woman's family history, listing details about a female politician's life and a mysterious murder.",,0.8849206553355266,0.8762213423279637,0.697910603538792,0.8762915348607782,0.5438635816522355,0.18701005179673458,0.3323577606757282,0.008629120474748397,0.21667262414414368,-0.027709582303479613,-0.0296625723474091,0.11763812657551401,0.0047528072807006974
47,436,3,0.8929812449451633,0.8931650416796295,0.0265316217098141,0.0126020703450902,44,True,"Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties."" Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena. The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.","Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties."" The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract. Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena.","Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena. The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.","Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties."" Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena.","The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract. Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena.",,0.8815447865816368,0.8791296682998715,0.8664496232353491,0.8483113879578201,0.8268438263003578,0.015095163346287688,0.052285841999513694,0.03323339862381669,0.02671541844428038,-0.011436458363526414,-0.011620255097992693,0.025754220289699592,0.02063132827872649
48,32,4,0.8996911309373561,0.9005737687308702,0.0863263589212971,0.0035257977622851,39,True,"Final token ""in"" ends an incomplete prepositional phrase (""a historic island called Elephanta Caves in""), part of a definition clause describing the location's attributes, expecting ""Mumbai, India"" or ""the Thane district of India"" or ""the Indian state of Mumbai."" Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India. The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district.","Final token ""in"" ends an incomplete prepositional phrase (""a historic island called Elephanta Caves in""), part of a definition clause describing the location's attributes, expecting ""Mumbai, India"" or ""the Thane district of India"" or ""the Indian state of Mumbai."" The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India. Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India.","Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India. The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district.","Final token ""in"" ends an incomplete prepositional phrase (""a historic island called Elephanta Caves in""), part of a definition clause describing the location's attributes, expecting ""Mumbai, India"" or ""the Thane district of India"" or ""the Indian state of Mumbai."" Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India.","The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India. Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India.",,0.8934039457985883,0.8902834338467845,0.813364772016059,0.8844014915826958,0.6822062259253108,0.08003917378252934,0.20807720792147377,0.00900245421589252,0.0872089967148113,-0.006287185138767762,-0.007169822932281966,0.12175084900017667,0.005476656453607419
49,606,3,0.8391334933586021,0.8350255624249207,0.1078948879999477,0.0398405608867193,44,True,"Final token ""who"" ends an incomplete clause (""two FBI agents Fox Mulder and Dana Scully who""), part of a definition/description sentence structure, immediately expecting a verb phrase like ""investigate mysterious cases"" or ""are partners in investigating paranormal phenomena"" or ""work together to solve mysteries."" Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of TV show details about a fictional detective series. The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations.","Final token ""who"" ends an incomplete clause (""two FBI agents Fox Mulder and Dana Scully who""), part of a definition/description sentence structure, immediately expecting a verb phrase like ""investigate mysterious cases"" or ""are partners in investigating paranormal phenomena"" or ""work together to solve mysteries."" The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations. Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of TV show details about a fictional detective series.","Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of TV show details about a fictional detective series. The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations.","Final token ""who"" ends an incomplete clause (""two FBI agents Fox Mulder and Dana Scully who""), part of a definition/description sentence structure, immediately expecting a verb phrase like ""investigate mysterious cases"" or ""are partners in investigating paranormal phenomena"" or ""work together to solve mysteries."" Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of TV show details about a fictional detective series.","The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations. Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of TV show details about a fictional detective series.",,0.8362383978779724,0.8445338069754902,0.7312386053586544,0.7939016199514396,0.7329229623416842,0.10499979251931801,0.111610844633806,0.04233677792653279,0.10378695706626628,-0.002895095480629689,0.0012128354530517305,0.0037159566338582917,0.002496217039813488
