stim_idx,doc_idx,split,topic_true,heading_found,foreign_stim_idx,topic_foreign,foreign_doc_idx,topic_in_default_explanation
0,391,pilot,Tropical Storm Brenda ( 1960 ),True,100,Politics of Croatia,379,False
1,358,pilot,Hoover Dam,True,101,DuMont Television Network,538,False
2,601,pilot,Cape lobster,True,102,Sarnia,75,False
3,452,pilot,June 1941 uprising in eastern Herzegovina,True,103,Why Does It Hurt So Bad,95,False
4,354,pilot,Pokiri,True,104,Martin Keamy,469,False
5,147,pilot,Rebbie Jackson,True,105,New Year 's Eve ( Up All Night ),99,False
6,553,pilot,Missouri River,True,106,Brandon Minor,381,False
7,293,pilot,Etymology of Wicca,True,107,The Archaeology of Ritual and Magic,280,False
8,42,pilot,Coldrum Long Barrow,True,108,Dangerously in Love Tour,91,False
9,229,pilot,Rocky Mountain Horse,True,109,M @-@ 5 ( Michigan highway ),303,False
10,74,pilot,"Galveston , Texas",True,110,Protein,160,False
11,399,pilot,G.I. Joe : Retaliation,True,111,2013 – 14 York City F.C. season,55,False
12,457,pilot,"Strand , London",True,112,2 / 4th Machine Gun Battalion ( Australia ),591,False
13,117,pilot,USS Breese ( DD @-@ 122 ),True,113,Hadji Ali,52,False
14,472,pilot,Bath Assembly Rooms,True,114,Christmas 1994 nor 'easter,47,False
15,454,pilot,Odyssey Number Five,True,115,Clocks ( song ),415,False
16,167,pilot,Harold Innis,True,116,Trials and Tribble @-@ ations,212,False
17,100,pilot,World War Z,True,117,Marauders ( Star Trek : Enterprise ),221,False
18,353,pilot,Boise National Forest,True,118,Sang Pencerah,567,False
19,592,pilot,"Richard Nixon presidential campaign , 1968",True,119,Mogadishu,296,False
20,270,pilot,Battle of Hubbardton,True,120,Chapter 1 ( House of Cards ),393,False
21,459,pilot,Dave Sisler,True,121,The Stolen Eagle,373,False
22,536,pilot,"George Calvert , 1st Baron Baltimore",True,122,History of Braathens SAFE ( 1946 – 93 ),281,False
23,83,pilot,Hemmema,True,123,Loverboy ( Mariah Carey song ),517,False
24,524,pilot,Far Away Places ( Mad Men ),True,124,Stefan Wever,419,False
25,18,pilot,John Cullen,True,125,Corpus Christi Bay,465,False
26,134,pilot,Mega Man & Bass,True,126,1998 National League Wild Card tie @-@ breaker game,464,False
27,265,pilot,Rio de Janeiro bid for the 2016 Summer Olympics,True,127,The Good Terrorist,557,False
28,109,pilot,The Importance of Being Earnest,True,128,Arikamedu,331,False
29,111,pilot,HMS Boreas ( H77 ),True,129,"West Hendford Cricket Ground , Yeovil",98,False
30,126,pilot,St Nazaire Raid,True,130,Johnson – Corey – Chaykovsky reaction,26,False
31,442,pilot,Ouw Peh Tjoa,True,131,Hydnellum peckii,435,False
32,545,pilot,Principe Amedeo @-@ class ironclad,True,132,The One I Love ( manga ),426,False
33,168,pilot,Hurricane Lorenzo ( 2007 ),True,133,Otra Nota,223,False
34,152,pilot,Weather buoy,True,134,"Papal conclave , 1769",97,False
35,228,pilot,HMS Hostile ( H55 ),True,135,Devin Townsend,33,False
36,64,pilot,"Saint Leonard Catholic Church ( Madison , Nebraska )",True,136,Hurricane Omar ( 2008 ),96,False
37,171,pilot,First Battle of Maryang San,True,137,"Waterfall Gully , South Australia",540,False
38,244,pilot,"No result , Pts",True,138,Laurence Olivier,384,False
39,51,pilot,Grammy Award for Best Concept Music Video,True,139,Corythosaurus,579,False
40,598,eval,Europium,True,140,The Litigators,315,True
41,351,eval,Species ( film ),True,141,Sclerodermatineae,317,False
42,377,eval,Blackwyche,True,142,Norman Finkelstein,77,False
43,512,eval,Liu Kang,True,143,Frederick Reines,105,False
44,554,eval,Monty Can 't Buy Me Love,True,144,Mycena galericulata,216,False
45,202,eval,Truth in Numbers ?,True,145,Tropical Storm Abby ( 1964 ),359,False
46,493,eval,Henry Hoʻolulu Pitman,True,146,Perry the Platypus,623,False
47,436,eval,Gregory Helms,True,147,Battle of Merville Gun Battery,289,False
48,32,eval,Elephanta Caves,True,148,Road to the North Pole,475,True
49,606,eval,Irresistible ( The X @-@ Files ),True,149,M @-@ 108 ( Michigan highway ),376,False
50,611,eval,The General in His Labyrinth,True,150,T30 Howitzer Motor Carriage,530,False
51,571,eval,Subtropical Storm Alpha ( 1972 ),True,151,Richard Cresswell,346,False
52,154,eval,766th Independent Infantry Regiment ( North Korea ),True,152,Ulysses ( poem ),172,False
53,575,eval,M @-@ 47 ( Michigan highway ),True,153,Wilhelm Busch,617,False
54,316,eval,Stanley Green,True,154,Xenon,348,False
55,395,eval,2007 Hawaii Bowl,True,155,1986 Peach Bowl,184,False
56,214,eval,Andrew Johnston ( singer ),True,156,President Evil,458,False
57,309,eval,Jane 's Attack Squadron,True,157,Yo @-@ Yo ( Nicola Roberts song ),501,False
58,107,eval,Rachel Green,True,158,SMS Zrínyi,23,False
59,437,eval,New York State Route 38,True,159,Sweet Love ( Chris Brown song ),490,False
60,133,eval,Old Baltimore Pike,True,160,Development of Fez,603,False
61,330,eval,"Baltimore mayoral election , 1999",True,161,Species of Allosaurus,58,False
62,215,eval,Illinois ( Sufjan Stevens album ),True,162,My Boo ( Usher and Alicia Keys song ),264,False
63,311,eval,NoitulovE,True,163,Jin – Song Wars,529,False
64,431,eval,Simon de Montfort 's Parliament,True,164,Mitsuyo Maeda,486,False
65,505,eval,Cater 2 U,True,165,Leanne Del Toso,85,False
66,487,eval,Kitsune,True,166,Directed acyclic graph,498,False
67,24,eval,Geopyxis carbonaria,True,167,Adams River ( British Columbia ),424,False
68,248,eval,Texas A & M Singing Cadets,True,168,Stop ! ! Hibari @-@ kun !,205,False
69,595,eval,Georgian scripts,True,169,Kedok Ketawa,263,False
70,329,eval,God 's Choice,True,170,Gerard ( archbishop of York ),282,False
71,513,eval,Inocybe praetervisa,True,171,South of Heaven,21,False
72,238,eval,"No result , Pts",True,172,Blackburn Firecrest,448,False
73,104,eval,First @-@ move advantage in chess,True,173,Tropical Storm Olaf ( 1997 ),474,False
74,115,eval,Lost Horizons ( Lemon Jelly album ),True,174,Sister Wives,155,False
75,129,eval,2010 Haiti earthquake,True,175,Ireland,125,False
76,622,eval,Star,True,176,James Robert Baker,429,True
77,169,eval,Cadmium,True,177,Rob Howard,273,False
78,87,eval,Vitamin D ( Glee ),True,178,"The Fox , the Wolf and the Husbandman",61,False
79,60,eval,Paul Thomas Anderson,True,179,Boy @-@ Scoutz ' n the Hood,382,False
80,528,eval,Le souper de Beaucaire,True,180,M @-@ 122 ( Michigan highway ),122,False
81,149,eval,AIL Storm,True,181,Diamond stingray,535,False
82,207,eval,Fieldfare,True,182,E. W. Hornung,362,False
83,497,eval,2nd Battalion 9th Marines,True,183,Yamaha NS @-@ 10,81,False
84,69,eval,Central Area Command ( RAAF ),True,184,Florida State Road 878,140,False
85,173,eval,The Food Album,True,185,Qedarite,226,False
86,425,eval,Independence Day ( India ),True,186,Kyra ( Charmed ),461,False
87,413,eval,Project Chanology,True,187,Corn crake,70,False
88,537,eval,Draining and development of the Everglades,True,188,Battle of Binh Gia,451,False
89,272,eval,Banksia violacea,True,189,Somerset County Cricket Club in 2009,230,False
90,549,eval,10 @.@ 6 ° compared to 7 ° for Mercury and 17 ° for Pluto ) and moderately eccentric ( e,True,190,Erving Goffman,504,False
91,219,eval,Gertrude Barrows Bennett,True,191,West End Girls,45,False
