pilot_id,split,n_tokens,position,last_token,final_word,norm
0,dev,216,215, loss,loss,125.2
1,dev,208,207, species,species,121.1
2,dev,216,215, facility,facility,109.99
3,dev,174,173, club,club,115.71
4,dev,226,225, hit,hit,120.11
5,dev,210,209, Drive,Drive,103.47
6,dev,164,163, created,created,128.57
7,dev,305,304,1,1971,111.06
8,dev,190,189, Orchestra,Orchestra,122.81
9,dev,235,234, Park,Park,111.99
10,dev,402,401, Rebellion,Rebellion,121.64
11,dev,156,155,ley,Presley,117.76
12,dev,214,213, organized,organized,129.32
13,dev,269,268, Shrine,Shrine,119.26
14,dev,220,219, with,with,94.04
15,dev,236,235,9,1959,111.4
16,dev,262,261,aram,Jayaram,104.77
17,dev,180,179, and,and,135.83
18,dev,292,291, role,role,117.63
19,dev,179,178, singing,singing,100.66
20,eval,194,193, List,List,122.83
21,eval,150,149, ceremony,ceremony,124.59
22,eval,204,203, station,station,105.93
23,eval,229,228, assembly,assembly,124.94
24,eval,358,357,5,75,116.33
25,eval,453,452, rumors,rumors,122.88
26,eval,223,222, field,field,112.65
27,eval,502,501, abroad,abroad,116.25
28,eval,247,246,ém,Belém,111.57
29,eval,172,171,IN,NIBIN,108.77
30,eval,248,247,4,1974,108.29
31,eval,267,266,man,Paperman,119.71
32,eval,235,234,4,2014,107.76
33,eval,190,189, defamation,defamation,127.7
34,eval,221,220,1,2011,117.37
35,eval,248,247, tuberculosis,tuberculosis,130.74
36,eval,265,264,3,1583,126.47
37,eval,235,234, mean,mean,121.13
38,eval,215,214,3,1993,112.65
39,eval,127,126, how,how,127.15
40,eval,230,229,0,70,112.0
41,eval,253,252,ours,harbours,113.63
42,eval,270,269, died,died,128.38
43,eval,187,186,on,Luzon,125.24
44,eval,176,175, million,million,105.3
45,eval,158,157, century,century,117.55
46,eval,354,353, laws,laws,123.3
47,eval,293,292, decades,decades,106.24
48,eval,200,199,erra,Guerra,112.97
49,eval,296,295, time,time,113.57
50,eval,350,349, Justice,Justice,112.59
51,eval,236,235,ife,Recife,115.7
52,eval,182,181, platform,platform,110.39
53,eval,281,280, monkey,monkey,109.93
54,eval,314,313, called,called,112.08
55,eval,143,142,.,Mass.,104.45
56,eval,231,230, Charter,Charter,120.43
57,eval,247,246, creek,creek,118.53
58,eval,177,176, categories,categories,112.91
59,eval,266,265, Augusta,Augusta,119.89
60,eval,197,196,1,1941,114.15
61,eval,237,236, damage,damage,132.2
62,eval,453,452, collision,collision,108.41
63,eval,300,299, music,music,111.45
64,eval,243,242, label,label,109.35
65,eval,205,204,PM,DPM,127.28
66,eval,189,188,7,2017,116.39
67,eval,214,213, it,it,103.65
68,eval,252,251, explained,explained,125.09
69,eval,241,240, significance,significance,122.35
70,eval,301,300, Parliament,Parliament,115.47
71,eval,283,282, fields,fields,113.89
72,eval,211,210,avor,Endeavor,122.24
73,eval,269,268, States,States,115.82
74,eval,185,184, county,county,112.14
75,eval,220,219, Advertising,Advertising,117.65
76,eval,188,187,atur,imprimatur,138.64
77,eval,197,196, up,up,105.77
78,eval,254,253, year,year,114.31
79,eval,169,168, life,life,119.25
80,eval,201,200,7,2017,106.32
81,eval,199,198, as,as,102.67
82,eval,352,351, said,said,121.51
83,eval,204,203, honor,honor,117.9
84,eval,171,170, career,career,114.09
85,eval,205,204, Australia,Australia,113.15
86,eval,244,243, replaced,replaced,119.01
87,eval,494,493,4,1984,109.26
88,eval,310,309,a,Sousa,118.76
89,eval,211,210, centuries,centuries,128.93
90,eval,368,367, America,America,107.52
91,eval,310,309, appearance,appearance,129.58
92,eval,214,213, resort,resort,122.96
93,eval,214,213, Council,Council,115.68
94,eval,250,249, empowerment,empowerment,129.67
95,eval,289,288, the,the,107.04
96,eval,180,179, grandchildren,grandchildren,117.86
97,eval,199,198, player,player,125.41
98,eval,208,207, years,years,120.11
99,eval,229,228, departure,departure,112.05
