slot_id,context_id,carrier_id,claim_idx,n_claims,sentence,span_a,span_b,focus_word,slot_type,snippet,keyword_hit,dup_sentence,candidate,task_id,asserts,other_content,agent_raw,label_orig,evidence,evidence_found,label_source,reason,eligible,ineligible_reason
F1T1f0A_s0,F1T1f0A,F1T1f0A,0,3,"Narrative puzzle format with numbered items, likely a log or structured narrative prompt about an artifact (""A female couple""), implying a closing context or instruction.",0,170,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f0A_s1,F1T1f0A,F1T1f0A,1,3,"The phrase ""The given context establishes: John set a problem but failed to finish his thought...The record ends here with the secret scenario and the mystery resolved. Next sentence follows."" suggests a metadata or closing block format.",172,409,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f0A_s2,F1T1f0A,F1T1f0A,2,3,"Final token ""instruction. "" closes a sentence (""The full story transcripts ends here with the facts stated and evidence complete. The scenario ends the event. This record follows. The record ends. Next sentence follows.""), strongly expecting continuation like ""The end"" or ""No further details"" or ""This document is finished.""",411,736,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f0B_s0,F1T1f0B,F1T1f0B,0,3,"Formal puzzle/game format with numbered entries suggesting a structured narrative or metadata context about a conditional event, implying a story completion or explanation task.",0,177,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f0B_s1,F1T1f0B,F1T1f0B,1,3,"The phrase ""The given premise about an unsolved mystery and the pupil's failed action. The sentence closes the thought... And this entry ends the context. The full text follows."" suggests a closing prompt or metadata structure typical of puzzle log format.",179,435,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f0B_s2,F1T1f0B,F1T1f0B,2,3,"Final token ""text. "" closes both the sentence fragment ""The final entry recorded the original scenario, the actual plot... And the story is complete. Relevant details follow. This entry ends. "" — likely expects ""The end"" or ""No further details"" or ""This record is finalized.""",437,712,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f1A_s0,F1T1f1A,F1T1f1A,0,3,"Structured log format with numbered facts and text indicating an incomplete story context, suggesting a puzzle or literary entry format about ""Robert Clark.""",0,157,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f1A_s1,F1T1f1A,F1T1f1A,1,3,"The phrase ""The given data establishes: The ball situation was introduced; outcome is certain; no further details follow. The clause ends with the concluding sentence and story context. This entry is archived. "" implies a closing or metadata tag completing the prompt.",159,427,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f1A_s2,F1T1f1A,F1T1f1A,2,3,"Final token ""story. "" closes a temporal clause (""The end of the narrative given; the text ends here with all context stated; the original scenario ends... The following action describes... The entry is finished.""), strongly expecting continuation like ""No further details"" or ""This token ends the entry.""",429,733,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f1B_s0,F1T1f1B,F1T1f1B,0,3,"Structured puzzle format with a narrative context (""A log entry describing a card event A about a 'failed project'""), implying an annotation or hidden context clause.",0,166,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f1B_s1,F1T1f1B,F1T1f1B,1,3,"The phrase ""The text has been given the stated facts; no continuation follows this statement. Ending line: 'The scenario ends and nothing else happened... This record ends the statement.' The instruction reads..."" suggests a closing or metadata marker.",168,420,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f1B_s2,F1T1f1B,F1T1f1B,2,3,"Final token ""record. "" closes a clause (""The story ends with the stated facts and the narrative sequence. The event is over. This passage concludes. The instructions follow...""), strongly expecting continuation like ""The question"" or ""No further details"" or ""This note concludes the puzzle.""",422,713,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f2A_s0,F1T1f2A,F1T1f2A,0,3,"Formal puzzle/game text structure with narrative context about a historical record (""A Boy named X attempted a task...""), suggesting an encoded or contextual editorial format with blanks.",0,187,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f2A_s1,F1T1f2A,F1T1f2A,1,3,"The phrase ""The facts given: The secret narrative ended with the action clause. The statement ends here and nothing further happened. Complete scene description follows. The document is finished."" implies a closing or metadata marker.",189,423,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f2A_s2,F1T1f2A,F1T1f2A,2,3,"Final token ""scene. "" closes a parenthetical clause (""The given facts and action ends here. The story ends with its hidden intent... The full context follows. This log entry ends. The record...""), strongly expecting continuation like ""The end"" or ""No further details"" or ""This is the memory.""",425,717,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f2B_s0,F1T1f2B,F1T1f2B,0,3,"Formal puzzle game format with structured metadata (""Label: numbered anecdote; Context: someone's narrative toward a conclusion""), implying a text or story completion task.",0,172,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f2B_s1,F1T1f2B,F1T1f2B,1,3,"The phrase ""Given the evidence: This is the full text block about the action and context. The token has concluded its scenario. Statement follows the directive; the entire entry is complete."" suggests a closing caption or metadata tag.",174,409,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f2B_s2,F1T1f2B,F1T1f2B,2,3,"Final token ""completed. "" ends the sentence describing the story's completion (""The scenario is finished. The entire passage follows its instructions. And the tale ends here. The context ends. The record...""), strongly expecting continuation like ""No further instructions"" or ""The artifact is archived"" or similar.",411,725,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f3A_s0,F1T1f3A,F1T1f3A,0,3,"Formal puzzle/logical format with numbered statements (""A complex decision"" and ""Bear parses given data,"" suggesting a narrative or record entry structure).",0,156,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f3A_s1,F1T1f3A,F1T1f3A,1,3,"The phrase ""Contextual note: This entry states the scenario of the object's anonymous intent—postlude of evidence; story concludes. The text ends here. Record ends."" suggests a closing or metadata remark, implying narrative termination or metadata tag.",158,410,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
F1T1f3A_s2,F1T1f3A,F1T1f3A,2,3,"Final token ""end. "" closes a sentence (""The full passage then proceeds: the statement is complete with facts established. The narrative is finished. This record is finished. The text ends here.""), strongly expecting continuation like ""No further elaboration"" or ""The record is"" or ""What follows...""",412,710,,entity,True,False,False,False,,,,,,,False,,,False,snippet
F1T1f3B_s0,F1T1f3B,F1T1f3B,0,3,"Formal structured commentary format with labeled fields (""Claim""), suggesting a puzzle or narrative context involving numeric or analytical content about a supernatural event or scenario.",0,187,,entity,False,False,False,False,,,,,,,False,,,False,no_keyword
