row,stim_idx,doc_idx,pos,split,claim_idx,n_claims,n_words,cos_z,Δcos,cos_alone,claim,Δcos_randspan_1,randspan_1_start,Δcos_randspan_2,randspan_2_start,Δcos_randspan_3,randspan_3_start,Δcos_shuffle_words
0,0,391,437,pilot,0,3,23,0.9037843794874333,-0.008838522146270233,0.44329377342487025,"Weather report format with detailed storm track data listing sequential landfall events for Hurricane Florence, structured with numbered periods and storm intensity details.",-0.011153247197846605,16,-0.008204536834351295,41,-0.06752606506642156,67,-0.00304405907683436
1,0,391,437,pilot,1,3,37,0.9037843794874333,-0.012299661692916075,0.7351816728582786,"The final sentence ""The fourth storm surge moved inland along the Florida Panhandle, with a second landfall occurring near Cape Hatteras"" mirrors earlier landfall descriptions, completing a list of four landfall locations and likely a final one.",-0.15933363847400217,59,-0.07349469039596623,40,-0.1060255421763514,54,-0.008229392592944085
2,0,391,437,pilot,2,3,42,0.9037843794874333,-0.15983229195506143,0.8679431215255662,"Final token ""landfall"" ends an incomplete clause (""made a second landfall""), part of a final event sequence listing multiple landfall points (""The system also made a second landfall...""), expecting ""in the Gulf Coast near"" or ""on the eastern coast around 11:00 PM.""",-0.13222164655445912,36,-0.020406055753801833,23,-0.15289928956087173,47,-0.20045414487646607
3,1,358,269,pilot,0,3,21,0.8197721761736144,-0.10337061848533635,0.24542017302952038,"Encyclopedic article format with historical narrative describing a tunnel construction project, following Wikipedia-style structure with technical details about the Brooklyn Bridge.",-0.003537194047323,24,0.0014793323130836145,15,-0.005873854859833938,48,0.0023268812043263365
4,1,358,269,pilot,1,3,37,0.8197721761736144,-0.0034359994740902344,0.6949262537991286,"The sentence ""The workers completed the structure 6 months ahead of schedule, and the project was finished ahead of schedule, five months ahead of"" mirrors a famous quote about schedule, establishing the completion date and deadline context.",-0.017720134974262725,48,-0.10700394576677841,0,-0.03763784929125591,8,-0.017177228034866654
5,1,358,269,pilot,2,3,45,0.8197721761736144,-0.02992832268962764,0.6987814279480106,"Final token ""ahead of"" ends an incomplete phrase (""five months ahead of""), part of a parenthetical clause listing schedule violations (""completed more than 6 months ahead of schedule, five months ahead of""), strongly expecting ""schedule"" or ""schedule"" or ""the scheduled date,"" completing the deadline claim.",-0.02107282310379177,25,-0.07942455201233589,4,-0.029911761784992774,56,-0.03557751865501446
6,2,601,168,pilot,0,3,23,0.9551085174545655,-0.005964501961000623,0.4566760042852578,"Scientific article format with Wikipedia-style species description, listing historical and behavioral characteristics of the American black bear, with a quoted expert source mid-sentence.",-0.004992420592367597,39,-0.007804104422384883,25,-0.0009527044404915586,14,-0.0008034108542883667
7,2,601,168,pilot,1,3,34,0.9551085174545655,-0.008309189034202413,0.8525347756932864,"The phrase ""Some other species, like Thym"" appears to be a scientific term or species name mid-list, likely referencing a specific plant or insect taxonomic term related to the stomach contents or digestive adaptations.",-0.004867404806399245,3,-0.005532421505131113,4,-0.06435717084258552,47,-0.008998441305071103
8,2,601,168,pilot,2,3,42,0.9551085174545655,-0.0793831608709552,0.9306301626973449,"Final token ""Thym"" is a truncated word mid-term (""Thym""), part of a parenthetical scientific name list (""The species Thym""), suggesting continuation with ""ylae"" or ""ylaeformis"" or similar Latin term describing a specific plant or digestive variant, completing the quoted expert's unusual terminology.",-0.012029114102382388,20,-0.0048457232023619845,9,-0.09900268364954534,28,-0.00831081962811031
9,3,452,53,pilot,0,3,19,0.8738534404539006,-0.007879199553879501,0.2235342080254076,"Bulgarian language article format with historical context and image caption structure, presenting a military insignia with quoted historical terms.",-0.12309504703167273,45,-0.011558693837504519,3,-0.09602755432240928,37,-0.008557580943765908
10,3,452,53,pilot,1,3,28,0.8738534404539006,-0.029240252176170545,0.599109270531021,"The quoted term ""Hrvatska Velika Armija"" is mid-sentence describing a Croatian nationalist state name (""Kingdom of Croatia-Slavonia""), directly referencing the Croatian Kingdom's abbreviated name ""Hrvatska Hrvats"" from WWI.",-0.17774058955209804,36,-0.021115745683025655,5,-0.19902573078577157,35,-0.010866226018579339
11,3,452,53,pilot,2,3,33,0.8738534404539006,-0.2688651434428415,0.8399366281175912,"Final token ""Hrvats"" is a truncated word mid-quote (""Kraljevina Hrvatska Hrvats""), part of a parenthetical historical name example, strongly expecting ""ka"" to complete the Croatian language name, likely followed by ""ka"" or ""ka.""",-0.03319666395453402,13,-0.03319666395453402,13,-0.025448858109960226,3,-0.13490804057330252
12,4,354,102,pilot,0,4,19,0.9391552864990333,-0.012669528466218716,0.49145947861168626,"Indian Wikipedia article format with film details listing a Bollywood movie titled ""Kannada"" with actor names and release details.",-0.10063263483099039,55,-0.0540025481919556,22,-0.00783690903215395,10,-0.017593754902506142
13,4,354,102,pilot,1,4,14,0.9391552864990333,-0.010420223818822238,0.5143177158885853,"The phrase ""The 2004 Indian film 'Kannada' is a thriller film directed by S.",-0.008124453236067919,11,-0.04352823507911896,63,-0.004055657961801629,37,-0.026285767044519792
14,4,354,102,pilot,2,4,22,0.9391552864990333,-0.009313521302187322,0.797046558557705,"The plot"" suggests an enumeration or description of story elements or plot details follows, likely continuing about the film's narrative or genre.",-0.018214580005123437,42,-0.02679705331719673,31,-0.018793687965325878,32,-0.01452987394148042
15,4,354,102,pilot,3,4,36,0.9391552864990333,-0.25375382623242204,0.8825216805609736,"Final token ""plot"" is mid-phrase (""The plot""), part of a list of attributes (""The plot""), expecting continuation like ""is based on..."" or ""of the film revolves around..."" or ""and other elements deal with a murder mystery.""",-0.2939214103488349,32,-0.020593956984474637,20,-0.011893737482128075,18,-0.2913904087918159
16,5,147,338,pilot,0,3,21,0.9065484872402003,-0.006011767091819498,0.3680477364634944,"Historical music video compilation format with hip-hop artist credentials listing, featuring retro clips and song titles around Aretha Franklin's iconic status.",-0.04694663287409462,55,-0.0029601210638541264,19,-0.019040234991685168,77,0.004646696416144791
17,5,147,338,pilot,1,3,39,0.9065484872402003,-0.002200362958096669,0.6221110997176976,"The phrase ""And Then There's The Album : Pick Up"" appears to be a song title or lyric reference, likely a culturally-aware joke or album title suggesting a woman's attitude or behavior, continuing a list of songs or quotes.",-0.03238530998285971,68,-0.23542815210384171,63,-0.012121141967041393,28,-0.002903915340038754
18,5,147,338,pilot,2,3,47,0.9065484872402003,-0.2395151097437591,0.9026640623307554,"Final token ""Pick Up"" is mid-title (""Pick Up""), part of a quoted lyric or phrase (""Pick Up""), likely completing a song title like ""Pick Up The Pieces"" or ""The Girl"" or similar slang phrase about a female's reputation or fan behavior, expecting continuation of a comedic list.",-0.2537285367360247,54,-0.01684647303640352,36,-0.009219702727356283,7,-0.18345403248344294
19,6,553,265,pilot,0,4,12,0.8088752239783188,-0.019780853547554766,0.20348058360128995,"Historical article format with structured Wikipedia-style images and captions, detailing a U.S.",-0.018497457722725485,30,-0.015508615341358611,19,-0.004732435873650687,7,0.002443463915319244
20,6,553,265,pilot,1,4,6,0.8088752239783188,0.00042903319885967406,0.17353147509250225,agricultural vessel's construction and historical significance.,0.0030793908893509414,82,-0.0037482614571182626,55,0.009520027149972465,78,0.0033956083414007354
21,6,553,265,pilot,2,4,41,0.8088752239783188,-0.05570103489217548,0.7389068850333066,"The sentence ending ""The theory that the Atlantic"" is mid-quote describing a migration route claim, listing historical origins connecting the Mississippi River to the Atlantic Ocean, with the phrase ""from the Atlantic"" defining a geographic origin for colonial settlers' eastward expansion.",-0.055890806434402585,10,-0.06464713817338952,22,-0.04135152647256124,29,-0.0583114545416733
22,6,553,265,pilot,3,4,42,0.8088752239783188,-0.048988249572409215,0.7271799057148988,"Final token ""Atlantic"" is mid-phrase in a quoted historical definition (""from the Atlantic""), part of a parenthetical clause listing historical origins (""between the Atlantic""), expecting ""Ocean to the Pacific"" or ""Ocean to the Atlantic Ocean"" or ""and the Atlantic to the Gulf.""",-0.026764652117725163,52,-0.06225195569884434,0,-0.06913073105944734,21,-0.292809140756892
