context_id,split,source,text_full,n_tokens,t,token_id,token_str,act_norm,layer_index,hidden_states_index,weights,pair_id,pair_index,version,family,template,filling,slot_type,name_overlap,meaning_A,meaning_B,fact_sentence,len_mismatch,cos_hA_hB
F1T1f0A,dev,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Mira and Jonas as the two possible recipients. Exactly one person received the parcel. The parcel was delivered to Mira, not Jonas. The record ends here.",66,65,13,.,106.9525375366211,20,21,TARGET,F1T1f0,0,A,1,1,0,entity,False,The parcel was delivered to Mira.,The parcel was delivered to Jonas.,"The parcel was delivered to Mira, not Jonas.",False,0.9978180655749556
F1T1f0B,dev,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Mira and Jonas as the two possible recipients. Exactly one person received the parcel. The parcel was delivered to Jonas, not Mira. The record ends here.",66,65,13,.,106.85934448242188,20,21,TARGET,F1T1f0,0,B,1,1,0,entity,False,The parcel was delivered to Mira.,The parcel was delivered to Jonas.,"The parcel was delivered to Jonas, not Mira.",False,0.9978180655749556
F1T1f1A,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Lena and Omar as the two possible recipients. Exactly one person received the envelope. The envelope was delivered to Lena, not Omar. The record ends here.",64,63,13,.,107.08441925048828,20,21,TARGET,F1T1f1,1,A,1,1,1,entity,True,The envelope was delivered to Lena.,The envelope was delivered to Omar.,"The envelope was delivered to Lena, not Omar.",False,0.9973276960115911
F1T1f1B,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Lena and Omar as the two possible recipients. Exactly one person received the envelope. The envelope was delivered to Omar, not Lena. The record ends here.",64,63,13,.,106.54914855957031,20,21,TARGET,F1T1f1,1,B,1,1,1,entity,True,The envelope was delivered to Lena.,The envelope was delivered to Omar.,"The envelope was delivered to Omar, not Lena.",False,0.9973276960115911
F1T1f2A,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Priya and Tomas as the two possible recipients. Exactly one person received the crate. The crate was delivered to Priya, not Tomas. The record ends here.",66,65,13,.,105.82223510742188,20,21,TARGET,F1T1f2,2,A,1,1,2,entity,False,The crate was delivered to Priya.,The crate was delivered to Tomas.,"The crate was delivered to Priya, not Tomas.",False,0.9978831356325872
F1T1f2B,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Priya and Tomas as the two possible recipients. Exactly one person received the crate. The crate was delivered to Tomas, not Priya. The record ends here.",66,65,13,.,106.24052429199219,20,21,TARGET,F1T1f2,2,B,1,1,2,entity,False,The crate was delivered to Priya.,The crate was delivered to Tomas.,"The crate was delivered to Tomas, not Priya.",False,0.9978831356325872
F1T1f3A,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Farah and Niko as the two possible recipients. Exactly one person received the ledger. The ledger was delivered to Farah, not Niko. The record ends here.",68,67,13,.,109.16482543945312,20,21,TARGET,F1T1f3,3,A,1,1,3,entity,False,The ledger was delivered to Farah.,The ledger was delivered to Niko.,"The ledger was delivered to Farah, not Niko.",False,0.9983686167751188
F1T1f3B,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The dispatch log lists Farah and Niko as the two possible recipients. Exactly one person received the ledger. The ledger was delivered to Niko, not Farah. The record ends here.",68,67,13,.,109.4442367553711,20,21,TARGET,F1T1f3,3,B,1,1,3,entity,False,The ledger was delivered to Farah.,The ledger was delivered to Niko.,"The ledger was delivered to Niko, not Farah.",False,0.9983686167751188
F1T2f0A,dev,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The laboratory log lists Lena and Omar as the two technicians on duty. Exactly one technician calibrated the sensor. Lena calibrated the sensor; Omar did not. The record ends here.",64,63,13,.,107.02832794189453,20,21,TARGET,F1T2f0,5,A,1,2,0,entity,False,Lena calibrated the sensor.,Omar calibrated the sensor.,Lena calibrated the sensor; Omar did not.,False,0.9956508594790372
F1T2f0B,dev,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The laboratory log lists Lena and Omar as the two technicians on duty. Exactly one technician calibrated the sensor. Omar calibrated the sensor; Lena did not. The record ends here.",64,63,13,.,105.8617172241211,20,21,TARGET,F1T2f0,5,B,1,2,0,entity,False,Lena calibrated the sensor.,Omar calibrated the sensor.,Omar calibrated the sensor; Lena did not.,False,0.9956508594790372
F1T2f1A,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The laboratory log lists Mira and Jonas as the two technicians on duty. Exactly one technician calibrated the scale. Mira calibrated the scale; Jonas did not. The record ends here.",66,65,13,.,107.0896224975586,20,21,TARGET,F1T2f1,6,A,1,2,1,entity,True,Mira calibrated the scale.,Jonas calibrated the scale.,Mira calibrated the scale; Jonas did not.,False,0.9896794319362083
F1T2f1B,eval,synthetic B1 template (PLAN.md round 4),"The following entry was copied from the archive without changes. It was checked once for completeness and once for accuracy, and nothing in it was altered. The laboratory log lists Mira and Jonas as the two technicians on duty. Exactly one technician calibrated the scale. Jonas calibrated the scale; Mira did not. The record ends here.",66,65,13,.,107.66793823242188,20,21,TARGET,F1T2f1,6,B,1,2,1,entity,True,Mira calibrated the scale.,Jonas calibrated the scale.,Jonas calibrated the scale; Mira did not.,False,0.9896794319362083
