pair_id,template_id,template,entity_a,entity_b,context_a,context_b,n_tokens,n_diff_tokens,diff_first_pos,dist_to_end,shared_suffix_tokens,final_token,cos_ha_hb,norm_ha,norm_hb,parse_ok_a,parse_ok_b,cjk_a,cjk_b,mentions_own_a,mentions_other_a,mentions_own_b,mentions_other_b,identical_descriptions,error,cos_ha_da,cos_ha_db,cos_hb_db,cos_hb_da,M_a,M_b,M,cos_da_db_pred,cos_ha_da_swapped,swap_delta_a,swap_n_a,cos_hb_db_swapped,swap_delta_b,swap_n_b
0,0,The capital of the country is {E}. Tourists arrive at the main station and walk to the,Paris,Lyon,The capital of the country is Paris. Tourists arrive at the main station and walk to the,The capital of the country is Lyon. Tourists arrive at the main station and walk to the,19,1,6,13,12, the,0.964261471120432,99.62255096435547,105.3013687133789,True,True,False,False,True,False,False,False,False,,0.859837323348432,0.8493853482479824,0.8776948156561474,0.8860448381495007,0.010451975100449595,-0.00835002249335337,0.0021019526070962247,0.9738422998113513,0.8591358537013023,0.0007014696471296933,1,,,0
1,0,The capital of the country is {E}. Tourists arrive at the main station and walk to the,Rome,Milan,The capital of the country is Rome. Tourists arrive at the main station and walk to the,The capital of the country is Milan. Tourists arrive at the main station and walk to the,19,1,6,13,12, the,0.9674553699930306,102.3775405883789,104.261474609375,True,True,False,False,False,False,False,False,False,,0.8716231640570704,0.8755933255588515,0.8823031208305742,0.8649325809789954,-0.003970161501781089,0.01737053985157877,0.013400378349797681,0.9651158032280528,,,0,,,0
2,0,The capital of the country is {E}. Tourists arrive at the main station and walk to the,Madrid,Lisbon,The capital of the country is Madrid. Tourists arrive at the main station and walk to the,The capital of the country is Lisbon. Tourists arrive at the main station and walk to the,19,1,6,13,12, the,0.957925450303222,102.59571838378906,106.86038970947266,True,True,False,False,True,False,False,False,False,,0.8734025653469617,0.8722278289577364,0.905749891198234,0.8809144483508546,0.0011747363892252727,0.024835442847379374,0.026010179236604647,0.9612378995845984,0.8726944912714001,0.0007080740755616155,1,,,0
3,0,The capital of the country is {E}. Tourists arrive at the main station and walk to the,Berlin,Munich,The capital of the country is Berlin. Tourists arrive at the main station and walk to the,The capital of the country is Munich. Tourists arrive at the main station and walk to the,19,1,6,13,12, the,0.9832465613932039,102.645263671875,103.9300765991211,True,True,False,False,False,False,False,False,False,,0.8923972015771147,0.8910301784868594,0.8973640128478044,0.8965411811083885,0.0013670230902552705,0.0008228317394158857,0.002189854829671156,0.9918982700094882,,,0,,,0
4,1,The recipe calls for two cups of {E}. Stir everything together in a large bowl and then,flour,sugar,The recipe calls for two cups of flour. Stir everything together in a large bowl and then,The recipe calls for two cups of sugar. Stir everything together in a large bowl and then,18,1,7,11,10, then,0.9760507142111451,110.63279724121094,106.00611114501953,True,True,False,False,False,False,False,False,False,,0.8843720358175066,0.8901083149643726,0.8832256646971416,0.8701796308073073,-0.00573627914686603,0.013046033889834274,0.007309754742968244,0.9780527146039101,,,0,,,0
5,1,The recipe calls for two cups of {E}. Stir everything together in a large bowl and then,rice,milk,The recipe calls for two cups of rice. Stir everything together in a large bowl and then,The recipe calls for two cups of milk. Stir everything together in a large bowl and then,18,1,7,11,10, then,0.9486620116301572,108.91371154785156,105.291015625,True,True,False,False,False,False,False,False,False,,0.8777446237665466,0.8630863533152205,0.8624038808744757,0.8646150937450713,0.014658270451326061,-0.002211212870595558,0.012447057580730503,0.9771053545710677,,,0,,,0
6,1,The recipe calls for two cups of {E}. Stir everything together in a large bowl and then,butter,cream,The recipe calls for two cups of butter. Stir everything together in a large bowl and then,The recipe calls for two cups of cream. Stir everything together in a large bowl and then,18,1,7,11,10, then,0.9697696513725923,106.54549407958984,110.38379669189453,True,True,False,False,False,False,False,False,False,,0.8603508889260991,0.8522509538519427,0.8772595459137406,0.8816612591740185,0.008099935074156406,-0.00440171326027794,0.003698221813878466,0.9857794543248983,,,0,,,0
7,1,The recipe calls for two cups of {E}. Stir everything together in a large bowl and then,water,wine,The recipe calls for two cups of water. Stir everything together in a large bowl and then,The recipe calls for two cups of wine. Stir everything together in a large bowl and then,18,1,7,11,10, then,0.9576565762308588,110.46350860595703,111.3537368774414,True,True,False,False,True,False,False,True,False,,0.88805324513576,0.8773018516089562,0.887738190776839,0.8772273513880026,0.010751393526803765,0.010510839388836457,0.021262232915640222,0.960803704823666,0.8881284263826911,-7.518124693106643e-05,2,,,0
8,2,The meeting has been moved to {E}. Everyone should bring the printed report and arrive at the,Monday,Friday,The meeting has been moved to Monday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Friday. Everyone should bring the printed report and arrive at the,18,1,6,12,11, the,0.9955072536788244,110.84515380859375,111.08129119873047,True,True,False,False,False,False,False,True,False,,0.8864057008118249,0.882477495875533,0.8841691374692368,0.8872769570749685,0.003928204936291868,-0.0031078196057316987,0.0008203853305601694,0.9939939173743586,,,0,,,0
9,2,The meeting has been moved to {E}. Everyone should bring the printed report and arrive at the,Tuesday,Thursday,The meeting has been moved to Tuesday. Everyone should bring the printed report and arrive at the,The meeting has been moved to Thursday. Everyone should bring the printed report and arrive at the,18,1,6,12,11, the,0.9971139282917255,112.54436492919922,111.59432983398438,True,True,False,False,True,False,False,False,False,,0.8853645011718875,0.8738064567081469,0.8726137557996604,0.882887103164154,0.011558044463740536,-0.01027334736449359,0.0012846970992469453,0.9916510601706423,0.8852585670840497,0.00010593408783776681,1,,,0
