stim_idx,quote,n_words,verbatim,any3gram
0,"The fourth storm surge moved inland along the Florida Panhandle, with a second landfall occurring near Cape Hatteras",18,False,True
0,made a second landfall,4,False,False
0,The system also made a second landfall...,7,False,False
0,in the Gulf Coast near,5,False,False
0,on the eastern coast around 11:00 PM.,8,False,False
1,"The workers completed the structure 6 months ahead of schedule, and the project was finished ahead of schedule, five months ahead of",22,False,False
1,five months ahead of,4,False,False
1,"completed more than 6 months ahead of schedule, five months ahead of",12,False,False
1,"the scheduled date,",3,False,False
2,"Some other species, like Thym",5,False,False
2,The species Thym,3,False,False
3,Hrvatska Velika Armija,3,False,False
3,Kingdom of Croatia-Slavonia,4,False,False
3,Kraljevina Hrvatska Hrvats,3,False,False
4,The 2004 Indian film 'Kannada' is a thriller film directed by S. S. Rajamouli. The plot,16,False,False
4,is based on...,3,False,False
4,of the film revolves around...,5,False,False
4,and other elements deal with a murder mystery.,8,False,False
5,And Then There's The Album : Pick Up,8,False,False
5,Pick Up The Pieces,4,False,False
6,The theory that the Atlantic,5,False,False
6,from the Atlantic,3,True,True
6,from the Atlantic,3,True,True
6,between the Atlantic,3,False,False
6,Ocean to the Pacific,4,False,False
6,Ocean to the Atlantic Ocean,5,False,False
6,and the Atlantic to the Gulf.,6,False,False
7,"Thus, the Anglican tradition is considered a distinct 'high church' denomination that shares common liturgical beliefs and rites and shared liturgical practices",22,False,False
7,those that share similar theological beliefs and liturgical beliefs and rites and shared liturgical practices and,16,False,True
7,with the Anglican tradition,4,False,False
7,that are common,3,False,False
7,to those of the early Church,6,False,False
8,"Analysis of the burial assemblage however suggests that the remains date to the later period, and those identified as human remains are those",23,False,True
8,The evidence indicates that the remains are those,8,False,False
8,of a female,3,False,False
8,of multiple individuals of a non-Christian faith,8,False,False
8,of a deceased adult and infant.,6,False,False
9,"Height : 145 cm (57 inches , ",5,False,False
9,"Height (45 inches , width (feet and inches , ",7,False,False
9,45–55 inches),3,False,False
9,or 150 cm),3,False,False
10,"Galveston is a city in Texas that was founded in 1721, named after Isaac Stewart",15,False,False
10,was established as a port,5,False,False
10,first became a port city during the American Revolution.,9,False,False
11,"The film was released on December 18, 2009 in North America, and was released internationally on December 18, 2009, and",20,False,True
11,"It was released on December 18, 2009, and",8,False,True
11,was a commercial success,4,False,False
11,received a worldwide theatrical release,5,False,False
12,"The area became known for its coffee houses, theatres and hotels, as well as gambling, restaurants and",17,False,False
12,"restaurants, theatres and,",3,False,False
12,other leisure activities.,3,False,False
13,"The USS Indiana (BB-1) was a battleship built for the United States Navy in 1902, armed with",18,False,True
13,"4-class guns,",3,False,False
14,The other activities within the building including the garden and restaurant of the Exchange building,15,False,False
14,The underground complex,3,False,False
14,The rear of the building,5,False,False
14,The basement of the,4,True,True
14,The underground portion of the,5,False,False
14,complex has three floors,4,False,False
14,building houses the chapel and other amenities.,7,False,False
15,I think a lot of the negativity... things in the way,11,False,True
15,things in the way of life,6,False,True
15,The things in the way,5,False,True
15,All the obstacles in the way,6,False,True
15,of people's dreams,4,False,False
15,of the barriers to progress,5,False,False
16,"The American political scientist Halford Mackinder was known for his writings on imperialism , ",13,False,False
16,"his writings on economics , ",4,False,False
16,technology and culture,3,False,False
16,"and ideology, and their influence.",5,False,False
17,A 2005 novel titled The War of the Worlds is an ap,12,False,True
17,A dark apocalyptic novel,4,False,False
17,ocalyptic fiction novel,3,False,False
17,ocalyptic literary work,3,False,False
17,fictional narrative about zombie history.,5,False,False
18,"The Black Hills National Forest is a United States Forest Service unit covering 1,355 sqmi in western South Dakota as",21,False,True
18,"1,355 sqmi in western South Dakota as 5 counties covering the park's area of 1,355 sqmi as",20,False,False
18,a part of the National Forest System,7,False,False
18,of a mapped area,4,False,False
19,"His initial popularity was strong, with Roosevelt's support growing throughout the summer; his support",15,False,False
19,His support... his support,4,False,False
19,"Though his initial numbers were strong, his support",8,False,False
19,extended into the electoral vote,5,False,False
19,included a backlash against depression.,5,False,False
20,"General Scott 's army retreated to Buffalo , New York while the main body of the Union army moved to Rochester , ",20,False,True
20,"moved to Canandaigua , ",3,False,False
20,General Scott's army had moved to Canandaigua and traveled to Buffalo ,12,False,False
20,while the remainder,3,False,False
20,"New York, but was delayed",5,False,False
20,"a safe area, leaving behind.",5,False,False
21,"An American actor born on November 14 , ",7,False,False
21," born Feb. 19,  ",3,False,False
21,"John Thomas Smith, Jr. , born...",5,False,False
22,"John Baltimore, 1st Baron Baltimore",5,False,True
22,"John Baltimore, 1st Baron Baltimore",5,False,True
22,"John Baltimore, 1st Baron Baltimore",5,False,True
22,is a historical figure,4,False,False
22,was born in...,3,False,False
22,is his full name.,4,False,False
23,"The ship was now a heavy armed galleass with improved hull and carrying 16 large guns, but also mounting several heavy",21,False,False
23,equipped with several heavy,4,False,False
23,hand-held weapons,3,False,False
24,"A depressed artist who feels alienated from his wife and colleagues, one character observes strange behaviors about the",18,False,False
24,sometimes sees things about how they see the,8,False,True
24,a disillusioned architect who sees strange views of the,9,False,False
24,world around them,3,False,False
24,world's beauty.,3,False,False
25,"His younger brother, Mike Johnson, also played football at the University of Kentucky, who was",15,False,False
25,"his brother, who was",4,False,False
25,"His older brother Mike Johnson, who was",7,False,False
25,a professional hockey player,4,False,False
25,the family's youngest brother and a prominent athlete,9,False,False
25,drafted into basketball.,3,False,False
26,The game 'Metal Gear Solid: Twin Stick' would alternate through two stages allowing players to choose between,17,False,False
26,players would choose between,4,False,False
26,The game allows the player to choose between,8,False,False
26,the two main characters,4,False,False
26,playing either Solid Snake or Liquid Snake as their protagonist,10,False,False
26,two different control schemes and their abilities.,7,False,False
27,The 125th session of the IOC,6,False,False
27,the 125th IOC,3,False,False
27,at the final 125th IOC,5,False,False
27,"Meeting in Lausanne,",3,False,False
28,of Balfour was accused of...,5,False,False
28,of the Duke's wife was a homosexual.,8,False,False
29,"Its maximum speed was listed as 550 kn (1,020 km/h; 635 mph), with a range of 3,450 mi (5,550 km or 3,28 mi",28,False,True
29,"at average speed (3,28 mi,",6,False,False
30,The Great Escape,3,False,False
30,The Greatest Raid of All,5,False,True
30,The Greatest Raid of,4,True,True
30,The Greatest Raid of All Time,6,False,True
31,The second story has the princess captured and the villain seeks revenge. He hides the baby and the queen becomes ill,21,False,False
31, The goddess finds out her food supply... The,8,False,False
31,woman finally dies,3,False,False
31,kingdom's servants find her and hide her,8,False,False
