stim_idx,final_token_match,n_cands,hit_top1,hit_top5,hit_actual,top1,actual,cands,top5
0,False,2,False,False,True,near,on,"['in', 'on']",['near']
1,False,3,True,True,True,schedule,schedule,"['schedule', 'schedule', 'the']",['schedule']
2,False,0,False,False,False,ic,ops,[],['ic']
3,False,3,True,True,True,ka,ka,"['ka', 'ka', 'ka']",['ka']
4,True,3,False,False,False,revolves,revolves,"['is', 'of', 'and']",['revolves']
5,False,0,False,False,False,the,the,[],['the']
6,True,3,False,False,False,to,to,"['ocean', 'ocean', 'and']",['to']
7,True,3,True,True,True,with,to,"['with', 'that', 'to']",['with']
8,True,0,False,False,False,of,of,[],['of']
9,True,2,False,True,False,,,"['45', 'or']",['or']
10,False,2,True,True,False,was,,"['was', 'first']",['was']
11,True,2,False,False,True,in,received,"['was', 'received']",['in']
12,True,4,False,False,False,theat,tavern,"['social', 'hotel', 'entertainment', 'other']",['theat']
13,True,3,False,False,False,,,"['00', '5', '4']",['1']
14,True,4,True,True,True,building,building,"['building', 'exchange', 'complex', 'building']",['building']
15,True,4,True,True,True,of,of,"['of', 'of', 'of', 'of']",['of']
16,True,5,False,False,False,communications,communication,"['history', 'global', 'technology', 'economic', 'and']",['communications']
17,True,0,False,False,False,ocalyptic,ocalyptic,[],['ocalyptic']
18,True,2,True,True,False,of,part,"['a', 'of']",['of']
19,True,3,True,True,False,was,slipped,"['was', 'extended', 'included']",['was']
20,True,3,True,True,True,new,while,"['while', 'new', 'a']",['new']
21,False,2,False,False,False,1,1,"['1895', '1914']",['1']
22,False,4,False,True,False,,,"['was', 'is', 'was', 'is']",['was']
23,True,4,False,False,False,guns,guns,"['artillery', 'ballistic', 'loaded', 'hand']",['guns']
24,True,3,True,True,True,world,world,"['world', 'world', 'world']",['world']
25,True,3,True,True,False,a,considered,"['a', 'the', 'drafted']",['a']
26,True,3,True,True,False,the,either,"['the', 'playing', 'two']",['the']
27,True,3,True,True,True,session,session,"['session', 'general', 'meeting']",['session']
28,False,3,True,True,True,of,of,"['of', 'of', 'of']",['of']
29,True,0,False,False,False,,,[],[]
30,True,3,True,True,True,all,all,"['all', 'the', 'all']",['all']
31,True,3,False,False,False,snake,priests,"['woman', 'kingdom', 'goddess']",['snake']
32,True,2,True,True,True,useppe,useppe,"['useppe', 'useppe']",['useppe']
33,True,4,False,False,False,mud,landslide,"['fire', 'vehicle', 'icebox', 'food']",['mud']
34,False,0,False,False,False,ys,ys,[],['ys']
35,True,3,True,True,True,1,1,"['1', '1', 'lighter']",['1']
36,False,3,False,True,False,,,"['and', 'who', 'of']",['and']
37,True,2,True,True,True,the,the,"['the', 'the']",['the']
38,False,2,True,True,True,0,0,"['0', '1']",['0']
39,True,2,True,True,True,the,the,"['the', 'it']",['the']
40,False,4,True,True,True,are,are,"['in', 'are', 'include', 'atoms']",['are']
41,False,3,True,True,True,what,the,"['what', 'the', 'this']",['what']
42,True,4,True,True,False,world,,"['world', 'world', 'play', 'overall']",['world']
43,True,3,True,True,False,series,adaptations,"['series', 'series', 'comic']",['series']
44,False,3,True,True,True,the,a,"['the', 'his', 'a']",['the']
45,False,4,False,False,False,1,1,"['08', '09', '9', '10']",['1']
46,True,4,True,True,False,and,sett,"['farmer', 'and', 'of', 'who']",['and']
47,True,2,False,False,False,ack,ack,"['ackdown', 'ackdown']",['ack']
48,True,3,True,True,True,the,mumbai,"['mumbai', 'the', 'the']",['the']
49,True,3,True,True,True,investigate,work,"['investigate', 'are', 'work']",['investigate']
50,True,3,True,True,True,of,of,"['of', 'of', 'love']",['of']
51,False,6,False,False,True,summary,history,"['history', 'parameters', 'track', 'statistics', 'development']",['summary']
52,True,3,True,True,True,was,was,"['was', 'had', 'became']",['was']
53,True,3,True,True,True,state,lower,"['lower', 'state', 'midwestern']",['state']
54,True,3,False,True,False,,writes,"['of', 'was', 'described']",['of']
55,True,3,True,True,True,s,s,"['s', 's', 's']",['s']
56,True,3,True,True,True,s,s,"['s', 's', 's']",['s']
57,True,3,True,True,True,possible,possible,"['possible', 'a', 'present']",['possible']
58,True,0,False,False,False,the,rachel,[],['the']
59,True,3,False,False,False,creek,o,"['lake', 'tributary', 'other']",['creek']
60,True,0,False,False,False,revolutionary,revolutionary,[],['revolutionary']
61,False,2,True,True,True,population,registered,"['population', 'registered']",['population']
62,True,4,False,False,False,b,b,"['bellow', 'kurland', 'wolfe', 'and']",['b']
63,True,3,True,True,False,its,became,"['its', 'reached', 'had']",['its']
64,True,3,True,True,True,in,in,"['in', 'again', 'at']",['in']
65,True,3,False,False,False,,,"['child', 'child', 's']",['f']
66,True,3,True,True,False,the,she,"['the', 'the', 'his']",['the']
67,True,3,False,False,False,8,9,"['s', 'the', 's']",['8']
68,False,4,False,False,False,eland,eland,"['wick', 'wickville', 'eagle', 'eagle']",['eland']
69,True,2,True,True,True,the,the,"['the', 'the']",['the']
70,True,3,False,False,False,illinois,illinois,"['amish', 'american', 'anonymous']",['illinois']
71,True,1,True,True,False,other,i,['other'],['other']
72,True,3,False,False,False,jack,max,"['james', 'david', 'tim']",['jack']
73,True,2,True,True,False,the,some,"['the', 'this']",['the']
74,True,3,False,False,False,critical,largely,"['positive', 'wide', 'a']",['critical']
75,False,3,False,False,False,a,man,"['m', 'm', 'y']",['a']
76,True,0,False,False,False,collapsing,collapsing,[],['collapsing']
77,True,4,True,True,True,and,and,"['and', 'so', 'and', 'and']",['and']
78,True,4,False,False,False,,,"['s', 'the', 'or', 'the']",['n']
79,True,4,False,False,False,p,p,"['da', 'arno', 'aronofsky', 'daf']",['p']
80,True,4,True,True,True,ignon,ignon,"['ignon', 'ille', 'armenti', 'two']",['ignon']
81,True,3,False,False,False,,,"['1', '12', 's']",[]
82,True,2,False,False,False,,,"['in', 'a']",[]
83,True,2,True,True,True,as,as,"['as', 'in']",['as']
84,True,0,False,False,False,south,south,[],['south']
85,True,3,True,True,False,album,record,"['album', 'initial', 'final']",['album']
86,True,2,True,True,True,in,in,"['in', 'as']",['in']
87,True,3,False,False,False,backlash,amount,"['public', 'increase', 'negative']",['backlash']
88,False,2,True,True,False,the,those,"['this', 'the']",['the']
89,True,3,False,False,False,banks,banks,"['orchidoid', 'rounded', 'bulbous']",['banks']
90,True,2,True,True,True,objects,objects,"['companions', 'objects']",['objects']
91,True,0,False,False,False,her,her,[],['her']
92,True,5,False,False,False,output,,"['albums', 'associated', 'career', 'band', 'records']",['output']
93,True,1,False,False,False,in,,['he'],['in']
94,True,4,True,True,True,the,the,"['track', 'the', 'his', 'the']",['the']
95,True,2,True,True,True,first,first,"['first', 'first']",['first']
96,True,3,True,True,True,the,the,"['the', 'the', 'the']",['the']
97,False,2,False,False,True,carter,the,"['the', 'his']",['carter']
98,False,5,False,True,False,,,"['and', 'of', 'of', 'and', 'of']",['of']
99,True,2,False,False,False,springfield,las,"['texas', 'a']",['springfield']
100,True,3,True,True,True,a,a,"['a', 'a', 'a']",['a']
101,True,0,False,False,False,by,even,[],['by']
102,True,3,True,True,False,in,,"['in', 'is', 'comes']",['in']
103,True,3,True,True,False,about,not,"['about', 'this', 'about']",['about']
104,True,3,False,False,True,,who,"['who', 'this', 'the']",['that']
105,True,4,True,True,True,show,program,"['show', 'network', 'thursday', 'program']",['show']
106,True,2,True,True,True,the,the,"['the', 'both']",['the']
107,False,2,False,False,False,5,5,"['44', '52']",['5']
108,True,4,True,True,True,album,solo,"['album', 'solo', 'album', 'commercial']",['album']
109,True,2,True,True,False,for,by,"['for', 'as']",['for']
110,True,3,False,True,False,,,"['or', 'of', 'and']",['and']
111,True,0,False,False,False,,,[],['club']
112,True,2,False,False,False,,battalion,"['depot', '15th']",['battalion']
113,False,2,False,False,False,1,5,"['25', '19th']",['1']
114,True,3,False,False,False,december,december,"['september', 'the', 'september']",['december']
115,True,3,True,True,True,was,was,"['was', 'had', 'was']",['was']
116,True,2,False,False,False,che,en,"['scotty', 'hannibal']",['che']
117,True,0,False,False,False,september,october,[],['september']
118,True,2,True,True,False,meets,studies,"['meets', 'becomes']",['meets']
119,True,4,True,True,True,as,as,"['as', 'as', 'and', 'as']",['as']
120,True,3,True,True,True,to,to,"['to', 'him', 'the']",['to']
121,False,3,False,True,False,,,"['as', 'when', 'as']",['as']
122,False,3,True,True,True,s,s,"['s', 'models', 'aircraft']",['s']
123,True,3,True,True,True,the,the,"['the', 'january', 'north']",['the']
124,False,3,True,True,False,he,we,"['he', 'he', 'he']",['he']
125,True,1,True,True,True,km,km,['km'],['km']
126,False,3,True,True,True,in,for,"['for', 'in', 'on']",['in']
127,False,2,False,False,False,young,squ,"['woman', 'british']",['young']
128,True,3,False,True,False,,,"['and', 'greek', 'and']",['and']
129,True,3,False,True,False,,,"['it', 'a', 'and']",['and']
130,True,0,False,False,False,reaction,attempted,[],['reaction']
131,True,3,False,False,False,sub,species,"['subgroup', 'taxonomic', 'hypothetical']",['sub']
132,False,4,True,True,True,have,have,"['have', 'found', 'of', 'have']",['have']
133,False,3,True,True,False,the,george,"['the', 'the', 'the']",['the']
134,False,2,True,True,True,enza,enza,"['enza', 'enza']",['enza']
135,True,3,False,True,False,,,"['and', 'with', 'is']",['and']
136,True,3,False,False,False,,,"['s', 'or', 'or']",['n']
137,True,2,True,True,False,area,water,"['area', 'entire']",['area']
138,True,2,True,True,True,was,was,"['was', 'is']",['was']
139,False,3,False,False,False,pon,pon,"['ponosaurus', 'ponosaurus', 'titanosaur']",['pon']
140,False,3,True,True,True,th,th,"['th', 'th', 'th']",['th']
141,True,0,False,False,False,dip,s,[],['dip']
142,True,0,False,False,False,warsaw,warsaw,[],['warsaw']
143,True,0,False,False,False,9,9,[],['9']
144,True,3,False,False,False,9,9,"['s', 's', 'the']",['9']
145,False,3,True,True,True,and,one,"['both', 'one', 'and']",['and']
146,True,0,False,False,False,video,,[],['video']
147,True,2,False,False,False,ist,ist,"['istreham', 'istreham']",['ist']
148,True,3,False,False,False,road,road,"['the', 'this', 'the']",['road']
149,True,3,False,False,False,boy,boy,"['boygan', 'manilla', 'man']",['boy']
150,True,3,False,False,False,until,until,"['before', 'to', 'for']",['until']
151,True,0,False,False,False,first,premier,[],['first']
152,True,2,True,True,True,to,to,"['to', 'in']",['to']
153,True,2,False,False,False,,w,"['1825', 'the']",['w']
154,True,3,False,True,False,,,"['extracted', 'the', 'and']",['and']
155,True,3,True,True,True,their,the,"['their', 'the', 'their']",['their']
156,True,1,False,False,False,,,['of'],['n']
157,True,3,True,True,True,those,those,"['whitney', 'those', 'the']",['those']
158,True,0,False,False,False,and,,[],['and']
159,True,2,False,False,False,directed,co,"['shot', 'released']",['directed']
