ctx_id,pair_id,side,text,correct,other,O1,O2,twin_ctx_id,pos,n_tokens,id_correct,id_other,m_native,lp_correct_native,top1_native,norm_h,self_patch_max_abs_dlogit,m_twin_patch,dm_twin,cos_h_twin
0,0,A,"Anna received the key. Tom received the book.
Question: Who received the key?
Answer:",Anna,Tom,key,book,1,18,19,23223,8364,8.875,-0.0267906803637743, Anna,97.79669189453125,0.0,6.625,-2.25,0.9883214522161813
1,0,B,"Tom received the key. Anna received the book.
Question: Who received the key?
Answer:",Tom,Anna,key,book,0,18,19,8364,23223,13.625,-0.004412913229316473, Tom,98.4754409790039,0.0,11.375,-2.25,0.9883214522161813
2,1,A,"Anna received the coin. Tom received the letter.
Question: Who received the coin?
Answer:",Anna,Tom,coin,letter,3,18,19,23223,8364,11.75,-0.017380546778440475, Anna,96.79454040527344,0.0,9.25,-2.5,0.9909450938452483
3,1,B,"Tom received the coin. Anna received the letter.
Question: Who received the coin?
Answer:",Tom,Anna,coin,letter,2,18,19,8364,23223,12.375,-0.011974946595728397, Tom,99.76465606689453,0.0,12.9375,0.5625,0.9909450938452483
4,2,A,"Anna received the cup. Tom received the hat.
Question: Who received the cup?
Answer:",Anna,Tom,cup,hat,5,18,19,23223,8364,12.0625,-0.04363689944148064, Anna,98.42416381835938,0.0,9.625,-2.4375,0.9922138213491359
5,2,B,"Tom received the cup. Anna received the hat.
Question: Who received the cup?
Answer:",Tom,Anna,cup,hat,4,18,19,8364,23223,15.0,-0.03098040446639061, Tom,99.0233383178711,0.0,13.25,-1.75,0.9922138213491359
6,3,A,"Anna received the map. Tom received the pen.
Question: Who received the map?
Answer:",Anna,Tom,map,pen,7,18,19,23223,8364,10.6875,-0.014524796977639198, Anna,97.79834747314453,0.0,10.875,0.1875,0.9930840967844607
7,3,B,"Tom received the map. Anna received the pen.
Question: Who received the map?
Answer:",Tom,Anna,map,pen,6,18,19,8364,23223,11.25,-0.0038681223522871733, Tom,98.13546752929688,0.0,10.5625,-0.6875,0.9930840967844607
8,4,A,"Sara received the key. Ben received the book.
Question: Who received the key?
Answer:",Sara,Ben,key,book,9,19,20,42920,7355,13.625,-0.0023401989601552486, Sara,97.89424133300781,0.0,13.875,0.25,0.9878795739191252
9,4,B,"Ben received the key. Sara received the book.
Question: Who received the key?
Answer:",Ben,Sara,key,book,8,18,19,7355,42920,15.375,-0.004742327146232128, Ben,97.38220977783203,0.0,12.5,-2.875,0.9878795739191252
10,5,A,"Sara received the coin. Ben received the letter.
Question: Who received the coin?
Answer:",Sara,Ben,coin,letter,11,19,20,42920,7355,11.375,-0.004458368290215731, Sara,97.63555145263672,0.0,11.125,-0.25,0.9890720133822823
11,5,B,"Ben received the coin. Sara received the letter.
Question: Who received the coin?
Answer:",Ben,Sara,coin,letter,10,18,19,7355,42920,15.875,-0.002952741924673319, Ben,97.60449981689453,0.0,13.625,-2.25,0.9890720133822823
12,6,A,"Sara received the cup. Ben received the hat.
Question: Who received the cup?
Answer:",Sara,Ben,cup,hat,13,19,20,42920,7355,15.5,-0.0060169510543346405, Sara,98.5401840209961,0.0,12.5,-3.0,0.9872362648443768
13,6,B,"Ben received the cup. Sara received the hat.
Question: Who received the cup?
Answer:",Ben,Sara,cup,hat,12,18,19,7355,42920,11.5,-0.04314880818128586, Ben,97.55941772460938,0.0,12.3125,0.8125,0.9872362648443768
14,7,A,"Sara received the map. Ben received the pen.
Question: Who received the map?
Answer:",Sara,Ben,map,pen,15,19,20,42920,7355,13.9375,-0.0010283663868904114, Sara,98.4658432006836,0.0,14.1875,0.25,0.9912327305353571
15,7,B,"Ben received the map. Sara received the pen.
Question: Who received the map?
Answer:",Ben,Sara,map,pen,14,18,19,7355,42920,13.625,-0.0026473496109247208, Ben,98.95165252685547,0.0,11.9375,-1.6875,0.9912327305353571
