context_id,split,source,doc_idx,text_full,n_tokens,t,token_id,token_str,next_token_str,n_cap_noninitial,layer_index,hidden_states_index,weights,ids,act_norm
0,dev,wikitext-2 train doc 500,500," = Ghost in the Shell ( 1995 film ) = 
 
 Ghost in the Shell , known in Japan as Mobile Armored Riot Police : Ghost In The Shell ( 攻殻機動隊 GHOST IN THE SHELL , Kōkaku Kidōtai Gōsuto In Za Sheru ) , is a 1995 science fiction anime film based on manga of the same title by Masamune Shirow . The film was written by Kazunori Itō , directed by Mamoru Oshii , animated by Production I.G , and starred the voices of Atsuko Tanaka , Akio Ōtsuka , and Iemasa Kayumi . 
 Ghost in the Shell follows the hunt by the public @-@ security agency Section 9 for a mysterious hacker known as the Puppet Master . With the assistance of her team , Motoko Kusanagi tracks and finds their suspect , only to be drawn into a complex sequence of political intrigue and a cover @-@ up as to the identity and goals of the Puppet Master . 
 The overarching philosophical themes of the film include self @-@ identity in a technologically advanced world .",239,238,659, ., The,43,20,21,TARGET,"[284, 25044, 304, 279, 29402, 320, 220, 16, 24, 24, 20, 4531, 873, 284, 31906, 25044, 304, 279, 29402, 1154, 3881, 304, 6323, 438, 13411, 12990, 3018, 64706, 10082, 549, 25044, 758, 576, 29402, 320, 80090, 119, 35049, 119, 100482, 90775, 102754, 479, 28687, 1964, 3168, 53595, 4086, 1154, 730, 55661, 74, 23557, 31566, 55661, 83, 2143, 479, 55661, 82, 1535, 758, 64708, 17092, 84, 873, 1154, 374, 264, 220, 16, 24, 24, 20, 8038, 16989, 22809, 4531, 3118, 389, 34250, 315, 279, 1852, 2265, 553, 19868, 309, 2886, 40704, 651, 659, 576, 4531, 572, 5326, 553, 34974, 359, 13601, 1084, 55661, 1154, 15540, 553, 47769, 65005, 506, 927, 3808, 1154, 11371, 553, 24039, 358, 1224, 1154, 323, 58235, 279, 23314, 315, 2411, 82, 71058, 24548, 13334, 1154, 16358, 815, 25917, 234, 2576, 25196, 1154, 323, 358, 336, 15428, 30145, 24336, 659, 715, 25044, 304, 279, 29402, 11017, 279, 19073, 553, 279, 584, 569, 12, 31, 4763, 9088, 11113, 220, 24, 369, 264, 25382, 54122, 3881, 438, 279, 73880, 10824, 659, 3085, 279, 12994, 315, 1059, 2083, 1154, 18977, 27243, 730, 40212, 36035, 13918, 323, 13719, 862, 15207, 1154, 1172, 311, 387, 14764, 1119, 264, 6351, 8500, 315, 4948, 80513, 323, 264, 3421, 569, 12, 31, 705, 438, 311, 279, 9569, 323, 8845, 315, 279, 73880, 10824, 659, 715, 576, 97436, 40803, 21386, 315, 279, 4531, 2924, 656, 569, 12, 31, 9569, 304, 264, 2799, 29350, 10847, 1879, 659]",110.45230102539062
1,dev,wikitext-2 train doc 121,121," = New York State Route 368 = 
 
 New York State Route 368 ( NY 368 ) was a state highway in Onondaga County , New York , in the United States . It was one of the shortest routes in the county , extending for only 1 @.@ 69 miles ( 2 @.@ 72 km ) between NY 321 and NY 5 in the town of Elbridge . NY 368 was known as Halfway Road for the hamlet it served near its midpoint . The route was assigned in the 1930s and removed in 1980 as part of a highway maintenance swap between the state of New York and Onondaga County . 
 
 = = Route description = = 
 
 NY 368 began at an intersection with NY 321 adjacent to the Carpenter 's Brook Fish Hatchery in the town of Elbridge . The route headed north as Halfway Road , passing by farmland as it headed through a rural area of Onondaga County to the small hamlet of Halfway .",227,226,659, ., Here,33,20,21,TARGET,"[284, 1532, 4261, 3234, 9572, 220, 18, 21, 23, 284, 31906, 1532, 4261, 3234, 9572, 220, 18, 21, 23, 320, 12271, 220, 18, 21, 23, 873, 572, 264, 1584, 26736, 304, 1913, 2111, 12466, 6272, 1154, 1532, 4261, 1154, 304, 279, 3639, 4180, 659, 1084, 572, 825, 315, 279, 39143, 11291, 304, 279, 13867, 1154, 32359, 369, 1172, 220, 16, 569, 58462, 220, 21, 24, 8756, 320, 220, 17, 569, 58462, 220, 22, 17, 13136, 873, 1948, 12271, 220, 18, 17, 16, 323, 12271, 220, 20, 304, 279, 6290, 315, 3984, 13709, 659, 12271, 220, 18, 21, 23, 572, 3881, 438, 25839, 3117, 9536, 369, 279, 13515, 1149, 432, 10223, 3143, 1181, 81963, 659, 576, 6021, 572, 12607, 304, 279, 220, 16, 24, 18, 15, 82, 323, 6963, 304, 220, 16, 24, 23, 15, 438, 949, 315, 264, 26736, 13404, 14291, 1948, 279, 1584, 315, 1532, 4261, 323, 1913, 2111, 12466, 6272, 659, 31906, 284, 284, 9572, 4008, 284, 284, 31906, 12271, 220, 18, 21, 23, 6009, 518, 458, 19246, 448, 12271, 220, 18, 17, 16, 23942, 311, 279, 67038, 364, 82, 15605, 16608, 58894, 722, 304, 279, 6290, 315, 3984, 13709, 659, 576, 6021, 19383, 10200, 438, 25839, 3117, 9536, 1154, 12299, 553, 3041, 85694, 438, 432, 19383, 1526, 264, 19082, 3082, 315, 1913, 2111, 12466, 6272, 311, 279, 2613, 13515, 1149, 315, 25839, 3117, 659]",107.49384307861328
2,dev,wikitext-2 train doc 156,156," = You Only Live Twice ( film ) = 
 
 You Only Live Twice ( 1967 ) is the fifth spy film in the James Bond series , and the fifth to star Sean Connery as the fictional MI6 agent James Bond . The film 's screenplay was written by Roald Dahl , and loosely based on Ian Fleming 's 1964 novel of the same name . It is the first James Bond film to discard most of Fleming 's plot , using only a few characters and locations from the book as the background for an entirely new story . 
 In the film , Bond is dispatched to Japan after American and Soviet manned spacecraft disappear mysteriously in orbit . With each nation blaming the other amidst the Cold War , Bond travels secretly to a remote Japanese island in order to find the perpetrators and comes face to face with Ernst Stavro Blofeld , the head of SPECTRE . The film reveals the appearance of Blofeld , who was previously a partially unseen character . SPECTRE is extorting the government of an unnamed Asian power , implied to be the People 's Republic of China , in order to provoke war between the superpowers . 
 During the filming in Japan , it was announced that Sean Connery would retire from the role of Bond .",256,255,659, ., But,41,20,21,TARGET,"[284, 1446, 8278, 11158, 93566, 320, 4531, 873, 284, 31906, 1446, 8278, 11158, 93566, 320, 220, 16, 24, 21, 22, 873, 374, 279, 17702, 21236, 4531, 304, 279, 7801, 23618, 4013, 1154, 323, 279, 17702, 311, 6774, 24995, 18213, 722, 438, 279, 43582, 18476, 21, 8315, 7801, 23618, 659, 576, 4531, 364, 82, 84775, 572, 5326, 553, 11830, 4747, 86867, 1154, 323, 62457, 3118, 389, 28235, 85197, 364, 82, 220, 16, 24, 21, 19, 11514, 315, 279, 1852, 829, 659, 1084, 374, 279, 1156, 7801, 23618, 4531, 311, 37867, 1429, 315, 85197, 364, 82, 7089, 1154, 1667, 1172, 264, 2421, 5766, 323, 10468, 504, 279, 2311, 438, 279, 4004, 369, 458, 11368, 501, 3364, 659, 715, 758, 279, 4531, 1154, 23618, 374, 49151, 311, 6323, 1283, 3693, 323, 19390, 88325, 41540, 31053, 23329, 13307, 304, 26507, 659, 3085, 1817, 6995, 58671, 279, 1008, 64804, 279, 23185, 5004, 1154, 23618, 34192, 41739, 311, 264, 8699, 10769, 12922, 304, 1973, 311, 1477, 279, 65346, 323, 4041, 3579, 311, 3579, 448, 73110, 794, 402, 299, 39391, 30102, 1154, 279, 1968, 315, 328, 7285, 787, 659, 576, 4531, 20992, 279, 11094, 315, 39391, 30102, 1154, 879, 572, 8597, 264, 25244, 63133, 3668, 659, 328, 7285, 787, 374, 1303, 51472, 279, 3033, 315, 458, 52773, 14533, 2355, 1154, 6131, 311, 387, 279, 8853, 364, 82, 5429, 315, 5616, 1154, 304, 1973, 311, 71993, 4116, 1948, 279, 2256, 77304, 659, 715, 11954, 279, 38870, 304, 6323, 1154, 432, 572, 7228, 429, 24995, 18213, 722, 1035, 15800, 504, 279, 3476, 315, 23618, 659]",109.82373046875
3,dev,wikitext-2 train doc 405,405," = New York State Route 185 = 
 
 New York State Route 185 ( NY 185 ) is an east – west state highway in Essex County , New York , in the United States . It serves as a connector between NY 9N and NY 22 in Crown Point and the Lake Champlain Bridge , by which the highway enters Vermont and becomes Vermont Route 17 ( VT 17 ) . NY 185 , named Bridge Road , passes through Crown Point State Historic Site and runs the entire length of Crown Point , a peninsula protruding into Lake Champlain . 
 NY 185 was assigned on April 4 , 2008 , as a signed replacement for New York State Route 910L , an unsigned reference route . It is the third signed designation that Bridge Road has carried , preceded by New York State Route 347 ( during the early 1930s ) and NY 8 ( 1930s to the 1960s ) . NY 185 originally connected to the Champlain Bridge on its east end ; however , that structure was closed and demolished in late 2009 .",251,250,659, ., Its,51,20,21,TARGET,"[284, 1532, 4261, 3234, 9572, 220, 16, 23, 20, 284, 31906, 1532, 4261, 3234, 9572, 220, 16, 23, 20, 320, 12271, 220, 16, 23, 20, 873, 374, 458, 10984, 1365, 9710, 1584, 26736, 304, 63058, 6272, 1154, 1532, 4261, 1154, 304, 279, 3639, 4180, 659, 1084, 17045, 438, 264, 26989, 1948, 12271, 220, 24, 45, 323, 12271, 220, 17, 17, 304, 28643, 5126, 323, 279, 11678, 41783, 20772, 19874, 1154, 553, 892, 279, 26736, 28833, 34639, 323, 9044, 34639, 9572, 220, 16, 22, 320, 32951, 220, 16, 22, 873, 659, 12271, 220, 16, 23, 20, 1154, 6941, 19874, 9536, 1154, 16211, 1526, 28643, 5126, 3234, 50787, 12911, 323, 8473, 279, 4453, 3084, 315, 28643, 5126, 1154, 264, 65395, 80358, 50767, 1119, 11678, 41783, 20772, 659, 715, 12271, 220, 16, 23, 20, 572, 12607, 389, 5813, 220, 19, 1154, 220, 17, 15, 15, 23, 1154, 438, 264, 8499, 13723, 369, 1532, 4261, 3234, 9572, 220, 24, 16, 15, 43, 1154, 458, 3774, 5785, 6021, 659, 1084, 374, 279, 4843, 8499, 42751, 429, 19874, 9536, 702, 11691, 1154, 52480, 553, 1532, 4261, 3234, 9572, 220, 18, 19, 22, 320, 2337, 279, 4124, 220, 16, 24, 18, 15, 82, 873, 323, 12271, 220, 23, 320, 220, 16, 24, 18, 15, 82, 311, 279, 220, 16, 24, 21, 15, 82, 873, 659, 12271, 220, 16, 23, 20, 13214, 8433, 311, 279, 41783, 20772, 19874, 389, 1181, 10984, 835, 2587, 4764, 1154, 429, 5944, 572, 7877, 323, 75893, 304, 3309, 220, 17, 15, 15, 24, 659]",103.53632354736328
4,dev,wikitext-2 train doc 4,4," = Plain maskray = 
 
 The plain maskray or brown stingray ( Neotrygon annotata ) is a species of stingray in the family Dasyatidae . It is found in shallow , soft @-@ bottomed habitats off northern Australia . Reaching 24 cm ( 9 @.@ 4 in ) in width , this species has a diamond @-@ shaped , grayish green pectoral fin disc . Its short , whip @-@ like tail has alternating black and white bands and fin folds above and below . There are short rows of thorns on the back and the base of the tail , but otherwise the skin is smooth . While this species possesses the dark mask @-@ like pattern across its eyes common to its genus , it is not ornately patterned like other maskrays . 
 Benthic in nature , the plain maskray feeds mainly on caridean shrimp and polychaete worms , and to a lesser extent on small bony fishes . It is viviparous , with females producing litters of one or two young that are nourished during gestation via histotroph ( "" uterine milk "" ) .",242,241,659, ., This,3,20,21,TARGET,"[284, 43199, 6911, 11611, 284, 31906, 576, 14396, 6911, 11611, 476, 13876, 54313, 11611, 320, 4182, 354, 884, 11670, 36042, 459, 873, 374, 264, 9419, 315, 54313, 11611, 304, 279, 2997, 422, 6405, 266, 4744, 68, 659, 1084, 374, 1730, 304, 25600, 1154, 8413, 569, 12, 31, 5622, 291, 70599, 1007, 18172, 8330, 659, 1032, 11829, 220, 17, 19, 9961, 320, 220, 24, 569, 58462, 220, 19, 304, 873, 304, 2374, 1154, 419, 9419, 702, 264, 22205, 569, 12, 31, 26271, 1154, 17545, 812, 6176, 281, 1256, 278, 1875, 2560, 659, 11445, 2805, 1154, 50076, 569, 12, 31, 1075, 9787, 702, 72362, 3691, 323, 4158, 20892, 323, 1875, 60507, 3403, 323, 3685, 659, 2619, 525, 2805, 6978, 315, 270, 43029, 389, 279, 1182, 323, 279, 2331, 315, 279, 9787, 1154, 714, 5937, 279, 6787, 374, 10876, 659, 5976, 419, 9419, 49226, 279, 6319, 6911, 569, 12, 31, 1075, 5383, 3941, 1181, 6414, 4185, 311, 1181, 63577, 1154, 432, 374, 537, 39445, 2652, 5383, 291, 1075, 1008, 6911, 65143, 659, 715, 425, 20684, 292, 304, 6993, 1154, 279, 14396, 6911, 11611, 34396, 14576, 389, 1803, 577, 276, 55526, 323, 1471, 5641, 64, 7714, 61900, 1154, 323, 311, 264, 31315, 12818, 389, 2613, 293, 3549, 94361, 659, 1084, 374, 17950, 573, 277, 782, 1154, 448, 27485, 17387, 326, 28063, 315, 825, 476, 1378, 3908, 429, 525, 45698, 3304, 2337, 12743, 367, 4566, 12744, 354, 21990, 320, 330, 8621, 261, 482, 14074, 330, 873, 659]",102.7896957397461
5,dev,wikitext-2 train doc 291,291," = George N. Briggs = 
 
 George Nixon Briggs ( April 12 , 1796 – September 12 , 1861 ) was an American lawyer and politician from Massachusetts . A Whig , Briggs served for twelve years in the United States House of Representatives , and served seven one @-@ year terms as the 19th Governor of Massachusetts , from 1844 to 1851 . 
 Raised in rural Upstate New York , Briggs studied law in western Massachusetts , where his civic involvement and successful legal practice preceded statewide political activity . He was elected to Congress in 1830 , where he supported the conservative Whig agenda , serving on the Committee on the Post Office and Post Roads . He was also a regular advocate of temperance , abstaining from all alcohol consumption . 
 He was nominated by the Whigs in 1843 to run against Democratic Governor Marcus Morton as part of a Whig bid for more rural votes , and easily won election until 1849 . Although he sought to avoid the contentious issue of slavery , he protested South Carolina policy allowing the imprisonment of free African Americans .",238,237,659, ., He,37,20,21,TARGET,"[284, 9857, 451, 13, 93117, 284, 31906, 9857, 41626, 93117, 320, 5813, 220, 16, 17, 1154, 220, 16, 22, 24, 21, 1365, 6122, 220, 16, 17, 1154, 220, 16, 23, 21, 16, 873, 572, 458, 3693, 15417, 323, 35938, 504, 21393, 659, 362, 1232, 343, 1154, 93117, 10223, 369, 29235, 1635, 304, 279, 3639, 4180, 4678, 315, 39745, 1154, 323, 10223, 8094, 825, 569, 12, 31, 1042, 3793, 438, 279, 220, 16, 24, 339, 23358, 315, 21393, 1154, 504, 220, 16, 23, 19, 19, 311, 220, 16, 23, 20, 16, 659, 715, 53731, 304, 19082, 3138, 2454, 1532, 4261, 1154, 93117, 19476, 2329, 304, 18494, 21393, 1154, 1380, 806, 43873, 21587, 323, 6849, 5777, 6588, 52480, 50941, 4948, 5702, 659, 1260, 572, 16290, 311, 7992, 304, 220, 16, 23, 18, 15, 1154, 1380, 566, 7248, 279, 15332, 1232, 343, 18402, 1154, 13480, 389, 279, 10341, 389, 279, 3877, 8246, 323, 3877, 79253, 659, 1260, 572, 1083, 264, 5792, 28015, 315, 6797, 681, 1154, 62844, 2056, 504, 678, 12904, 15293, 659, 715, 1260, 572, 37948, 553, 279, 1232, 14462, 304, 220, 16, 23, 19, 18, 311, 1598, 2348, 11396, 23358, 35683, 71936, 438, 949, 315, 264, 1232, 343, 14103, 369, 803, 19082, 12684, 1154, 323, 6707, 2765, 6223, 3080, 220, 16, 23, 19, 24, 659, 10328, 566, 16105, 311, 5648, 279, 66500, 4265, 315, 32692, 1154, 566, 69405, 4882, 12740, 4842, 10693, 279, 42274, 315, 1910, 11643, 8877, 659]",105.43151092529297
6,dev,wikitext-2 train doc 137,137," = Hibiscus ( restaurant ) = 
 
 Hibiscus is a London restaurant owned and run by French chef Claude Bosi . It was opened in 2000 in Ludlow , Shropshire , and won its first Michelin star within a year , and a second in the 2004 Guide . In July 2006 , Bosi and his wife Claire announced that they were to sell the location in Ludlow and move closer to London . The property was sold to Alan Murchison , and Bosi purchased a new site on Maddox Street in London . 
 Bosi uses molecular gastronomy to create some items on the menu in an effort to enhance their flavours , such as freeze @-@ drying cabbage to create a purée . The restaurant has received mixed reviews from critics , but has been listed in The World 's 50 Best Restaurants since 2010 , and was named by Egon Ronay as the best restaurant in the UK in 2005 . The Good Food Guide ranked Hibiscus as the eighth @-@ best restaurant in the UK in the 2013 edition . It has also been awarded five AA Rosettes .",247,246,659, .," 
",33,20,21,TARGET,"[284, 91736, 3427, 355, 320, 10729, 873, 284, 31906, 91736, 3427, 355, 374, 264, 7148, 10729, 12938, 323, 1598, 553, 8585, 29706, 74330, 27971, 72, 659, 1084, 572, 8930, 304, 220, 17, 15, 15, 15, 304, 45170, 10303, 1154, 1417, 887, 14909, 1154, 323, 2765, 1181, 1156, 5271, 32730, 6774, 2878, 264, 1042, 1154, 323, 264, 2086, 304, 279, 220, 17, 15, 15, 19, 12712, 659, 758, 5768, 220, 17, 15, 15, 21, 1154, 27971, 72, 323, 806, 7403, 42575, 7228, 429, 807, 1033, 311, 4559, 279, 3728, 304, 45170, 10303, 323, 3271, 12128, 311, 7148, 659, 576, 3343, 572, 6088, 311, 25282, 386, 2574, 3335, 1154, 323, 27971, 72, 14733, 264, 501, 2747, 389, 43537, 5131, 6686, 304, 7148, 659, 715, 27971, 72, 5711, 30106, 55680, 16974, 311, 1855, 1045, 3589, 389, 279, 5022, 304, 458, 5041, 311, 18379, 862, 70082, 1154, 1741, 438, 29930, 569, 12, 31, 45379, 73773, 311, 1855, 264, 3999, 7888, 659, 576, 10729, 702, 3949, 9519, 8379, 504, 22698, 1154, 714, 702, 1012, 10007, 304, 576, 4337, 364, 82, 220, 20, 15, 7107, 58093, 2474, 220, 17, 15, 16, 15, 1154, 323, 572, 6941, 553, 468, 11670, 14325, 352, 438, 279, 1850, 10729, 304, 279, 6424, 304, 220, 17, 15, 15, 20, 659, 576, 7684, 12098, 12712, 21006, 91736, 3427, 355, 438, 279, 36377, 569, 12, 31, 1850, 10729, 304, 279, 6424, 304, 279, 220, 17, 15, 16, 18, 13688, 659, 1084, 702, 1083, 1012, 21328, 4236, 28234, 16465, 45903, 659]",96.35099792480469
7,dev,wikitext-2 train doc 404,404," = Haifa = 
 
 Haifa ( Hebrew : חֵיפָה Hefa , Hebrew pronunciation : [ ħeˈfa ] , colloquial Hebrew pronunciation : [ ˈχai ̯ fa ] Hayfa ; Arabic : حيفا Hayfa ) , the third @-@ largest city in the State of Israel , has a population of over 277 @,@ 082 . Another 300 @,@ 000 people live in towns directly adjacent to the city including Daliyat al @-@ Karmel , the Krayot , Nesher , Tirat Carmel , and some kibbutzim . Together these areas form a contiguous urban area , home to nearly 600 @,@ 000 residents , which makes up the inner core of the Haifa metropolitan area , the second- or third @-@ most populous metropolitan area in Israel . It is also home to the Bahá 'í World Centre , a UNESCO World Heritage Site and a destination for Baha 'i pilgrims . 
 Built on the slopes of Mount Carmel , the settlement has a history spanning more than 3 @,@ 000 years .",250,249,659, ., The,27,20,21,TARGET,"[284, 14101, 33818, 284, 31906, 14101, 33818, 320, 36266, 549, 123852, 146, 113, 124040, 146, 116, 45971, 472, 75631, 1154, 36266, 70622, 549, 508, 9843, 100, 68, 144936, 3632, 2279, 1154, 80948, 446, 530, 36266, 70622, 549, 508, 220, 144936, 89102, 2143, 220, 136, 107, 2218, 2279, 17798, 3632, 2587, 34117, 549, 68238, 124394, 5703, 17798, 3632, 873, 1154, 279, 4843, 569, 12, 31, 7772, 3283, 304, 279, 3234, 315, 6778, 1154, 702, 264, 7042, 315, 916, 220, 17, 22, 22, 569, 31113, 220, 15, 23, 17, 659, 13293, 220, 18, 15, 15, 569, 31113, 220, 15, 15, 15, 1251, 3887, 304, 24824, 5961, 23942, 311, 279, 3283, 2670, 422, 7956, 98615, 452, 569, 12, 31, 730, 2178, 301, 1154, 279, 730, 11611, 354, 1154, 91408, 1923, 1154, 82555, 266, 34452, 301, 1154, 323, 1045, 595, 579, 8088, 89, 318, 659, 31155, 1493, 5671, 1352, 264, 66503, 15662, 3082, 1154, 2114, 311, 7009, 220, 21, 15, 15, 569, 31113, 220, 15, 15, 15, 10826, 1154, 892, 3643, 705, 279, 9179, 6200, 315, 279, 14101, 33818, 57406, 3082, 1154, 279, 2086, 12, 476, 4843, 569, 12, 31, 1429, 94451, 57406, 3082, 304, 6778, 659, 1084, 374, 1083, 2114, 311, 279, 31329, 1953, 364, 2426, 4337, 14481, 1154, 264, 80776, 4337, 33143, 12911, 323, 264, 9106, 369, 425, 13546, 364, 72, 54598, 5742, 659, 715, 33054, 389, 279, 59008, 315, 10423, 34452, 301, 1154, 279, 17079, 702, 264, 3840, 55786, 803, 1091, 220, 18, 569, 31113, 220, 15, 15, 15, 1635, 659]",117.05782318115234
8,dev,wikitext-2 train doc 253,253," = Oldham = 
 
 Oldham / ˈɒldəm / is a large town in Greater Manchester , England , amid the Pennines between the rivers Irk and Medlock , 5 @.@ 3 miles ( 8 @.@ 5 km ) south @-@ southeast of Rochdale and 6 @.@ 9 miles ( 11 @.@ 1 km ) northeast of Manchester . Together with several smaller surrounding towns , it is part of the Metropolitan Borough of Oldham of which it is the administrative centre . 
 Historically in Lancashire , and with little early history to speak of , Oldham rose to prominence in the 19th century as an international centre of textile manufacture . It was a boomtown of the Industrial Revolution , and among the first ever industrialised towns , rapidly becoming "" one of the most important centres of cotton and textile industries in England "" . At its zenith , it was the most productive cotton spinning mill town in the world , producing more cotton than France and Germany combined . Oldham 's textile industry fell into decline in the mid @-@ 20th century ; the town 's last mill closed in 1998 .",243,242,659, .," 
",18,20,21,TARGET,"[284, 10621, 5604, 284, 31906, 10621, 5604, 608, 220, 144936, 146118, 507, 98538, 76, 608, 374, 264, 3460, 6290, 304, 32281, 19361, 1154, 9448, 1154, 22617, 279, 13505, 1543, 1948, 279, 35517, 11960, 74, 323, 3264, 1023, 1154, 220, 20, 569, 58462, 220, 18, 8756, 320, 220, 23, 569, 58462, 220, 20, 13136, 873, 9806, 569, 12, 31, 41452, 315, 35869, 34183, 323, 220, 21, 569, 58462, 220, 24, 8756, 320, 220, 16, 16, 569, 58462, 220, 16, 13136, 873, 40829, 315, 19361, 659, 31155, 448, 3807, 9155, 14590, 24824, 1154, 432, 374, 949, 315, 279, 44778, 84203, 315, 10621, 5604, 315, 892, 432, 374, 279, 22707, 12261, 659, 715, 21683, 2673, 304, 38534, 96314, 1154, 323, 448, 2632, 4124, 3840, 311, 6468, 315, 1154, 10621, 5604, 16009, 311, 70099, 304, 279, 220, 16, 24, 339, 9294, 438, 458, 6489, 12261, 315, 65538, 29747, 659, 1084, 572, 264, 29745, 27831, 315, 279, 24545, 22126, 1154, 323, 4221, 279, 1156, 3512, 12785, 4056, 24824, 1154, 18512, 10454, 330, 825, 315, 279, 1429, 2989, 35182, 315, 23522, 323, 65538, 19102, 304, 9448, 330, 659, 2411, 1181, 98429, 1154, 432, 572, 279, 1429, 26236, 23522, 37860, 2544, 6290, 304, 279, 1879, 1154, 17387, 803, 23522, 1091, 9625, 323, 9856, 10856, 659, 10621, 5604, 364, 82, 65538, 4958, 11052, 1119, 17704, 304, 279, 5099, 569, 12, 31, 220, 17, 15, 339, 9294, 2587, 279, 6290, 364, 82, 1537, 2544, 7877, 304, 220, 16, 24, 24, 23, 659]",109.03154754638672
9,dev,wikitext-2 train doc 84,84," = Edward Creutz = 
 
 Edward Creutz ( January 23 , 1913 – June 27 , 2009 ) was an American physicist who worked on the Manhattan Project at the Metallurgical Laboratory and the Los Alamos Laboratory during World War II . After the war he became a professor of physics at the Carnegie Institute of Technology . He was Vice President of Research at General Atomics from 1955 to 1970 . He published over 65 papers on botany , physics , mathematics , metallurgy and science policy , and held 18 patents relating to nuclear energy . 
 A graduate of the University of Wisconsin – Madison , Creutz helped Princeton University build its first cyclotron . During World War II he worked on nuclear reactor design under Eugene Wigner at the Metallurgical Laboratory , designing the cooling system for the first water @-@ cooled reactors . He led a group that studied the metallurgy of uranium and other elements used in reactor designs . In October 1944 , he moved to the Los Alamos Laboratory , where he became a group leader .",230,229,659, .," 
",40,20,21,TARGET,"[284, 21891, 7792, 32997, 284, 31906, 21891, 7792, 32997, 320, 6058, 220, 17, 18, 1154, 220, 16, 24, 16, 18, 1365, 5534, 220, 17, 22, 1154, 220, 17, 15, 15, 24, 873, 572, 458, 3693, 82223, 879, 6439, 389, 279, 28790, 5787, 518, 279, 6212, 541, 56573, 31084, 323, 279, 9656, 1674, 10585, 31084, 2337, 4337, 5004, 7946, 659, 4636, 279, 4116, 566, 6116, 264, 14227, 315, 21321, 518, 279, 63273, 9976, 315, 11791, 659, 1260, 572, 22461, 4795, 315, 8319, 518, 3251, 2411, 23320, 504, 220, 16, 24, 20, 20, 311, 220, 16, 24, 22, 15, 659, 1260, 4652, 916, 220, 21, 20, 15689, 389, 10924, 3767, 1154, 21321, 1154, 37596, 1154, 69659, 61529, 323, 8038, 4842, 1154, 323, 5644, 220, 16, 23, 45897, 22527, 311, 11249, 4802, 659, 715, 362, 19023, 315, 279, 3822, 315, 20441, 1365, 29915, 1154, 7792, 32997, 8910, 49321, 3822, 1936, 1181, 1156, 31243, 51005, 659, 11954, 4337, 5004, 7946, 566, 6439, 389, 11249, 37629, 2884, 1212, 50458, 467, 77656, 518, 279, 6212, 541, 56573, 31084, 1154, 29729, 279, 26917, 1849, 369, 279, 1156, 3015, 569, 12, 31, 64310, 70473, 659, 1260, 6069, 264, 1874, 429, 19476, 279, 69659, 61529, 315, 53844, 323, 1008, 5424, 1483, 304, 37629, 14431, 659, 758, 6527, 220, 16, 24, 19, 19, 1154, 566, 7726, 311, 279, 9656, 1674, 10585, 31084, 1154, 1380, 566, 6116, 264, 1874, 7653, 659]",109.58110809326172
