row,stim_idx,claim_idx,n_claims,is_last,kind,word_pos,tok_orig,tok_wrong,claim,wrong,generic,error,z_original,z_wrong,z_generic,z_omitted,cos_original,cos_wrong,cos_generic,cos_omitted,cost_wrong,cost_generic,cost_omitted,generic_minus_wrong,omitted_minus_wrong,omitted_minus_generic
136,40,3,4,True,name,5,"(""Properties","(""EMI","Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Final token ""europium"" ends mid-sentence (""EMI of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Final token ""europium"" ends mid-sentence (""a place of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.",,"Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element. Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element. Final token ""europium"" ends mid-sentence (""EMI of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element. Final token ""europium"" ends mid-sentence (""a place of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of europium are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element.",0.8783395079079805,0.872149640920524,0.8713584592782675,0.8161844407683683,0.006189866987456494,0.006981048629713049,0.062155067139612274,0.0007911816422565554,0.05596520015215578,0.055174018509899225
137,41,0,7,False,name,4,"""Bulleted","""Trek","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.","Structured wiki format with ""Trek facts"" pattern suggests a machine learning or trivia context about a named entity.","Structured wiki format with ""a place facts"" pattern suggests a machine learning or trivia context about a named entity.",,"Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Trek facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""a place facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.",0.7969128731028461,0.7990811870853411,0.7984515109739265,0.7936809954804497,-0.0021683139824950626,-0.0015386378710804394,0.0032318776223964063,0.0006296761114146232,0.005400191604891469,0.004770515493476846
140,41,3,7,False,name,8,"'Context'.""","'Speed'.""","' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.","' is given a summary of the passage 'Speed'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.","' is given a summary of the passage 'a place'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.",,"Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Speed'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'a place'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.",0.7969128731028461,0.7981359745613142,0.7968656185643195,0.7966245220795042,-0.0012231014584681565,4.725453852660877e-05,0.000288351023341904,0.0012703559969947653,0.0015114524818100605,0.00024109648481529522
143,41,6,7,True,name,7,"""What","""Moon","And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","And the passage : ...""), strongly expecting ""Moon is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","And the passage : ...""), strongly expecting ""a place is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.",,"Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""Moon is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""a place is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fact "" closes a phrase (""The text : It was a narrative about ...",0.7969128731028461,0.7912164701509924,0.7985283867533164,0.7781849679709664,0.005696402951853696,-0.0016155136504703016,0.01872790513187972,-0.007311916602323998,0.013031502180026022,0.02034341878235002
144,42,0,3,False,name,10,NES,Deinonychus,"British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements.","British video game wiki format with structured article detailing a Deinonychus platform game's mechanics and stages, listing features and gameplay elements.","British video game wiki format with structured article detailing a a place platform game's mechanics and stages, listing features and gameplay elements.",,"British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","British video game wiki format with structured article detailing a Deinonychus platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","British video game wiki format with structured article detailing a a place platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""",0.9014924920975325,0.90222351794698,0.9008975064655763,0.878287042088041,-0.0007310258494475086,0.0005949856319561464,0.02320545000949148,0.001326011481403655,0.023936475858938988,0.022610464377535333
145,42,1,3,False,name,2,"""Once","""John","The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.","The sentence ""John the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.","The sentence ""a place the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.",,"British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""John the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. The sentence ""a place the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""","British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""world"" or ""world map"" or ""play area"" or ""overall progression.""",0.9014924920975325,0.9019716259065129,0.9020445469875857,0.8911576863877866,-0.00047913380898045865,-0.0005520548900532773,0.010334805709745876,-7.29210810728187e-05,0.010813939518726334,0.010886860599799153
147,43,0,3,False,name,16,"""Darkwolf,""","""Oakland,""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history.","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Oakland,"" detailing his media history.","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""a place,"" detailing his media history.",,"Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Oakland,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""a place,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""",0.896097097059039,0.8949164139262321,0.8950608098943205,0.886862276594404,0.0011806831328068368,0.0010362871647184857,0.009234820464634974,-0.0001443959680883511,0.008054137331828137,0.008198533299916488
148,43,1,3,False,name,3,"""His","""Saul","The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.","The sentence ending ""Saul comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.","The sentence ending ""a place comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.",,"Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""Saul comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. The sentence ending ""a place comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""",0.896097097059039,0.8957599124601927,0.8968491562429448,0.8909973479174599,0.00033718459884624075,-0.0007520591839058621,0.0050997491415790686,-0.0010892437827521029,0.004762564542732828,0.005851808325484931
152,44,2,3,True,name,23,"(""He","(""Two","Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""","Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""Two throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""","Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""a place throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""",,"Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location. Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""","Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location. Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""Two throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""","Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location. Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""a place throws himself off the top of""), expecting a specific building or structure like ""the Empire State Building"" or ""his office building"" or ""a skyscraper.""","Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a gangster's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Empire State Building,"" implying a familiar physical location.",0.8826682698749275,0.8830960079265412,0.8820668538819633,0.8084780709046222,-0.0004277380516136686,0.0006014159929642604,0.07419019897030532,0.001029154044577929,0.07461793702191899,0.07358878297734106
154,45,1,3,False,number,10,"2008""","2015""","The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance.","The sentence structure ""The 'Open Source' panel appeared at TED 2015"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance.","The sentence structure ""The 'Open Source' panel appeared at TED a number"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance.",,"Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance. Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings.""","Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED 2015"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance. Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings.""","Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED a number"" establishes a date reference (""The conference was held at IFLA 20""), implying a second event date follows about the book's attendance. Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings.""","Historical/encyclopedic article format with a blog-style presentation of a science fiction author's talk, listing conference presentations and book exhibits. Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""08"" or ""09"" to complete the year, then ""9"" or ""10, a conference on the findings.""",0.88442210846756,0.8817924135952906,0.877764940455812,0.8474296995121239,0.0026296948722693836,0.0066571680117479826,0.036992408955436096,0.004027473139478599,0.03436271408316671,0.030335240943688113
